Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.026062122194915993,0.019676486042393748,0.02489164295744359,0.025505274940493598,0.020210680175967725,0.024971957232106354,0.023275700626721144,0.022865619532773055,0.024419097714266196,0.021737076842401733
Bandwidth blocking probability,1,all,all,all, ,0.019083866454957247,0.01805075667690334,0.017055266561665592,0.017103477337271397,0.018394549708257456,0.01780369526579279,0.015495153382759821,0.020163106627581764,0.014959041896715245,0.018100921707246746
Bandwidth blocking probability,2,all,all,all, ,0.03245191853966563,0.029976212921526326,0.03505488106260134,0.02866965963258725,0.03162801430844776,0.03105541891400981,0.03156936027613281,0.029137172325172392,0.02753228681134907,0.03196239056403245
Bandwidth blocking probability,3,all,all,all, ,0.05302758688779695,0.05591171466902472,0.05176182400805781,0.0548112717801895,0.0519198236879557,0.049272935629498436,0.04964662017087425,0.05183255965096029,0.05109525590433346,0.05129409684986708


General requested bandwidth,0,all,all,all, ,9.347109534774364E15,9.29575026413501E15,9.271716134651936E15,9.214712970410994E15,9.28473441631543E15,9.340507887308042E15,9.281928628243566E15,9.307991952423114E15,9.333849057248914E15,9.387647108226314E15
General requested bandwidth,1,all,all,all, ,9.253346855850396E15,9.265372013293134E15,9.262281170274844E15,9.325514557598028E15,9.219391509813242E15,9.31275393517651E15,9.19840153139842E15,9.245751950642686E15,9.297521836333336E15,9.192797994124796E15
General requested bandwidth,2,all,all,all, ,9.341605762680512E15,9.190633778501166E15,9.220258467788836E15,9.2347159383722E15,9.364164374948426E15,9.307883238542562E15,9.319012928365894E15,9.210543826643672E15,9.230835960054358E15,9.227642220653842E15
General requested bandwidth,3,all,all,all, ,9.28242354913647E15,9.332010609648716E15,9.277963718120126E15,9.354439940103282E15,9.296524400713136E15,9.295080891147182E15,9.313226488217054E15,9.294011135092786E15,9.28539568312339E15,9.24744023824188E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,8.012549928851694E-6,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0035816409920138813,0.002986233267162447,0.003420484412618275,0.004180460030483158,0.002636974531434083,0.0037356863665080906,0.003993917768773932,0.0037703196384470603,0.001865797287663793,0.0028252480038522573
Blocking probability by QoTN,2,all,all,all, ,0.02212703591812958,0.019307582198995334,0.02207118707534839,0.02012656232161975,0.021429552619511145,0.018456015331187427,0.017255554222710086,0.01829338036252064,0.017816418606109406,0.02050009997957411
Blocking probability by QoTN,3,all,all,all, ,0.039456363473867356,0.043926222640195564,0.03811739553004063,0.03934396006609534,0.03943006953898901,0.03764978335009418,0.03681115009391284,0.03805808925053744,0.03985681205869863,0.03689976976186657


Blocking probability by QoTO,0,all,all,all, ,0.026062122194915993,0.019676486042393748,0.02489164295744359,0.025505274940493598,0.020210680175967725,0.024971957232106354,0.023275700626721144,0.022865619532773055,0.024419097714266196,0.021737076842401733
Blocking probability by QoTO,1,all,all,all, ,0.015502225462943373,0.015064523409740906,0.013602178619803052,0.012923017306788258,0.015757575176823378,0.014068008899284709,0.011468064994163096,0.016392786989134725,0.013093244609051457,0.015275673703394485
