Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.00535653231014702,0.005138092162747407,0.006040344945484937,0.005423014094138206,0.005090605174182274,0.0052900505261558334,0.005498993275842419,0.005508490673555446,0.0062112981043194165,0.006391748660866923
Blocking probability,1,all,all,all, ,0.004435284731983437,0.005157086958173461,0.004663222277096076,0.004720206663374235,0.005565475059833605,0.004995631197052008,0.005223568742164647,0.004663222277096076,0.005043118185617141,0.005024123390191088
Blocking probability,2,all,all,all, ,0.007664399954412491,0.010057744178095202,0.00890855905481898,0.008329217794324354,0.00966835087186111,0.009098507009079512,0.009478402917600577,0.007768871329255784,0.00789233749952513,0.008718611100558446
Blocking probability,3,all,all,all, ,0.022337879421038636,0.01260304676518634,0.04465676404665122,0.02522508832579873,0.015661208828780915,0.0180450556547506,0.013381833377654523,0.017323253428560573,0.01966911066367815,0.01806405045017665


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,1.8994795426053262E-5,0.0,0.0,2.849219313907989E-5,0.0,2.849219313907989E-5,2.849219313907989E-5,9.497397713026631E-6,9.497397713026631E-6,9.497397713026631E-6
Blocking probability by QoTN,1,all,all,all, ,0.0013961174638149147,0.0015100862363712343,0.0018424951563271663,0.0014056148615279413,0.0016335524066405805,0.0015765680203624207,0.001595562815788474,0.0014246096569539945,0.001443604452380048,0.0015100862363712343
