Metrics,LoadPoint,Node, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Tx Utilization,0,all, ,179.21960832731833,180.00309615165446,179.0978421912396,179.59023477567146,177.80421114614595,178.22575314363866,178.7146411883144,177.90785624738822,178.42339399004672,179.08849675188998
Tx Utilization,1,all, ,251.8462466284238,252.8458002507313,252.42027884359686,252.5228887284884,254.09766174068307,251.23894502906202,252.58578049614405,253.45490635565855,251.43179918702276,251.8893173270524
Tx Utilization,2,all, ,309.4279432435513,321.1878015423774,318.45796451772213,319.4308114576606,317.2072712076891,313.4101166280439,313.10131823880255,322.8959655054515,317.2364472134635,315.15337347566765
Tx Utilization,3,all, ,392.36523192645217,388.7384986513695,381.59072864035255,382.55609163089315,387.9855639554762,397.75827223340804,392.74763514796945,388.43827641226306,384.53176879535005,391.02139763704747


Rx Utilization,0,all, ,179.21960832731833,180.00309615165446,179.0978421912396,179.59023477567146,177.80421114614595,178.22575314363866,178.7146411883144,177.90785624738822,178.42339399004672,179.08849675188998
Rx Utilization,1,all, ,251.8462466284238,252.8458002507313,252.42027884359686,252.5228887284884,254.09766174068307,251.23894502906202,252.58578049614405,253.45490635565855,251.43179918702276,251.8893173270524
Rx Utilization,2,all, ,309.4279432435513,321.1878015423774,318.45796451772213,319.4308114576606,317.2072712076891,313.4101166280439,313.10131823880255,322.8959655054515,317.2364472134635,315.15337347566765
Rx Utilization,3,all, ,392.36523192645217,388.7384986513695,381.59072864035255,382.55609163089315,387.9855639554762,397.75827223340804,392.74763514796945,388.43827641226306,384.53176879535005,391.02139763704747


Regenerators Utilization,0,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,1,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,2,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,3,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Tx Utilization Per Node,0,22, ,6.263562283934202,6.165102761843255,6.052596588534741,6.05852296470767,5.905681343311932,5.788075067431524,6.139165368688979,5.992544542795274,6.143078296546746,5.901369524750218
Tx Utilization Per Node,0,23, ,5.184420468791551,5.23440527295521,5.264920411807164,5.297021616077195,5.414817839911864,5.182843900771188,5.421950385594347,5.280686092010789,5.172852638377084,5.352267978573871
Tx Utilization Per Node,0,24, ,5.496438475857615,5.7413383732857195,5.385812787296281,5.463995365269916,5.304875963985868,5.572883030049766,5.5354442882650154,5.688095961706493,5.671276070356722,5.301039015309805
Tx Utilization Per Node,0,25, ,6.375118717471413,6.4991167420126885,6.552492117159898,6.215182539984045,6.479780040268967,6.287438741784751,6.415444668160924,5.927525358051894,6.2473027390495,6.333159214375261
Tx Utilization Per Node,0,26, ,6.602790335448087,6.490474110093834,6.585011206929301,6.365982220871481,6.513296356798238,6.752364852030544,6.65658359609467,6.830120047107092,6.5740132203776165,6.61933480226418
Tx Utilization Per Node,0,27, ,6.425739847281845,6.011311400676215,6.200718003267105,6.258091782851499,6.193338525244083,6.442578733427041,6.1093530372677884,6.246030087755955,5.965030581620636,6.2097975154807585
Tx Utilization Per Node,0,28, ,5.030809558181058,5.236504197849789,5.0939102685864075,5.132745127834974,5.252127417087718,5.262574554572048,5.0859229571097515,5.060992288113057,5.108127872962808,5.098981878965164
Tx Utilization Per Node,0,10, ,7.34012080689891,7.186813813015234,7.348953386772024,7.22656042244425,7.308456482923679,7.558200053185427,7.420772708277932,7.544799225012347,7.396079474224063,7.134027276526232
Tx Utilization Per Node,0,11, ,8.794875204194051,8.419509554382099,8.193661436766327,8.716037305778217,8.78150286821411,8.397342628119896,8.66245298788132,7.907286403525434,8.363807316795198,8.65658359609467
Tx Utilization Per Node,0,12, ,6.267741138927934,6.203985108080386,6.634882042320404,6.450594537096835,6.232249363674353,6.334270409907686,6.6038445465942335,6.626543327128367,6.571116514075143,6.157153439957452
Tx Utilization Per Node,0,13, ,6.948742544542795,7.458980739277438,6.882403221517304,7.210956198001748,7.105839000113969,6.650049386468107,6.729058238042776,6.607719484861148,6.969560840329749,7.2129411541237705
