Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.136937376719901E16,1.11239765098827E16,1.3022510700583986E16,1.03026160078507E16,1.1278385793657608E16,1.3019245987532032E16,1.0791385324942486E16,1.0960752515572108E16,1.1146127591024506E16,1.200599180794155E16
Total energy consumption (Joule),1,all,all,all, ,5.426090882990001E15,5.703343995630146E15,5.756139123463976E15,6.109282658502437E15,5.932762967441248E15,5.99276316702821E15,5.492539439341398E15,5.872898522395453E15,5.212810308439362E15,6.859706046548614E15
Total energy consumption (Joule),2,all,all,all, ,3.576251273669019E15,3.7592296495390095E15,3.6735053530738015E15,4.036280255095785E15,3.5542183119309935E15,4.1038125683766105E15,4.1774991792375705E15,4.633490908764739E15,4.600296467417541E15,3.966812803345324E15
Total energy consumption (Joule),3,all,all,all, ,2.6896370172591105E15,3.362741590316679E15,2.9466121097381725E15,3.126064291136372E15,2.6630565893674775E15,2.864955989393303E15,3.0194120341356625E15,2.6951358788417655E15,2.8995914958161595E15,2.952101515325168E15


Average power consumption (Watt),0,all,all,all, ,3.0803629377577095E9,3.0803636643466344E9,3.080362189825696E9,3.0803605769210043E9,3.0803621511872964E9,3.080363290411658E9,3.0803589574315734E9,3.0803602450700593E9,3.0803600188485765E9,3.0803627436966925E9
Average power consumption (Watt),1,all,all,all, ,3.0805370143587766E9,3.080537905533257E9,3.0805371369821E9,3.0805355095159154E9,3.080536156363439E9,3.0805394067825074E9,3.0805392056747594E9,3.0805326350946226E9,3.0805372232693825E9,3.080539589765959E9
Average power consumption (Watt),2,all,all,all, ,3.0806974198210244E9,3.0806936852079053E9,3.0806923429378905E9,3.080699553729628E9,3.080694524643815E9,3.0806996302665343E9,3.080700656890626E9,3.080697830315535E9,3.080694383897045E9,3.0806959301509233E9
Average power consumption (Watt),3,all,all,all, ,3.080845773232836E9,3.0808315001312194E9,3.0808383946864986E9,3.08083349157228E9,3.0808418782973194E9,3.0808324117468853E9,3.0808525246286106E9,3.0808464516716566E9,3.0808579325074506E9,3.0808279103603888E9


Energy efficiency (bits/Joule),0,all,all,all, ,2935.0826158500095,3005.5167050782293,2556.355769604914,3237.69953501047,2931.0172398183654,2552.8836246370815,3046.5117367922376,3002.7721452977116,2962.4157597141934,2774.5985340735388
