Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,1.3992019888227702,1.404812421122239,1.4029509623795153,1.4117289051195236,1.4062994160768372,1.3963925285501555,1.3990578095734234,1.4078951000465976,1.4073651165777648,1.3960819907558706
Rate of requests by circuit,1, ,2.0355729291685654,2.03360835351019,2.000824943313274,2.015681512649474,2.017726573256728,2.031380029727086,1.998589951550892,1.9909050929001197,2.021831248802641,2.0201693675530827
Rate of requests by circuit,2, ,2.34541680044692,2.4239019684404672,2.387755072840788,2.431164797979364,2.4343494357094637,2.405305460380652,2.387575762106077,2.181487858987061,2.0611423852683193,2.376026296998121
Rate of requests by circuit,3, ,2.313577295826259,2.5845609482761116,2.6308649119054013,2.3656083481992694,2.6666256557382146,2.669132525743542,2.6659212842061115,2.483471491391699,2.2209987213642504,2.5347939189054913


Maximum requests by circuit,0, ,16,15,14,14,16,15,14,16,15,15
Maximum requests by circuit,1, ,21,21,21,22,19,21,22,25,24,21
Maximum requests by circuit,2, ,25,28,26,22,28,23,24,24,26,29
Maximum requests by circuit,3, ,33,28,32,33,30,33,31,28,27,31


Virtual hops,0, ,1.7711652177225075,1.7677537887441932,1.7658009193608253,1.7647366718057063,1.7641087175970898,1.7686799531513344,1.7664943201835823,1.7688249857170062,1.7642854423633318,1.7665101751245107
Virtual hops,1, ,1.8063910848652251,1.7989671075199147,1.807556271629184,1.8023486350465152,1.8037330586473623,1.799875651633268,1.8085848193872884,1.817904413167029,1.8032782193048573,1.8033551414347568
Virtual hops,2, ,1.8228827243456485,1.808114549335273,1.8250569870444644,1.8128944390094186,1.812622459564332,1.8149961597542243,1.815609363317421,1.8566430770460998,1.8843810052306522,1.813173319519191
Virtual hops,3, ,1.8642346823885851,1.814934401836165,1.815789219147475,1.86054345613678,1.8109544719204993,1.8032594699517615,1.8098192113323863,1.844559945937351,1.894044680453857,1.8323782793435466


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3


