Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,1.0980995379996144E16,1.0979777461378804E16,1.122343674802751E16,1.4080987692684372E16,1.1302187529729002E16,1.1493663193911058E16,1.109986788511841E16,1.1937801536783966E16,1.1365798328882796E16,1.231717366084379E16
Total consumed energy (Joule),1, ,5.567065435801358E15,5.038890183315781E15,6.89527036576261E15,6.231412361546989E15,5.922993862992772E15,5.34233108603453E15,5.744704218331104E15,5.777819455094398E15,6.913220239741718E15,5.434514528616701E15
Total consumed energy (Joule),2, ,3.716706506902369E15,3.4488968527881215E15,3.5889919356570165E15,4.137097243258345E15,3.956047075682285E15,3.563134713025437E15,3.675105563513972E15,4.533070316102547E15,4.368156268163571E15,3.5038410876019135E15
Total consumed energy (Joule),3, ,2.7110684188314625E15,2.6862484926277875E15,2.766111901819341E15,3.0470570287958975E15,2.85488992138357E15,3.0639928067879305E15,3.5272088148293155E15,3.0471151433983665E15,2.7682349371785715E15,3.2700858131116395E15


Average power consumption (Watt),0, ,3.0802351720448647E9,3.080234433925983E9,3.0802330020513096E9,3.0802012792161036E9,3.0802312785856733E9,3.0802281156514993E9,3.080234884121437E9,3.0802235085594907E9,3.080231969509041E9,3.0802191232772117E9
Average power consumption (Watt),1, ,3.080318193416196E9,3.0803440372384014E9,3.080276248236666E9,3.080294628624428E9,3.0803055802484546E9,3.080329310284324E9,3.0803103605171084E9,3.080311365691702E9,3.0802738646382494E9,3.080324792251753E9
Average power consumption (Watt),2, ,3.0803992154135766E9,3.0804186839127564E9,3.080407079955804E9,3.080365213176606E9,3.0803715915937247E9,3.080410383946143E9,3.0804035333981647E9,3.0803409025909224E9,3.080353069956362E9,3.0804149822182302E9
Average power consumption (Watt),3, ,3.0804739125471334E9,3.080472991071728E9,3.080471123057177E9,3.0804275240385385E9,3.080451313678436E9,3.0804349714943013E9,3.0803935140002484E9,3.080436472919361E9,3.08045718818283E9,3.0804156521671076E9


Energy efficiency (bits/Joule),0, ,3029.5261231157574,3023.009678511124,2974.307786670746,2344.941975453603,2938.1061723511752,2905.6675696501225,3028.8178231737675,2764.3630374114437,2939.430186341333,2675.0098636517687
Energy efficiency (bits/Joule),1, ,5885.817863634432,6572.531837306143,4823.678731708449,5298.930148613763,5624.795942415746,6209.84749289862,5675.9648718812205,5721.517139418118,4766.522009759872,6039.45911306799
Energy efficiency (bits/Joule),2, ,8822.090865783632,9258.810758697731,8977.716648672564,7613.623500513533,7804.380807449119,9037.34719744915,8871.721938700324,7112.8631792050255,7421.521964238401,9246.053823749302
Energy efficiency (bits/Joule),3, ,11093.745656784311,10961.937102266651,11202.43061532803,9785.926759375101,10621.018849516242,10176.070037258933,9056.52315141928,10110.254729833008,10651.601800833598,9600.731114882867


Total data transmitted (bits),0, ,3.326721236151176E19,3.3191973533646426E19,3.3381955312864817E19,3.3019099096421163E19,3.3207026942167265E19,3.339676439902861E19,3.3619477685320753E19,3.3000417316239122E19,3.340897069978597E19,3.2948561035068903E19
Total data transmitted (bits),1, ,3.2766733190061437E19,3.3118266154532356E19,3.3260569012708643E19,3.3019818831045825E19,3.331563184751511E19,3.3175061300845887E19,3.260673934259521E19,3.3057893040786047E19,3.295201643104632E19,3.282152829495453E19
Total data transmitted (bits),2, ,3.278912252534198E19,3.1932683286233403E19,3.2220952652699566E19,3.149830079518149E19,3.0874497870820037E19,3.2201285512894214E19,3.2604514654866522E19,3.2243108940153094E19,3.2418367687401587E19,3.2396703285831586E19
Total data transmitted (bits),3, ,3.0075903496656646E19,2.9446487017244406E19,3.098717665436423E19,2.981827691543576E19,3.032183966830884E19,3.117940539553156E19,3.1944248291391857E19,3.080711029088912E19,2.9486136241981755E19,3.1395214614277956E19


Total energy consumption by transponders (Joule),0, ,5.357890414388554E11,5.330986524215502E11,5.3971192191968396E11,5.3211325514056415E11,5.37175335136857E11,5.3447416029044476E11,5.4055161141084314E11,5.372727744839124E11,5.427479853128964E11,5.368117306727086E11
Total energy consumption by transponders (Joule),1, ,4.216678192186517E11,4.239347451738562E11,4.283822698938664E11,4.2431985530622485E11,4.2437549879936456E11,4.239246440105604E11,4.2051570338134174E11,4.2482505194409143E11,4.241481386654728E11,4.232692023966011E11
Total energy consumption by transponders (Joule),2, ,3.792665804797921E11,3.737333727355751E11,3.753961775592693E11,3.765026326155651E11,3.682167972636803E11,3.76512952875464E11,3.801725532374631E11,3.767662229011145E11,3.8031213055492975E11,3.754772399117955E11
Total energy consumption by transponders (Joule),3, ,3.4238038764275903E11,3.3844243545027673E11,3.4682731138061615E11,3.3893215078826917E11,3.396021260750723E11,3.482228419490535E11,3.5340178499608777E11,3.4778971041345325E11,3.3457258325483545E11,3.511387725531224E11


Total energy consumption by OXCs (Joule),0, ,1.0980198633976732E16,1.0978983434629206E16,1.122263031746127E16,1.4080120949252164E16,1.130138176413168E16,1.1492855578894152E16,1.1099063551568396E16,1.1936980568014692E16,1.1364985479020024E16,1.2316344137109316E16
Total energy consumption by OXCs (Joule),1, ,5.566511473470925E15,5.038346506503789E15,6.894678123582018E15,6.230839958654239E15,5.922428734201932E15,5.341780207874799E15,5.744147186400663E15,5.777257326915034E15,6.912631805002702E15,5.433962115090218E15
Total energy consumption by OXCs (Joule),2, ,3.7162389196538805E15,3.4484411632674E15,3.5885312539302555E15,4.136622429062946E15,3.955584849887244E15,3.5626735290617225E15,3.6746380589847615E15,4.53258582779374E15,4.3676721533092475E15,3.503382348473885E15
Total energy consumption by OXCs (Joule),3, ,2.710661616470454E15,2.6858462179853215E15,2.7656993445000895E15,3.0466456896260065E15,2.854482479216869E15,3.0635717746591265E15,3.5267715952840395E15,3.046694945498223E15,2.76783458384102E15,3.269656967201934E15


Total energy consumption by Amplifiers (Joule),0, ,2.6095697793168637E11,2.6092809732943826E11,2.6671864414428668E11,3.3463017694961194E11,2.6859026233771594E11,2.7314085652267865E11,2.637819386369377E11,2.836959948082649E11,2.7010187736179675E11,2.927120038831781E11
Total energy consumption by Amplifiers (Joule),1, ,1.3229451125265543E11,1.1974206678205823E11,1.6385991063715887E11,1.480830374557175E11,1.4075329199517386E11,1.2695351571408104E11,1.3651622712175209E11,1.373031274771586E11,1.6428660040866943E11,1.2914432416197993E11
Total energy consumption by Amplifiers (Joule),2, ,8.832066796534578E10,8.195614802057259E10,8.52855492378187E10,9.831156283388095E10,9.400899772294083E10,8.467101083438753E10,8.733197593513206E10,1.0772208584433188E11,1.0380272376831935E11,8.326188811994688E10
Total energy consumption by Amplifiers (Joule),3, ,6.4421973336683846E10,6.383220701180113E10,6.5730007886659676E10,7.240701908007977E10,6.784004061915571E10,7.280928684823949E10,8.381776031926938E10,7.240818970221324E10,6.578075429154275E10,7.770713713630563E10


