Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,1.2661037741719852E16,1.3196783111151524E16,1.1846000063342146E16,1.2304432034829854E16,1.1992376344807764E16,1.3984285021208534E16,1.0512850097649884E16,1.174383439428766E16,1.1882889488885268E16,1.07504881960056E16
Total consumed energy (Joule),1, ,5.548374922519745E15,6.32439821472169E15,7.313841760146319E15,5.974755479492036E15,6.032808654431796E15,5.508945623144379E15,6.774854404105358E15,4.596283498173503E15,6.416661697557835E15,7.115092814868692E15
Total consumed energy (Joule),2, ,3.2775159150369525E15,4.4863222665726925E15,4.14786992033668E15,3.832627040420644E15,4.43257456332493E15,4.034449667346295E15,4.62745981721898E15,3.5431586572146835E15,3.9293441146073795E15,3.6666177479294865E15
Total consumed energy (Joule),3, ,2.9810370390844365E15,2.5127730395562855E15,2.610391025153117E15,3.463061084295185E15,2.83742929580663E15,2.857940553390226E15,2.753367387320723E15,2.4781167059950735E15,2.5960222663940895E15,3.271322288383531E15


Average power consumption (Watt),0, ,3.080166808942602E9,3.080164259364499E9,3.0801718793820915E9,3.080169633517869E9,3.0801718488275228E9,3.080159187729755E9,3.080183310665272E9,3.080174189868049E9,3.0801734876226344E9,3.0801832041341987E9
Average power consumption (Watt),1, ,3.0802685000709763E9,3.0802449156805415E9,3.080222825615784E9,3.080255081138346E9,3.0802535710237846E9,3.0802711227025466E9,3.080237100404837E9,3.080306601992112E9,3.080243316193922E9,3.080228152161798E9
Average power consumption (Watt),2, ,3.0803884221683955E9,3.0803068436647043E9,3.080320828645877E9,3.080339751144256E9,3.0803081726452384E9,3.0803264888267207E9,3.0802944352614355E9,3.080360153955868E9,3.080333653382155E9,3.080352712573094E9
Average power consumption (Watt),3, ,3.0804050520842743E9,3.080461545337418E9,3.0804519460867615E9,3.0803606965510755E9,3.0804263740347733E9,3.080420439636583E9,3.080433552187705E9,3.080472552301845E9,3.0804545216003904E9,3.0803810105677457E9


