Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.0037324773012194657,0.004463776925122517,0.0031056490521597082,0.00431181856171409,0.0036849903126543325,0.0037324773012194657,0.00422634198229685,0.004102875812027505,0.003238612620142081,0.0035330319492459066
Blocking probability,1,all,all,all, ,0.005461003684990313,0.004026896630323291,0.0035900163355240666,0.005404019298712153,0.003998404437184211,0.005755423014094138,0.00439729514113133,0.004235839380009878,0.00448277172054857,0.005014625992478061
Blocking probability,2,all,all,all, ,0.007616912965847358,0.011282908483075638,0.012413098810925807,0.008718611100558446,0.017028834099456748,0.014265091364965999,0.012773999924020818,0.009820309235269536,0.021065228127493067,0.012745507730881738
Blocking probability,3,all,all,all, ,0.03098051133989287,0.022594309159290355,0.014388557535235345,0.02705808608441287,0.028264255593967252,0.05887436842305208,0.020561866048702655,0.01662994339550963,0.03035368309083311,0.0216825589788398


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,2.849219313907989E-5,6.648178399118641E-5,3.7989590852106524E-5,9.497397713026631E-6,3.7989590852106524E-5,5.698438627815978E-5,9.497397713026631E-6,9.497397713026631E-6,3.7989590852106524E-5,1.8994795426053262E-5
Blocking probability by QoTN,1,all,all,all, ,0.001158682520989249,0.0012536564981195152,9.117501804505565E-4,0.001158682520989249,0.001263153895832542,0.0013676252706758347,0.0011776773164153022,9.78231964441743E-4,0.0012441591004064886,0.001130190327850169
Blocking probability by QoTN,2,all,all,all, ,0.003257607415568134,0.0035425293469589334,0.003343083994985374,0.0039509174486190785,0.005128594765034381,0.0049291494130608215,0.004644227481670022,0.004036394028036318,0.003067659461307602,0.0036090111309501197
Blocking probability by QoTN,3,all,all,all, ,0.01065608023401588,0.00896554344109714,0.007113550887056947,0.010247692132355735,0.007483949397864985,0.010836530790563386,0.009525889906165711,0.007882840101812104,0.011035976142536945,0.009307449758766097


Blocking probability by QoTO,0,all,all,all, ,0.003703985108080386,0.00439729514113133,0.003067659461307602,0.004302321164001064,0.003647000721802226,0.003675492914941306,0.004216844584583824,0.004093378414314478,0.0032006230292899746,0.0035140371538198534
Blocking probability by QoTO,1,all,all,all, ,0.004292823766288037,0.0027732401322037763,0.0026592713596474567,0.004235839380009878,0.002725753143638643,0.004387797743418303,0.0032006230292899746,0.003257607415568134,0.0032291152224290546,0.0038749382669148653
Blocking probability by QoTO,2,all,all,all, ,0.004264331573148957,0.007607415568134331,0.008946548645671086,0.004672719674809102,0.011719788777874862,0.009183983588496751,0.007930327090377236,0.005517988071268473,0.01793108688219428,0.009003533031949246
Blocking probability by QoTO,3,all,all,all, ,0.018814344869505756,0.012508072788056072,0.006220795502032443,0.015442768681381301,0.01998252478820803,0.047088097861186035,0.010409147893477187,0.007768871329255784,0.017294761235421494,0.011311400676214717


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,9.497397713026631E-6,0.0,1.8994795426053262E-5,9.497397713026631E-6,9.497397713026631E-6,0.0,1.8994795426053262E-5,0.0,9.497397713026631E-6,9.497397713026631E-6
Blocking probability by other,2,all,all,all, ,9.497397713026631E-5,1.3296356798237283E-4,1.234661702693462E-4,9.497397713026631E-5,1.80450556547506E-4,1.519583634084261E-4,1.9944535197355924E-4,2.6592713596474565E-4,6.648178399118641E-5,1.3296356798237283E-4
Blocking probability by other,3,all,all,all, ,0.0015100862363712343,0.0011206929301371424,0.001054211146145956,0.0013676252706758347,7.97781407894237E-4,9.49739771302663E-4,6.268282490597576E-4,9.78231964441743E-4,0.0020229457128746724,0.0010637085438589826


Blocking probability per pair,0,all,26,27, ,0.0,0.0,0.0,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,27,18, ,0.0,0.006802721088435374,0.0,0.007462686567164179,0.0,0.0,0.01282051282051282,0.007692307692307693,0.013793103448275862,0.0
Blocking probability per pair,0,all,10,24, ,0.013888888888888888,0.03731343283582089,0.013333333333333334,0.027586206896551724,0.021897810218978103,0.006896551724137931,0.014388489208633094,0.0070921985815602835,0.0078125,0.007142857142857143
Blocking probability per pair,0,all,3,2, ,0.0,0.006134969325153374,0.0,0.0,0.0,0.006493506493506494,0.0,0.00684931506849315,0.006289308176100629,0.0
Blocking probability per pair,0,all,3,12, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,2,27, ,0.0,0.02564102564102564,0.0,0.006578947368421052,0.0,0.007142857142857143,0.007142857142857143,0.012121212121212121,0.006944444444444444,0.006993006993006993
Blocking probability per pair,0,all,16,21, ,0.0,0.0,0.0,0.006896551724137931,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,24,10, ,0.008264462809917356,0.024793388429752067,0.0,0.014184397163120567,0.007352941176470588,0.007874015748031496,0.007352941176470588,0.0,0.0,0.0
Blocking probability per pair,0,all,25,24, ,0.006493506493506494,0.02127659574468085,0.006578947368421052,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.020134228187919462
Blocking probability per pair,0,all,19,24, ,0.0,0.0,0.0,0.0,0.0,0.0,0.007462686567164179,0.0,0.0,0.0
Blocking probability per pair,0,all,25,10, ,0.014084507042253521,0.0,0.015151515151515152,0.0,0.0,0.0,0.006944444444444444,0.0,0.0,0.0
Blocking probability per pair,0,all,17,28, ,0.0364963503649635,0.029197080291970802,0.012987012987012988,0.022556390977443608,0.014084507042253521,0.040268456375838924,0.029411764705882353,0.040983606557377046,0.02097902097902098,0.028368794326241134
