Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.0280501179510952E16,1.1246530011512022E16,1.4264204000591332E16,1.0044672577515788E16,1.0816963413758728E16,1.122397675175574E16,1.0854073081012692E16,1.105028093460374E16,1.148217426728586E16,1.2014548905545376E16
Total energy consumption (Joule),1,all,all,all, ,5.909400599602114E15,6.797235858711679E15,5.562541160274195E15,5.077200936183782E15,5.677475810508831E15,5.486224629684931E15,5.510630269650093E15,5.192228255177959E15,5.797728220973289E15,5.619864943084118E15
Total energy consumption (Joule),2,all,all,all, ,3.6811833230979255E15,4.2838245234137505E15,3.681378123993371E15,3.694710263373206E15,3.603205220337936E15,3.551174603046497E15,4.0933439928454575E15,3.935695867989481E15,3.8245185539170715E15,3.9759627933692105E15
Total energy consumption (Joule),3,all,all,all, ,2.8485335627639395E15,2.5467874609984105E15,2.805464216593719E15,2.635732032956825E15,2.9046193497679725E15,2.6931333831846675E15,2.6395626000499345E15,3.751808985110457E15,2.4194923678399135E15,2.570846256985386E15


Average power consumption (Watt),0,all,all,all, ,3.080365354151008E9,3.0803669516823435E9,3.0803639779357743E9,3.0803663445042806E9,3.0803637866153145E9,3.0803641848833914E9,3.0803655931876097E9,3.080367906808416E9,3.0803637446390934E9,3.0803643579436126E9
Average power consumption (Watt),1,all,all,all, ,3.0805435937923846E9,3.0805444365722866E9,3.0805446855888777E9,3.080543371232185E9,3.0805444261079464E9,3.08054571357981E9,3.0805417768772864E9,3.080546190137302E9,3.0805476333147573E9,3.0805421843724346E9
Average power consumption (Watt),2,all,all,all, ,3.08070804109625E9,3.0806998092782855E9,3.0807070630771422E9,3.0807059720944004E9,3.080713698017473E9,3.0807029653849287E9,3.080696768092261E9,3.080704682535774E9,3.0807117048771353E9,3.080709514512509E9
Average power consumption (Watt),3,all,all,all, ,3.080852440917622E9,3.080862773045673E9,3.0808660377976456E9,3.0808453639966164E9,3.080851743664967E9,3.08082330815231E9,3.080872727603343E9,3.080836861039904E9,3.080741093849678E9,3.0808383631312895E9


Energy efficiency (bits/Joule),0,all,all,all, ,3218.7095067157416,2955.9869964548698,2309.8884868416976,3324.207308364058,3057.714055736083,2951.321704072614,3033.8969607580098,3013.1239806045864,2874.8721736075327,2768.4949858452824
Energy efficiency (bits/Joule),1,all,all,all, ,5576.3834915502275,4853.181520929022,5898.880782266147,6446.233464535943,5789.6389614180525,6003.776258854507,5971.300289765915,6389.635304249295,5731.7677973182945,5834.598127659281
Energy efficiency (bits/Joule),2,all,all,all, ,8794.526199238724,7337.689176903088,8782.606238839571,8714.035948611037,9012.804351578172,8867.089979816146,7661.074008632134,8071.588790798667,8532.127390325684,8172.7747725262425
Energy efficiency (bits/Joule),3,all,all,all, ,10867.49626014066,12408.851144280357,11249.164967138742,11705.616496550989,10511.252790342478,10912.975882146862,12208.233214110614,7887.934808909465,10443.580974104247,11891.192255292479


Total data transmitted (bits),0,all,all,all, ,3.3089946880294298E19,3.324459646926897E19,3.29487205949272E19,3.3390573992302023E19,3.3075181070633026E19,3.3125566193463153E19,3.2930139332329734E19,3.329586647647219E19,3.3009783293532578E19,3.3262218402195296E19
Total data transmitted (bits),1,all,all,all, ,3.2953083948578247E19,3.298821946289563E19,3.281276715090589E19,3.2728822581001114E19,3.2870535155030462E19,3.293806518244525E19,3.2905628125954425E19,3.3176444967005802E19,3.3231231914578182E19,3.2789653474616627E19
Total data transmitted (bits),2,all,all,all, ,3.2374263179185377E19,3.1433372841205105E19,3.23320944793117E19,3.2195838054736273E19,3.2474983689490936E19,3.148858473925117E19,3.1359411271978815E19,3.1767318652056527E19,3.263127950868462E19,3.2494648414150853E19
Total data transmitted (bits),3,all,all,all, ,3.0956427840222265E19,3.160270649964899E19,3.15591297818674E19,3.0852868365467283E19,3.0531188245131354E19,2.939009965809886E19,3.222439580465378E19,2.9594024690032067E19,2.5268164459763356E19,3.057042710061228E19


