Metrics,LoadPoint,Node, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Tx Utilization,0,all, ,177.47772860236296,177.909451810204,176.87397902974584,177.05667097215363,175.67018386961973,176.63097861186034,177.35803289898567,178.0595676784561,176.19501006724158,177.0522071952285
Tx Utilization,1,all, ,248.33550507161038,248.7492022185921,251.05850396991224,249.85012156669072,251.4303840747635,248.86462409299853,248.24682786916384,247.97388215628916,250.10494624472895,247.64256543707023
Tx Utilization,2,all, ,305.4208961744482,316.338563233674,310.22573414884323,311.7986266762907,312.2094461117654,329.7427819777381,321.0095448847016,315.99973407286404,312.58341564411353,307.30923526953615
Tx Utilization,3,all, ,380.38294457318693,378.2680070660639,376.30727880560727,374.0404399194621,393.3760684572427,394.8327603236713,369.4227196748091,415.37475781635834,402.0747160278084,374.28808456482926


Rx Utilization,0,all, ,177.47772860236296,177.909451810204,176.87397902974584,177.05667097215363,175.67018386961973,176.63097861186034,177.35803289898567,178.0595676784561,176.19501006724158,177.0522071952285
Rx Utilization,1,all, ,248.33550507161038,248.7492022185921,251.05850396991224,249.85012156669072,251.4303840747635,248.86462409299853,248.24682786916384,247.97388215628916,250.10494624472895,247.64256543707023
Rx Utilization,2,all, ,305.4208961744482,316.338563233674,310.22573414884323,311.7986266762907,312.2094461117654,329.7427819777381,321.0095448847016,315.99973407286404,312.58341564411353,307.30923526953615
Rx Utilization,3,all, ,380.38294457318693,378.2680070660639,376.30727880560727,374.0404399194621,393.3760684572427,394.8327603236713,369.4227196748091,415.37475781635834,402.0747160278084,374.28808456482926


Regenerators Utilization,0,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,1,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,2,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,3,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Tx Utilization Per Node,0,22, ,5.957100254530259,5.899223112867074,5.83073737795844,5.817393534171637,5.78881586445314,5.707774569767883,5.660145120237055,5.76361926832048,5.95697678835999,5.858222846939938
Tx Utilization Per Node,0,23, ,4.940774227861566,5.081753599513733,4.9595600805379325,4.825979181704213,4.669424077802682,4.827432283554306,4.862705618660487,4.876125441628994,4.75734148843217,4.926243209360635
Tx Utilization Per Node,0,24, ,5.533250389393306,5.552653572921019,5.715714394255974,5.628347832693842,5.464432245564716,5.587433043346123,5.300706606389849,5.317925388443567,5.528976560422445,5.450812977244235
Tx Utilization Per Node,0,25, ,6.583748053033469,6.346863959275159,6.57029024047411,6.39883371956084,6.413782623561144,6.28219617824716,6.32546632222771,6.336635261938229,6.435123276222315,6.335030201724727
Tx Utilization Per Node,0,26, ,6.166764806443035,6.482762223150857,6.3494472514531015,6.346180146639821,6.7160847927667815,6.601536678949968,6.676062758804088,6.457413668654788,6.420440299357976,6.109182084108954
Tx Utilization Per Node,0,27, ,6.273809976066557,6.705181780192228,6.107548531702314,6.208135470880978,6.439254644227482,6.470358621737644,6.4953177829274775,6.758443186566881,6.307183831630133,6.4921171598981875
Tx Utilization Per Node,0,28, ,4.671560992288113,4.728535881168559,4.625650571743343,4.843710823234434,4.534599019868556,4.724433005356532,4.717414428446606,4.665805569274019,4.777485468981499,4.5519317706948295
Tx Utilization Per Node,0,10, ,7.081031797287543,7.0390058124074,7.109001633552406,6.919319606427838,7.07967366941458,7.376372373969533,7.236874596360598,7.16496030087756,7.0648292367891194,7.182397523078676
Tx Utilization Per Node,0,11, ,8.615203434259014,8.4950423583938,8.370768909318846,8.392318504729705,8.78643201762717,8.306708961744482,8.810450936443415,8.537837632488698,8.03097101394218,8.767703149337082
Tx Utilization Per Node,0,12, ,6.2234737681875165,6.366817991870228,6.588287809140295,6.622241005964366,6.277808380503742,6.342210234395775,6.208315921437526,6.259108004406793,6.359315047676937,6.167524598260076
Tx Utilization Per Node,0,13, ,7.355269156251187,7.078211070166774,7.546100368499031,6.644398434828857,6.879772442350796,7.299842343197963,7.303897732021426,7.646820271245678,6.891511225924097,7.458857273107169
Tx Utilization Per Node,0,14, ,7.121604680317593,7.2415758082285455,6.95324431105877,7.038084564829237,7.046252326862439,6.805664247996049,6.95820195266497,7.097975154807583,6.76302093226456,6.908084184933328
Tx Utilization Per Node,0,15, ,7.476512935455685,7.76393268244501,7.686671352049538,7.595154427686814,7.6258405196976025,7.71818371766136,7.7244899897428105,7.521464118831441,7.712285833681571,7.788587926908027
Tx Utilization Per Node,0,16, ,6.2656042244425025,5.866960452835923,6.144236979067736,6.337366561562132,6.0778406716559665,5.885812787296281,6.164418949207917,6.270371918094442,6.0446282718535125,6.379269080272006
Tx Utilization Per Node,0,17, ,5.9124339930858945,5.617834213425521,5.754064886221175,6.177050488166242,6.160563005736428,5.775832921779433,5.852410439539566,5.9360730159936175,5.892717395433651,5.984870645443149
Tx Utilization Per Node,0,18, ,6.690375337157619,6.810621889602249,6.437640086616267,6.611347490787524,6.509212475781636,6.726303992705999,6.398406336663754,6.537961098658967,6.231651027618432,6.940517798123314
Tx Utilization Per Node,0,19, ,6.018272993199863,6.089465486456711,5.793327128366827,5.900296318808646,6.193300535653231,5.998822322683584,6.024037913611671,6.066244349048361,6.4383144018538925,6.116685028302245
Tx Utilization Per Node,0,1, ,5.152727652623181,4.896411883144019,5.099076852942294,5.086103407666299,5.029204497967557,5.014958401398017,5.021454621433727,5.327432283554306,5.228991756258785,4.984319796375793
Tx Utilization Per Node,0,2, ,5.283905709835505,5.3770941761957225,5.093767807620712,4.985393002317365,5.1618356570299735,5.178332636857501,5.464802644075523,5.315123656118224,5.137275386544087,5.09498347452798
Tx Utilization Per Node,0,3, ,6.8820898073927745,6.409774721726247,6.420962656232192,6.715999316187364,6.470567564487331,6.6370664437944,6.358868669984425,6.838781673821373,6.71212437792045,6.385974243057403
Tx Utilization Per Node,0,4, ,6.82895186718839,7.313461611518444,7.11921133609391,6.974243057402272,7.226351479694563,7.505432511491851,6.925293469589333,7.0468411655206475,7.064249895528625,7.11447213463511
Tx Utilization Per Node,0,5, ,5.6582741328875885,5.399849941116134,5.222713976370475,5.511966721118413,5.451192873152756,5.5287391254796185,5.67691752459826,5.41741062948752,5.6891216806594995,5.517000341906318
Tx Utilization Per Node,0,6, ,4.78643201762717,4.701648748242982,5.032186680849447,4.929671769935037,5.061647608555256,4.877521559092808,4.910572503134142,4.992307107852448,4.8502830224518485,4.960908711013182
Tx Utilization Per Node,0,7, ,5.930374577365802,5.853778064810242,6.067839911864149,5.9708999734072865,5.898805227367701,5.76393268244501,6.150210842229229,6.101878585267636,6.073699806253087,6.040810317972875
Tx Utilization Per Node,0,8, ,5.616343121984576,5.574108194354746,5.804296622725373,5.558219047980853,5.3671598981878965,5.693499981005204,5.516278539680128,5.172871633172511,5.411569729894009,5.374966759108005
Tx Utilization Per Node,0,9, ,9.85992288113057,10.467110511719788,9.84134597120389,9.94198039737112,9.543327128366828,9.45352923299016,9.86880294799225,9.944202788435968,9.940717243475287,9.589598450024694
Tx Utilization Per Node,0,20, ,6.356779242487558,6.392679405842799,6.113000037989591,6.431979637579303,6.0342761083463134,6.184828856893211,6.208914257493447,6.154095277893857,6.153041066747711,6.228640352543403
Tx Utilization Per Node,0,21, ,6.235136572579114,6.357092656612088,6.517285263837708,6.644056528511188,5.762726512935456,6.35621889602249,6.536593473388292,6.533839228051514,6.321164001063709,6.342495156327167
Tx Utilization Per Node,1,22, ,7.831136268662386,7.94075523306614,8.144645367169396,8.602875812027504,7.652490217680356,7.57998708353911,7.537742658511568,7.85715913839608,7.719589332522888,7.933964593701326
Tx Utilization Per Node,1,23, ,6.116817991870228,5.751320138282111,7.493465790373437,6.421665463662956,6.392907343387912,6.054780990008737,6.2857102154009805,6.899270599855639,6.157761273411086,6.52591839835885
Tx Utilization Per Node,1,24, ,7.881519963529993,7.077783687269688,7.096550545150628,7.064971697754816,7.147542073471869,7.467651863389431,7.531588344793526,7.066766705922578,7.171266572959009,7.790544390836911
Tx Utilization Per Node,1,25, ,8.368014663982068,9.404256733654979,8.872117539794097,8.613512897466094,9.417116210158417,8.729723055882689,8.580851346730995,9.753571021540099,9.047648444326255,9.245270295938912
Tx Utilization Per Node,1,26, ,8.96770884777571,9.32712836682749,9.279346958933253,9.586217376438857,9.66693575960187,9.317108612240245,9.45788853854044,9.320128784712988,9.096977928047714,9.272974205067811
Tx Utilization Per Node,1,27, ,8.679481821980778,9.02607985411997,9.097006420240854,8.70531474376021,8.717794324355127,9.03862591649888,9.20035710215401,9.648985677924248,9.33651179576796,8.342675606883715
Tx Utilization Per Node,1,28, ,5.998537400752194,6.213159594271169,5.950680013676252,6.038730387873723,6.151141587205106,6.142071572389165,6.26010523116666,5.8740740037229795,6.053679291874026,6.102657371880105
Tx Utilization Per Node,1,10, ,10.350710405348934,10.06843824792007,10.259611366485583,9.400030391672681,10.361318998594385,10.61011282908483,10.892309007331992,9.601755119097367,10.867093416403906,9.67039281236941
Tx Utilization Per Node,1,11, ,11.879724955362231,12.27516810393952,12.132773620028113,11.958752801732325,12.247891577707708,11.560346465068571,11.692284314097938,12.435493674733124,11.426528131292025,11.185379705960568
Tx Utilization Per Node,1,12, ,9.041617596778483,8.609229571097519,9.529850321012043,8.654484671200091,8.796214337271588,8.996210538312502,9.968440147399612,8.639060897314137,8.95478288948828,8.795853436158492
Tx Utilization Per Node,1,13, ,10.392176043764008,9.81824829996581,10.216407704289026,11.41100938342894,10.589455989058997,10.83780344185693,10.695342476161532,10.06840975572693,10.06665273715002,10.315731489571858
Tx Utilization Per Node,1,14, ,10.492079170307337,9.858336815712494,9.871804125669566,10.178854993731717,9.300478668844736,9.987339968848536,10.114956501918474,9.208363408426091,11.503571021540099,9.782519089769403
Tx Utilization Per Node,1,15, ,10.963995365269916,12.890703947118489,12.050127265129355,10.307943623447175,11.018339474983854,11.202645975002849,10.691904418189417,11.695655890286062,10.423821372943813,10.806898909698743
Tx Utilization Per Node,1,16, ,8.833244690954679,9.001823500360901,8.398681761197432,8.730425863313451,8.831668122934316,8.656384150742696,8.131937849029367,7.942977624130988,8.467471412832884,9.300184249515633
Tx Utilization Per Node,1,17, ,8.594708049994301,8.879886411123353,7.552634578125594,9.632887588800669,8.852571895300688,7.975601185275234,8.513923185047297,8.276706682369031,8.773686509896288,8.288986817611974
Tx Utilization Per Node,1,18, ,9.541788549937317,9.344916992743988,10.024702731451582,9.612772100444479,9.938209930479049,9.096655016525473,9.977519659613266,9.110473730197926,10.124036014132129,9.120417505603465
Tx Utilization Per Node,1,19, ,8.065152148311363,8.574478592865555,8.268937811039775,7.882944573186947,8.702788435968545,7.380902632678646,7.728896782281655,8.555122896326406,7.653525434031075,8.081981537058846
Tx Utilization Per Node,1,1, ,6.762830984310299,6.796195342476161,7.126875736048323,6.700005698438628,7.350662918360369,7.04509364434145,6.970102191999392,7.074848991376363,6.981432587471033,6.91803745773658
Tx Utilization Per Node,1,2, ,6.904570147779508,7.1345876229913,6.796337803441857,7.635907761273411,7.34856399346579,7.838268814344869,6.892717395433651,6.95634996011093,7.038901341032557,6.956881814382859
Tx Utilization Per Node,1,3, ,9.376989704820879,8.87222201116894,10.333938000987729,9.448353151236562,9.403174030315693,8.971327356304373,8.911066367815218,9.169614025756943,10.16948106218896,10.199967708847776
Tx Utilization Per Node,1,4, ,10.959161189833985,10.468668084944726,10.426518633894313,10.122924818599703,10.879449530828554,11.031388899441554,9.98079626182426,10.13408426091251,10.266620445997797,10.16496030087756
Tx Utilization Per Node,1,5, ,7.648748242981423,7.959588572731072,7.450661018880827,7.70697678835999,8.031616836986666,7.312739809292254,7.551409413820613,6.965619420278844,8.020609353037267,7.317830414466436
Tx Utilization Per Node,1,6, ,6.4637199407362385,6.144417429624283,6.569093568362269,6.645956008053793,6.322436652357254,6.843406906507617,6.339190061923033,7.142394483911408,5.952607985411997,6.2964232800212745
Tx Utilization Per Node,1,7, ,8.101061809064316,7.946976028568172,9.029992781977738,8.067469513353341,7.991661284807963,8.093065000189949,7.8194354746799375,8.603398168901721,8.040914789347719,8.019061277210044
Tx Utilization Per Node,1,8, ,7.647456596892451,6.763134901037116,7.194421228583368,7.61726436956274,7.303641302283174,7.601527181552255,7.196681609239069,7.066405804809482,7.516848383542909,6.845334878243361
Tx Utilization Per Node,1,9, ,14.926186224974357,15.599133837328573,14.109941875925996,15.482676746571439,15.082142992819968,14.72150780686092,14.952389545264598,14.608545758462181,15.15287961098659,16.03881586445314
Tx Utilization Per Node,1,20, ,9.281350909850701,8.455989058997835,8.824355126695286,8.648263875698058,8.77058086084413,9.310232496296015,9.696092770580861,9.435721612278236,9.123171750940243,9.269564639288834
Tx Utilization Per Node,1,21, ,8.265015385784295,8.546575238384683,8.957024275348555,8.970928465600425,9.161588724689436,9.462114880522737,8.67518899821449,8.862924058807886,8.996875356152414,9.053337385556357
Tx Utilization Per Node,2,22, ,11.032310147019716,10.298531702313566,11.120066101888083,9.069967328951867,9.9677753295597,8.513704744899897,9.454308019602628,11.308855373627626,10.310460433841127,8.997492687003762
Tx Utilization Per Node,2,23, ,7.363303954716407,7.517114310678874,8.839000113968773,8.05419215135053,7.065389583254189,6.709246666413403,10.412680925426432,7.936633362458687,6.364329673669414,8.569264521521104
Tx Utilization Per Node,2,24, ,8.72696881054591,9.01129240588079,9.674714128328837,9.369534247616153,8.720444098317062,9.058323519355696,8.87925008547658,9.975762641036356,9.355098203092354,9.724309539186264
Tx Utilization Per Node,2,25, ,11.550013296356799,9.128680241613798,12.091013562283933,10.30852296470767,11.121215287011358,11.272214413250769,13.678304144664361,11.656963492003191,10.74971507806861,11.784561030277704
Tx Utilization Per Node,2,26, ,11.956074535577251,13.34238118755461,11.099437754055389,12.175369448771036,12.26157732781218,14.629022147931467,10.52023895452646,9.790781825779737,10.141606199901227,10.846939938456863
Tx Utilization Per Node,2,27, ,9.704156061239221,9.584270409907685,11.198248679861718,10.81586445313984,11.167144702351555,12.988992516050603,12.101118793450594,10.433774645747066,10.563613569881852,10.533677772290392
Tx Utilization Per Node,2,28, ,6.688675302966987,6.5665007787866125,6.250807278805607,6.69034684496448,6.355525585989439,7.096588534741481,7.151635451886183,7.026811153743874,8.011539338221327,6.336625764540516
Tx Utilization Per Node,2,10, ,11.622108042396384,11.995441249097746,12.13323899251605,14.098886904988033,14.628775215590927,14.016098089123581,12.056908407096456,11.52268928313642,13.57163887094936,13.094413630665198
Tx Utilization Per Node,2,11, ,14.52607985411997,17.046299813851004,12.270808798389242,14.401929871215287,14.508747103293697,15.523866960452835,18.581981537058844,15.010941002165406,14.796109865896744,14.65987919310109
Tx Utilization Per Node,2,12, ,11.594347148881207,11.191742962428295,13.016297534475553,11.545226607909433,10.823101470197166,12.074146183945599,12.194031835277134,13.256600691410554,14.353103749572616,12.418531322417657
Tx Utilization Per Node,2,13, ,13.087309577175853,14.103436158492572,15.348896402385746,14.346227633628386,13.159803213919385,14.001263153895833,12.621538198533601,16.56763096911446,12.648881206549406,14.355459104205448
Tx Utilization Per Node,2,14, ,14.48334156441135,12.651179576795958,13.133656878015424,15.976921323557345,14.163754131368005,14.518966303232915,13.051124491889222,11.024693234053869,11.505622459446112,13.943908369106865
Tx Utilization Per Node,2,15, ,12.662092086768226,18.707499145234205,14.713719940736238,14.816339323025492,14.337888918436349,16.22137484329294,17.451914675378948,14.812654332712837,15.062578353531132,13.126571819321505
Tx Utilization Per Node,2,16, ,9.4948239182464,11.797619952133115,10.630095353873038,11.538132051817803,10.918759259962771,13.475173802378148,10.10882118299586,11.835020704327015,10.21912396003495,11.154095277893857
Tx Utilization Per Node,2,17, ,9.779384948524104,9.446358697716825,10.489657333890515,10.730834251415112,9.836682748926794,7.890096113664856,12.113826311590625,10.055768719370892,10.145462143372717,10.963615469361395
Tx Utilization Per Node,2,18, ,12.29747749116742,9.946064278387722,12.184486950575542,11.901663944079322,13.183356760247692,14.167296660714964,10.150562245944611,11.908976940318352,11.194639668730767,12.330253010675076
Tx Utilization Per Node,2,19, ,9.791940508300726,9.966569160050147,10.904522660790944,7.664922311286707,11.944383238992517,10.754102875812027,9.284086160392052,9.959465106560803,11.405605364130228,9.372706378452303
Tx Utilization Per Node,2,1, ,8.737501424609658,8.162747407210425,8.27086578277552,8.33102229988983,7.923080575922198,8.021093720320632,8.584260912509972,9.129724955362231,8.657922729172206,8.120123086274361
Tx Utilization Per Node,2,2, ,8.433622687383657,9.903126543327128,8.017342248223986,9.990958477377198,7.192759183983589,9.486314249895528,9.730397371120313,8.7157333890514,7.612981043194165,8.621614177715307
Tx Utilization Per Node,2,3, ,9.889592751586065,12.480188428370626,11.139469285415796,11.676860540211981,11.697811799566919,13.887351365725792,10.558437488128252,11.595315883447935,10.81075485317023,10.908938950727501
Tx Utilization Per Node,2,4, ,12.841108536261064,14.843178968962505,12.887341868328079,14.088126353379174,13.229590092314705,13.390238574630551,14.677724803403867,14.090481708012005,15.046356798237284,12.268367967176994
Tx Utilization Per Node,2,5, ,9.777627929947194,9.948362648634275,8.304856969190443,9.274560270485887,9.546613227975534,11.089569957831554,9.20211412073092,9.65268966303233,9.905234965619421,8.83258937051248
Tx Utilization Per Node,2,6, ,7.8898396839266045,9.569739391406754,7.341982296850663,7.3726303992706,7.956150514758956,8.517921589484482,6.375166204459978,7.926708581848573,8.188665805569274,7.668360369258823
Tx Utilization Per Node,2,7, ,10.377265129354557,9.444877103673594,9.548436728336435,9.327356304372602,10.00834821258975,11.119562739809293,9.090614671579987,10.289471184895339,8.993361318998595,10.022632298750143
Tx Utilization Per Node,2,8, ,10.060887816738214,8.496495460243894,8.995450746495461,8.903829350757892,8.096787980093454,9.990873000797782,10.380836150894655,8.215372487938305,9.570090795122136,9.778045815446568
Tx Utilization Per Node,2,9, ,19.232325342856058,18.236219275918398,17.34995061353189,17.715040079018348,19.824507085058695,19.069587433043345,18.25351403715382,19.132973065380085,19.693348022641796,15.721802226190023
Tx Utilization Per Node,2,20, ,11.718060251491092,12.153515936633362,11.143040306955895,11.673773885955248,11.62024655244463,11.287220301637351,12.558551456900808,13.072389165368689,11.502117919690004,11.014445541921514
Tx Utilization Per Node,2,21, ,10.102657371880104,10.799130038369487,12.128328837898415,9.939587053147438,10.949226911826159,10.972571515404779,11.785596246628424,10.094850510959997,12.203453253808457,12.140010637085439
Tx Utilization Per Node,3,22, ,12.940014436044525,12.973530752573796,11.043441097139384,10.49064506325267,11.536992364092239,12.362734110853626,11.496163051323938,14.590766629943396,22.907105952968887,13.39378110397751
