Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Percentage of cicuits per modulation,0,BPSK,all, ,0.04349654614082493,0.04282447654875183,0.04197882843641931,0.04241390923633914,0.04342552923387097,0.04454035844935127,0.04230431097564186,0.041562947085982,0.04118049345047083,0.041442549857774555
Percentage of cicuits per modulation,0,QPSK,all, ,0.37572415388335734,0.3748300825087725,0.37432485942820937,0.37553148943335857,0.36957115255376344,0.3731768297497171,0.3787646677932374,0.37115276780614087,0.3689568099321374,0.3692814065860109
Percentage of cicuits per modulation,0,8QAM,all, ,0.19038281586777556,0.1837163721430152,0.18083471925239566,0.18700008419634587,0.18704322076612903,0.1879358896755007,0.17816663771274552,0.19008589291422762,0.19116734178547004,0.18413594754746546
Percentage of cicuits per modulation,0,16QAM,all, ,0.35294550577746003,0.3629648362996449,0.3667801800374858,0.3577450113665067,0.36431556619623656,0.3586493670552938,0.36612496512368586,0.3614053107919023,0.36193908148771636,0.3709691836101603
Percentage of cicuits per modulation,0,32QAM,all, ,0.03745097833058216,0.035664232499815596,0.036081412845489824,0.037309505767449694,0.03564453125,0.03569755507013712,0.03463941839468932,0.0357930814017472,0.03675627334420538,0.034170912398588785
Percentage of cicuits per modulation,0,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation,1,BPSK,all, ,0.022845905586168964,0.02224695256088408,0.021110529886730303,0.02420621301467453,0.02500960709574899,0.02719641393336308,0.02640164893782303,0.027120618117155246,0.022429148534618564,0.027311011319661446
Percentage of cicuits per modulation,1,QPSK,all, ,0.3632047570125463,0.3681927586117653,0.36683430098560693,0.3680800391043441,0.35886397391024377,0.37038900936984426,0.34975193429107065,0.3585578652912243,0.36619198394501373,0.35906814560354283
Percentage of cicuits per modulation,1,8QAM,all, ,0.1856677355416498,0.19356090996143793,0.1908596999155786,0.17139350826287272,0.19617170216964575,0.18051217664698618,0.20539737122852084,0.19284964071420402,0.18992508019694393,0.19159096082610766
Percentage of cicuits per modulation,1,16QAM,all, ,0.3872751989871631,0.3735707445844872,0.3799532833710554,0.40045032396285085,0.3792569820217484,0.3786122669212331,0.3815033092690607,0.3820804259434502,0.3854912420257982,0.3820230532044782
Percentage of cicuits per modulation,1,32QAM,all, ,0.0410064028724718,0.0424286342814255,0.0412421858410288,0.03586991565525777,0.04069773480261313,0.043290133128573355,0.036945736273524814,0.03939144993396629,0.03596254529762555,0.04000682904620988
Percentage of cicuits per modulation,1,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation,2,BPSK,all, ,0.015849213787358117,0.013256761725243257,0.01065731358794492,0.012399175128559868,0.01604744190390213,0.015183370791171689,0.014448327090874851,0.01561283491295637,0.013047593293672255,0.012358094448188275
Percentage of cicuits per modulation,2,QPSK,all, ,0.34806831198583776,0.34512114919553205,0.3547934528448948,0.3700749171213031,0.36431273055551233,0.3409888869325655,0.36525705676801073,0.3646126376763451,0.3462006489994592,0.35872168368669327
Percentage of cicuits per modulation,2,8QAM,all, ,0.21993647818390086,0.2178355229430011,0.20814757079760976,0.19655955519590695,0.19194151737305504,0.2335090572017441,0.19688330438785545,0.20405684566754212,0.2236187960227982,0.21694054222176146
Percentage of cicuits per modulation,2,16QAM,all, ,0.3785015099448089,0.3847567953849898,0.39495972979994803,0.3813411991960114,0.38848506545052686,0.3698849336633766,0.3833828545123559,0.3775108739658054,0.3758944543828265,0.3716188896376549
Percentage of cicuits per modulation,2,32QAM,all, ,0.03764448609809434,0.03902977075123376,0.031441932969602494,0.039625153358218694,0.039213244717003645,0.04043375141114207,0.0400284572409031,0.038206807777351005,0.04123850730124391,0.04036079000570214
Percentage of cicuits per modulation,2,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation,3,BPSK,all, ,0.0072616000542143865,0.010838991144069344,0.013797480506458735,0.009629402691795727,0.014923171884132386,0.007401294312442218,0.01208204245866025,0.009608964193306068,0.007604200314547005,0.007182623696385164
Percentage of cicuits per modulation,3,QPSK,all, ,0.3541085643092097,0.36533714637595693,0.3412569734077163,0.3713737877411312,0.36130244549928714,0.3711824834293534,0.3515335318875537,0.3562098322343711,0.3563965834052626,0.35313521001594395
Percentage of cicuits per modulation,3,8QAM,all, ,0.22177854465649452,0.19167845196035965,0.21980501125345336,0.197875509729764,0.21954869968482174,0.20643708899834423,0.2140683106375333,0.21884650696936817,0.20888251086881696,0.22863117175043782
Percentage of cicuits per modulation,3,16QAM,all, ,0.3782600309647554,0.39124739723310875,0.3837427599227725,0.38003127046842317,0.3660000764730624,0.37700636709793006,0.39066541072955063,0.3766901761121776,0.38646918339573083,0.3710394939752738
Percentage of cicuits per modulation,3,32QAM,all, ,0.03859126001532599,0.040898013286505275,0.04139777490959903,0.04109002936888589,0.038225606458696354,0.037972766161930085,0.03165070428670213,0.038644520490777066,0.040647522015642625,0.040011500561959276
Percentage of cicuits per modulation,3,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Percentage of cicuits per modulation and bandwidth,0,BPSK,100.0, ,0.001850469451483004,0.0017018092919841095,0.0016578231831261055,0.001694451460806601,0.001758862567204301,0.0017685606758428298,0.0015898334886316377,0.0016455384421886709,0.0014940291440896417,0.0015195251089694045
Percentage of cicuits per modulation and bandwidth,0,BPSK,200.0, ,0.002108063210354218,0.0020337411353122795,0.0022861064913809034,0.0022417277090174288,0.002026629704301075,0.001984367186883175,0.0018425222550366661,0.0019861753808583004,0.0021831763901309907,0.0021084068120994157
Percentage of cicuits per modulation and bandwidth,0,BPSK,400.0, ,0.0017032730178423105,0.0018071844803422587,0.001504712124811911,0.001557632398753894,0.0016118531586021506,0.0016632892070426613,0.0014476960575288092,0.0014725996887102438,0.0015834604660950077,0.0016141668112581564
Percentage of cicuits per modulation and bandwidth,0,BPSK,10.0, ,0.0029807277812240436,0.0029979241087893446,0.0032100525329320766,0.0032310347730908477,0.003207955309139785,0.00316867121088507,0.003248103518164637,0.003060491879739439,0.0030143616181808617,0.002986471494445058
Percentage of cicuits per modulation and bandwidth,0,BPSK,40.0, ,0.0014614503054325998,0.0017281530890736467,0.001430796441487817,0.0016523532878673067,0.001564600134408602,0.0014527462694423243,0.0015477186942307996,0.0014201940058379931,0.0016991951181019517,0.0015878774495112808
Percentage of cicuits per modulation and bandwidth,0,BPSK,80.0, ,0.0017190440643038134,0.002028472375894372,0.001932367149758454,0.001826008251241896,0.0018586189516129033,0.0019001500118430402,0.0017793500634354091,0.0018184771956670982,0.001767583776106055,0.0017193242582456583
Percentage of cicuits per modulation and bandwidth,0,BPSK,160.0, ,0.0016507028629706344,0.0020337411353122795,0.0017053404081201658,0.001747074176980719,0.0017693632392473118,0.0019948943337631917,0.00164774133093279,0.0016350573056142209,0.0017623231101057393,0.0018823183010762865
Percentage of cicuits per modulation and bandwidth,0,QPSK,100.0, ,0.011207957018641378,0.011364714064426391,0.011388294923576464,0.011150753557295614,0.010652931787634408,0.011164039266257862,0.011839521575935607,0.010806051808258088,0.010784365300647062,0.01103627406133834
Percentage of cicuits per modulation and bandwidth,0,QPSK,200.0, ,0.01642291638191166,0.016723042392438277,0.016335366014624746,0.016576155594847184,0.016449302755376344,0.016185488328025896,0.01664587248693125,0.015726945429962426,0.01628702193697722,0.016162699601979063
