Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.004876680367988056,0.0063282613760115135,0.006182855262302596,0.0072383238704027564,0.005998966911346495,0.0053255424263461025,0.007173478151837957,0.005699203367961586,0.006018629489497735,0.006949211357143607
Bandwidth blocking probability,1,all,all,all, ,0.03724874816180112,0.01996384185404898,0.012442167666669158,0.010939302720328049,0.00991574479895402,0.010387720916750868,0.013277697931965187,0.013010216877658043,0.010257145437440678,0.012681454368035345
Bandwidth blocking probability,2,all,all,all, ,0.03432574649612802,0.023555998153011865,0.022421132549287955,0.030204561873831953,0.0389364498781895,0.035158096819999464,0.07040017950791266,0.1016992549918309,0.02580828976547263,0.03136712721479968
Bandwidth blocking probability,3,all,all,all, ,0.029890808970825147,0.1149265920605907,0.06284639682378926,0.11860957621218686,0.07300098684037387,0.06822297463230954,0.07768824865472757,0.08650696848901977,0.0955535465090245,0.0643443627173429


General requested bandwidth,0,all,all,all, ,9.291915492750594E15,9.298339201935066E15,9.293488514063074E15,9.291570462117012E15,9.333078345353382E15,9.338227314625516E15,9.251734785437926E15,9.294119742396882E15,9.31384865526346E15,9.300172882452634E15
General requested bandwidth,1,all,all,all, ,9.2572165304371E15,9.349940147927738E15,9.367175115934312E15,9.256313980273776E15,9.295390002746272E15,9.297108115643108E15,9.28844241023738E15,9.336867450143776E15,9.295778741005486E15,9.300687277794072E15
General requested bandwidth,2,all,all,all, ,9.23133765061334E15,9.348680822594568E15,9.27566792722211E15,9.279765858155818E15,9.270764180555166E15,9.347214859147444E15,9.362249611874788E15,9.221159655121738E15,9.341036524675284E15,9.288276161632038E15
General requested bandwidth,3,all,all,all, ,9.262351068201552E15,9.283161934451012E15,9.374403582021416E15,9.288688786401754E15,9.254151798739784E15,9.239145722768166E15,9.258846048656496E15,9.305916629025882E15,9.356474435144074E15,9.262252796345628E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,4.3408413903791985E-4,0.0010997944059170342,8.857075666435456E-4,0.0011845221571412956,8.87898642019037E-4,0.0010228718342337679,0.0014734724671930932,8.911249237342961E-4,7.559489859678202E-4,0.0013884886266230286
Blocking probability by QoTN,1,all,all,all, ,0.005193263885880646,0.006365320775101402,0.005793911619010651,0.005311093698429914,0.0044447567531178,0.004241082811410273,0.004642901625562707,0.004325985174530303,0.0055595246786563435,0.005662323635969912
Blocking probability by QoTN,2,all,all,all, ,0.014619368488687237,0.012257564224253602,0.012185887763472026,0.012274725595328625,0.015639345689111545,0.012727568011097938,0.019220104668571738,0.01886489416409396,0.011728161479305334,0.015695166193012786
Blocking probability by QoTN,3,all,all,all, ,0.016945704748332686,0.034051135393082625,0.028335709571811498,0.02432094373567385,0.0266431711793488,0.03048529248352342,0.02874114241648436,0.0293008037002249,0.029601684616184298,0.02854614586877331


Blocking probability by QoTO,0,all,all,all, ,0.004442596228950137,0.005228466970094481,0.005297147695659053,0.006053801713261461,0.0051110682693274595,0.004302670592112336,0.0057000056846448635,0.004808078444227285,0.005262680503529912,0.005560722730520577
Blocking probability by QoTO,1,all,all,all, ,0.03184522111459957,0.013589135815978698,0.006538993668616022,0.005531410893098005,0.005261471475923048,0.006136710867325377,0.008547795047692982,0.008583504118587068,0.004651790200039436,0.006940784002577205
Blocking probability by QoTO,2,all,all,all, ,0.018498095664551656,0.009874876154872871,0.009190988077655345,0.016839401023045108,0.022275097661158882,0.021592135929560517,0.05020410733159623,0.08194113864406231,0.013121187868227774,0.01356956640715225
Blocking probability by QoTO,3,all,all,all, ,0.008020787185029445,0.07403720401583015,0.026318636035754288,0.08875840559923151,0.039394352458874425,0.0316925352556418,0.044143055984356486,0.05235408454857191,0.05946960960828547,0.0283235533502001


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,2.1026316132092312E-4,9.385262968903913E-6,1.0926237904247991E-4,9.679812880014132E-5,2.0951656991317414E-4,9.927238015219452E-6,8.700125870948007E-5,1.0072758454068551E-4,4.583055874489882E-5,7.834672948823162E-5
Blocking probability by other,2,all,all,all, ,0.0012082823428891045,0.0014235577738854021,0.0010442567081605763,0.0010904352554581582,0.0010220065279191006,8.383928793409813E-4,9.759675077445672E-4,8.932221836746838E-4,9.589404179395218E-4,0.002102394614634667
Blocking probability by other,3,all,all,all, ,0.004924317037463021,0.006838252651678088,0.008192051216223425,0.00553022687728167,0.006963463202150479,0.006045146893144302,0.004804050253886756,0.004852080240222996,0.006482252284554858,0.007474663498369506


Bandwidth blocking probabilities per pair,0,all,26,27, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,27,18, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,10,24, ,0.0071428480903569175,0.0,0.00494800118553432,0.04023990651589967,0.015365650257085335,0.0,0.01055714483869155,0.010098576185985506,8.162240410105756E-4,0.01053200775619458
Bandwidth blocking probabilities per pair,0,all,3,2, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,3,12, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,2,27, ,0.004077471206812554,0.07476525834077212,0.025504876846785363,0.0,0.0,0.0,0.011963904510915783,0.006871813270131526,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,16,21, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,24,10, ,0.001188340735874237,0.03579550094445653,0.0,0.0,0.004963264911464774,0.0,0.005320862822529231,0.004243452918521575,0.027848749366440693,0.04110467059328129
Bandwidth blocking probabilities per pair,0,all,25,24, ,0.0,0.0,0.0,0.05940403510392366,0.013140917950713196,0.011122364045874066,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,19,24, ,0.0,0.0,0.004214988818483022,0.0,0.0,0.0,0.0,0.0,0.004046339068598646,0.0
Bandwidth blocking probabilities per pair,0,all,25,10, ,0.013092335047495069,0.0,0.0,0.0,0.014546163246833249,0.0,0.06667494224138197,0.004312798731749885,0.0,0.01928656331697874
Bandwidth blocking probabilities per pair,0,all,17,28, ,0.07710747609645875,0.051620691279378565,0.013211254173090017,0.10217511528202658,0.025948292994690415,0.017195716203671316,0.0033811649048895633,0.0,0.05133356645437081,0.0
Bandwidth blocking probabilities per pair,0,all,3,28, ,0.0,0.02372592581935335,0.015172771307351264,0.06584312287498223,0.0593566233884362,0.03236628967803111,0.022269076601020812,0.0,0.037231322304125423,0.0
Bandwidth blocking probabilities per pair,0,all,21,26, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,21,23, ,0.04449464400946968,0.0,0.0,0.0,0.0032843502255369235,0.0018091884505780306,5.969039301901479E-4,0.0,0.022406285409578185,0.0
Bandwidth blocking probabilities per pair,0,all,25,3, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,28,1, ,0.010948946504760018,0.0,0.0,0.03671100037735579,0.07441734955603338,0.0,0.046886178858143904,0.02320016394218352,0.01173487056081795,0.04504990007903112
Bandwidth blocking probabilities per pair,0,all,16,19, ,0.0,0.0018948457837005383,0.0,0.0,0.028477227716745164,0.007444564847863326,0.0,0.01307974697307884,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,27,3, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,14,25, ,0.0,0.0,0.0,0.0,0.0,0.0,0.008442828512944754,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,3,10, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035114184714805236,0.0
Bandwidth blocking probabilities per pair,0,all,9,27, ,0.0,0.0,0.0,0.0,0.0,0.0,0.021287185483087986,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,13,25, ,0.0,0.0,0.0,0.0,0.011524495436268366,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,23,1, ,0.0,0.048112880870038836,0.022708003149008435,0.04371929083463314,0.0,0.0,0.0,0.01894732627059243,0.01451219754312054,7.34987890968767E-4
Bandwidth blocking probabilities per pair,0,all,13,3, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,11,1, ,0.01757081635538924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129731667495449,0.003936975159454531
Bandwidth blocking probabilities per pair,0,all,14,16, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01264206609549293,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,25,11, ,0.0,0.0,0.0,0.0,0.01606818240262506,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,16,1, ,0.02105570370292659,0.0,0.0,0.0054583999698012845,0.0948608698466751,0.0,0.019071158021298208,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,28,3, ,0.0,0.0,0.0029289993871998076,0.031173175444916185,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,14,24, ,0.0,0.011937856457386964,0.0,0.0,0.04286288501341042,0.016431421066963093,0.03233910705919608,0.020636881510482,0.004310022101687295,3.088806210795047E-4
Bandwidth blocking probabilities per pair,0,all,9,24, ,0.0,0.0,0.0064634908863292345,2.682402956138299E-4,0.0,0.0028862543723773442,4.366429276823694E-4,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,9,21, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,22,3, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,28,27, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,2,25, ,0.0,0.03600541446332013,0.0,0.0,0.0,0.0,0.0,0.01020225775717189,0.0,0.0022869507458323267
Bandwidth blocking probabilities per pair,0,all,17,21, ,0.08094212191258196,0.0,0.013171220997870435,0.0,0.04974960865629263,0.02955668355066608,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,24,15, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01284204025867973,0.0
Bandwidth blocking probabilities per pair,0,all,5,20, ,0.007743061659538278,0.0,0.010488271290702827,0.0,0.0,0.0,0.0,0.0,0.0894980906218915,0.0
Bandwidth blocking probabilities per pair,0,all,27,5, ,0.0,0.0,0.0,0.0055843601664802515,0.0,0.0,0.0,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,6,11, ,0.0,0.0,0.0,0.03821000239039133,0.0,0.0,0.0,0.0,0.013479735675455195,0.0
Bandwidth blocking probabilities per pair,0,all,20,4, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
