Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,1.388974326294106,1.3921746665629036,1.3862553483387514,1.3876895838178154,1.388549313847869,1.393012732004342,1.3850879973019297,1.3799667546046483,1.3953215685330769,1.383021917960872
Rate of requests by circuit,1, ,1.86414062704139,1.94663949082124,2.0084708076287114,2.0032319501148415,1.9939352969710804,2.0008061431985866,1.985613844816435,1.9946412177586499,2.0145323651516733,1.9882433930299297
Rate of requests by circuit,2, ,2.3217992447921216,2.387108778930826,2.4547437861318375,2.4210835404934574,2.346582885984144,2.3363698585428194,2.186835013618469,2.0907734973445717,2.389809660629197,2.3562289408048533
Rate of requests by circuit,3, ,2.7429015627416593,2.3404253994284954,2.6250528339965244,2.3254153298957747,2.477912280048509,2.5274407318315073,2.494319824634697,2.525415180562311,2.416426856655544,2.4900099904259014


Maximum requests by circuit,0, ,15,15,15,17,16,15,16,16,16,15
Maximum requests by circuit,1, ,21,24,22,22,21,20,20,22,22,19
Maximum requests by circuit,2, ,26,26,27,25,31,24,26,25,26,27
Maximum requests by circuit,3, ,29,28,31,28,26,27,32,30,28,28


Virtual hops,0, ,1.8128514744083812,1.8045206561997162,1.8143588864770175,1.8106028868492212,1.8121430746973273,1.8140935956371527,1.8188568599824835,1.8078032343730666,1.8078299605931962,1.812994506279218
Virtual hops,1, ,1.879511436219042,1.847754372209101,1.8395133532288974,1.840018674492168,1.8313894764926724,1.8341701839801061,1.8394670837426208,1.843870746157589,1.843136134133562,1.8426257020529984
Virtual hops,2, ,1.861882590121442,1.8494321171934054,1.8431663066128816,1.8456479579100982,1.858297802716047,1.8564785010809512,1.8869817513969755,1.9154123931836495,1.8478102609295375,1.8577156230816452
Virtual hops,3, ,1.8432293563910351,1.9133911791754967,1.8487531026993484,1.8955247698552806,1.871243042671614,1.8629645824223875,1.8723674194366913,1.8698135839855272,1.8833840787490024,1.863560102797847


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3


