Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Percentage of cicuits per modulation,0,BPSK,all, ,0.09808210849106481,0.0982162272580507,0.10249600295979176,0.10079802016886795,0.10119392757366506,0.09840794106530691,0.09679124596923402,0.10027801681339776,0.09859359812744235,0.09980564614421715
Percentage of cicuits per modulation,0,QPSK,all, ,0.5823728455112614,0.5888031524081262,0.5865805155851535,0.5926590084963341,0.5828171946655422,0.5865288341036131,0.5906063329280541,0.5900112530614947,0.5873893293307855,0.5910136047699048
Percentage of cicuits per modulation,0,8QAM,all, ,0.189568573543407,0.1888611398485737,0.18790713653360816,0.1852783144967047,0.19523219651046334,0.18927664427661112,0.19068166199714542,0.18486794201363607,0.19154042992124942,0.18772605988734065
Percentage of cicuits per modulation,0,16QAM,all, ,0.11956090726446018,0.11392555203384358,0.11426249653149403,0.11096847621820492,0.11032628749143429,0.11590666463321642,0.11027118464872866,0.11473489111008142,0.11228733709343613,0.11204664492538788
Percentage of cicuits per modulation,0,32QAM,all, ,0.010415565189806493,0.010193928451405865,0.008753848389952565,0.010296180619888304,0.010430393758895156,0.009879915921252428,0.011649574456837765,0.010107897001390084,0.010189305527086625,0.009408044273149521
Percentage of cicuits per modulation,0,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation,1,BPSK,all, ,0.07853913501100374,0.07725813022743068,0.08437284786058628,0.087154535770285,0.08324400716206262,0.07448189240108855,0.08522618248105152,0.08169460208525801,0.08251274968761023,0.0826308326502773
Percentage of cicuits per modulation,1,QPSK,all, ,0.5742991101330016,0.5844417283773097,0.5615234901338444,0.5589608244461202,0.5694738039774598,0.5828045097042376,0.5626559052096325,0.5585923908479009,0.5527893865203068,0.5547531724711471
Percentage of cicuits per modulation,1,8QAM,all, ,0.1923201129078557,0.17351475064107172,0.18371710033835376,0.1929572575915353,0.18848920001676736,0.17940727892580519,0.19583493236112443,0.1936722377530085,0.20012077078064558,0.19914922131613427
Percentage of cicuits per modulation,1,16QAM,all, ,0.1400284661754856,0.1494236345771323,0.15728358834625863,0.14767137060576682,0.14527729039289541,0.15059660875026168,0.1443022642233522,0.15467263368807516,0.1501742806067237,0.1524281893730443
Percentage of cicuits per modulation,1,32QAM,all, ,0.014813175772653335,0.015361756177055623,0.013102973320956971,0.013256011586292745,0.013515698450814715,0.012709710218607015,0.011980715724839297,0.011368135625757376,0.014402812404713647,0.011038584189396976
Percentage of cicuits per modulation,1,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation,2,BPSK,all, ,0.059831076298777895,0.05761705493156426,0.058493853906654736,0.055795408969731286,0.05785915226590388,0.054006249631507575,0.054697604100843907,0.05709309987762402,0.05301288626369092,0.05383944256458022
Percentage of cicuits per modulation,2,QPSK,all, ,0.5508894446279432,0.5213098111893477,0.5282873357509537,0.540283577511973,0.5428949670220562,0.5374152467425269,0.5353892671749414,0.5335357243716464,0.5299520154682323,0.5451206715634838
Percentage of cicuits per modulation,2,8QAM,all, ,0.1931121124899731,0.2103890125067137,0.2129998116139971,0.194511288838559,0.20016075270088177,0.20333706738989446,0.19840430872078946,0.18450531864821612,0.2085146016812271,0.18763337538465166
Percentage of cicuits per modulation,2,16QAM,all, ,0.17716934836974474,0.1907701751176009,0.18500682899260584,0.19133224809493476,0.1836599607574289,0.18680502328872117,0.19264044976997716,0.2049444601336722,0.18713967389382097,0.19409434429418632
Percentage of cicuits per modulation,2,32QAM,all, ,0.01899801821356108,0.019913946254773385,0.01521216973578863,0.018077476584801945,0.015425167253729227,0.018436412947349802,0.0188683702334481,0.019921396968841192,0.021380822693028684,0.01931216619309808
Percentage of cicuits per modulation,2,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation,3,BPSK,all, ,0.036228255683123524,0.03595167229391904,0.03219594673930912,0.03938213930143095,0.03260390659421354,0.03232963549920761,0.03613847684888028,0.031662982645910734,0.03900446638457922,0.03320275738754
Percentage of cicuits per modulation,3,QPSK,all, ,0.5335214453601325,0.5270637506911521,0.532278139163516,0.5284806211597259,0.5274900866500221,0.5128308974584728,0.5277972429469023,0.5355841132483657,0.5148330982604608,0.5223390739695087
Percentage of cicuits per modulation,3,8QAM,all, ,0.1895768657551677,0.20226933167064692,0.1919486649601954,0.19281047676836705,0.19635188720810692,0.21186241709221107,0.20256272855216437,0.1822649673141137,0.19512811471556182,0.20640998494259363
Percentage of cicuits per modulation,3,16QAM,all, ,0.22121620905176223,0.21219251085255814,0.22240095812883076,0.21889635752030964,0.22188867675135848,0.2237483124963315,0.20979395709549578,0.22747260499459154,0.23245181006111895,0.21676195181629965
Percentage of cicuits per modulation,3,32QAM,all, ,0.019457224149814146,0.02252273449172382,0.02117629100814879,0.020430405250166424,0.021665442796299016,0.019228737453777074,0.023707594556557274,0.023015331797018295,0.018582510578279268,0.021286231884057972
Percentage of cicuits per modulation,3,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Percentage of cicuits per modulation and bandwidth,0,BPSK,100.0, ,0.006873215607486518,0.0069321349262307505,0.007267345833168166,0.006749424313808528,0.006542881239787043,0.006783324823786063,0.006878733414389174,0.0065333951148474215,0.006625362841103698,0.006496030569555621
Percentage of cicuits per modulation and bandwidth,0,BPSK,200.0, ,0.006522945965951148,0.006668555651469125,0.0070757521702937325,0.007351578835922818,0.007116124611248748,0.007088342362294528,0.00679943965745097,0.006877606407625604,0.007008866877814292,0.006911091346312218
Percentage of cicuits per modulation and bandwidth,0,BPSK,400.0, ,0.0036216559162525115,0.0036439834735794725,0.0039045467158203514,0.0035467563060797755,0.0038545674977597385,0.003607163933665316,0.0037994925199555953,0.0036009796782948303,0.003464760607523291,0.0035115459366867607
