Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,1.3406175632307906,1.3323393649932354,1.3367304388052568,1.3388544900520283,1.3374801866059642,1.3344794056108105,1.3486458161440007,1.337239910430019,1.33831557847861,1.337637998602902
Rate of requests by circuit,1, ,1.8577391654547006,1.8540338454982301,1.8497747548161636,1.8413928971804423,1.838205796869478,1.8575607988902412,1.8653338797295762,1.853190379675563,1.848387386045486,1.8480457610996897
Rate of requests by circuit,2, ,2.185423390479701,2.1499204070359728,2.1471909080369156,2.1548057789846657,2.18011325882501,2.1780442093412096,2.1882650835856627,2.162001757086925,2.179970845394896,2.168335121272579
Rate of requests by circuit,3, ,2.3288469021238414,2.310351845295139,2.3402742021712535,2.2991318154389133,2.3293034542118534,2.298507375005276,2.34774542655639,2.3278347348793162,2.290166993245861,2.3029084006228104


Maximum requests by circuit,0, ,12,11,14,12,13,15,15,11,13,13
Maximum requests by circuit,1, ,19,16,17,17,17,17,16,17,20,18
Maximum requests by circuit,2, ,20,20,20,20,20,21,24,22,20,22
Maximum requests by circuit,3, ,22,23,21,22,26,22,22,28,21,21


Virtual hops,0, ,1.5231588032220944,1.5221135404679709,1.5204501231704162,1.5153518225798726,1.5182094300031619,1.519173871829489,1.5200180195723227,1.518942300314586,1.517461351315109,1.519483383511995
Virtual hops,1, ,1.633063548297282,1.6368259644872571,1.6313097876668299,1.635579613302695,1.6301489500556643,1.63105192922495,1.6329049582813848,1.63365044014169,1.6301101308885428,1.6332853302611368
Virtual hops,2, ,1.655607435979235,1.656670083750798,1.6584918834002444,1.6540933464970866,1.6583842524557197,1.6553875875392416,1.6592396400228127,1.6629289774380662,1.655619150746384,1.657463322107382
Virtual hops,3, ,1.6724646486422923,1.6748017742188728,1.6692719005522705,1.6769500902456251,1.673325499412456,1.6778885791684661,1.6732445627182984,1.667141213409521,1.6719375343325746,1.6783897476032088


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3


