Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.0272775475919178E16,1.2652104289803758E16,1.1032963035237376E16,1.2521013799235094E16,1.017259286931855E16,9.649423865528804E15,1.0415209587666106E16,1.0694297432306588E16,1.5732762366236812E16,1.1259269716935994E16
Total energy consumption (Joule),1,all,all,all, ,5.266328735729568E15,6.919792348345287E15,6.710558663376208E15,5.667228120362741E15,6.998863199763531E15,6.450555269656132E15,5.404052451942788E15,5.824024283901926E15,5.982009729556814E15,5.977417634492935E15
Total energy consumption (Joule),2,all,all,all, ,3.417053468387258E15,3.297808852878052E15,3.82378943336489E15,3.7933834777799745E15,3.992117366797413E15,3.871931326890577E15,3.3662121251149385E15,4.358366483464544E15,4.026785616020113E15,3.702086692527402E15
Total energy consumption (Joule),3,all,all,all, ,2.8308773418526095E15,2.7487951788980535E15,2.9517439536286875E15,3.306092675732791E15,2.5191335209342005E15,3.272643049668123E15,3.2022316131444685E15,2.787525678736089E15,3.495514487081209E15,2.9755391678048485E15


Average power consumption (Watt),0,all,all,all, ,3.0802876176035566E9,3.080290487633316E9,3.0802887013471313E9,3.0802898095819745E9,3.080290117556626E9,3.0802882378535953E9,3.0802891915891294E9,3.0802903190909724E9,3.080291101957979E9,3.0802891507530975E9
Average power consumption (Watt),1,all,all,all, ,3.080456827415882E9,3.0804585796217394E9,3.0804568763237147E9,3.0804559522093196E9,3.0804544016188464E9,3.0804591205711236E9,3.0804551258646507E9,3.0804530783068724E9,3.0804545444183574E9,3.0804601261382694E9
Average power consumption (Watt),2,all,all,all, ,3.080604728018124E9,3.0806106470525966E9,3.080605972479734E9,3.080607105705192E9,3.08060330534975E9,3.080614057054662E9,3.0806141992921953E9,3.080606894481881E9,3.0806076013480043E9,3.080607035761521E9
Average power consumption (Watt),3,all,all,all, ,3.080756062740441E9,3.080718480405171E9,3.08075256479292E9,3.08074981378716E9,3.0807462079366593E9,3.0807501471981263E9,3.0807485140096736E9,3.080761856315251E9,3.080743508570146E9,3.080755688973618E9


Energy efficiency (bits/Joule),0,all,all,all, ,3175.45990594086,2614.995413911827,2956.878947672575,2620.7183112490925,3236.876855991769,3363.165113108024,3133.8284060411233,3095.732020896364,2090.5131672737243,2911.5486851284736
Energy efficiency (bits/Joule),1,all,all,all, ,6138.6373190958875,4690.668688280007,4770.9836786992755,5678.252417048383,4605.932256972304,4998.014017921861,5951.933178794955,5469.519448978336,5335.199316936861,5459.842743848755
Energy efficiency (bits/Joule),2,all,all,all, ,9134.926111090763,9441.80322610335,8046.071921378222,8267.591926249965,7699.000129893865,8165.137908218061,9449.27915474342,7168.748747687046,7720.941092530909,8435.28221960769
Energy efficiency (bits/Joule),3,all,all,all, ,10733.099333052332,10159.619059277475,10219.272828134122,9105.523865604975,11830.72620619298,9174.612361857093,9310.758560344855,10801.230638512445,8516.626319341587,10208.823031599055


Total data transmitted (bits),0,all,all,all, ,3.262078664651389E19,3.308519469417098E19,3.262313612934311E19,3.281405013905798E19,3.2927430424124117E19,3.2452605706138444E19,3.2639479660699898E19,3.3106679002181267E19,3.288954688420657E19,3.2781911939851833E19
Total data transmitted (bits),1,all,all,all, ,3.232808211177659E19,3.2458453297782813E19,3.2015965857921917E19,3.21799517724143E19,3.223628977392724E19,3.2239965661121073E19,3.216455908866651E19,3.185461409212371E19,3.1915214223041167E19,3.263576029863984E19
Total data transmitted (bits),2,all,all,all, ,3.121453095136402E19,3.1137262266176176E19,3.0766484793059983E19,3.1362146614063727E19,3.0735312125524836E19,3.1614853255211307E19,3.180827806429314E19,3.124403427029764E19,3.109057453354208E19,3.122814605292264E19
Total data transmitted (bits),3,all,all,all, ,3.0384087709791203E19,2.79267118895827E19,3.0164676780926833E19,3.010370576078674E19,2.980317896301544E19,3.002523137943086E19,2.9815205404291777E19,3.0108707766804443E19,2.9769990680315634E19,3.037675278771122E19


