Metrics,LoadPoint,Node, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Tx Utilization,0,all, ,166.16363066519773,165.1226968810546,165.92812369410782,165.6159347338829,166.5880598715952,165.8941515024883,165.01912775899405,165.9006952095126,166.29817080120048,166.05473350302017
Tx Utilization,1,all, ,235.34706340462714,236.37603996504959,235.70117387835734,236.57744178095203,236.38702845420354,235.81916954754396,236.18137180412566,236.63070318732667,236.43214109334042,235.54135166964252
Tx Utilization,2,all, ,299.39622193518977,306.2377958439388,313.14098886904986,299.73587736960076,313.7265319302511,305.41038255517986,312.6820176271702,301.13643011814764,300.28923374995253,302.9734642707898
Tx Utilization,3,all, ,379.2377673517456,388.77046689207157,388.5385024503286,382.24100596436574,381.0578296546746,390.3710728260457,374.53669794476315,388.37761653306995,389.367121908597,377.10603844546597


Rx Utilization,0,all, ,166.16363066519773,165.1226968810546,165.92812369410782,165.6159347338829,166.5880598715952,165.8941515024883,165.01912775899405,165.9006952095126,166.29817080120048,166.05473350302017
Rx Utilization,1,all, ,235.34706340462714,236.37603996504959,235.70117387835734,236.57744178095203,236.38702845420354,235.81916954754396,236.18137180412566,236.63070318732667,236.43214109334042,235.54135166964252
Rx Utilization,2,all, ,299.39622193518977,306.2377958439388,313.14098886904986,299.73587736960076,313.7265319302511,305.41038255517986,312.6820176271702,301.13643011814764,300.28923374995253,302.9734642707898
Rx Utilization,3,all, ,379.2377673517456,388.77046689207157,388.5385024503286,382.24100596436574,381.0578296546746,390.3710728260457,374.53669794476315,388.37761653306995,389.367121908597,377.10603844546597


Regenerators Utilization,0,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,1,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,2,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,3,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Tx Utilization Per Node,0,22, ,5.816291836036926,6.2544732743228355,5.503400068381263,5.885043498081526,6.244785928655548,6.0354442882650154,6.028701135888767,5.827869163849106,6.0177886259164985,5.965163545188618
Tx Utilization Per Node,0,23, ,5.714156821031038,5.690175891805645,5.643173270523876,5.576416061999012,5.709389127379098,5.927591839835885,5.68918816244349,5.7851118793450595,5.892992819967329,5.716445693879877
Tx Utilization Per Node,0,24, ,5.754036394028036,5.8099475743646245,5.803451354328914,5.834384378680242,5.675939292633818,5.8287714166318425,5.899897428104699,5.532167686054021,5.757768871329255,5.706169509554382
Tx Utilization Per Node,0,25, ,5.9031550355202675,5.672596208638833,5.951069406982487,5.822370170573263,5.871642669908445,5.9925920297838395,5.818903620408008,5.924828097101394,5.853179728754322,5.769032785016905
Tx Utilization Per Node,0,26, ,6.084982714736162,5.794352847319835,6.037809140295559,5.733569501956464,6.066291836036926,5.895452645975003,5.66825589788398,5.97326482543783,5.720700528055313,5.832836302853019
Tx Utilization Per Node,0,27, ,5.8363978269954035,5.92588230824754,5.8328078106598795,5.896839266041105,5.812587850928845,6.1837271587585,5.956615887246894,5.885736808114577,6.133875318162823,5.837613493902671
Tx Utilization Per Node,0,28, ,5.875508110777647,5.687317175094024,5.805512289632641,5.771530600615431,5.4653060061543135,5.4726664893819095,5.941771454621434,5.890295559016829,5.897048208790792,5.879952892907343
Tx Utilization Per Node,0,10, ,6.128233863921285,5.96739543365118,5.989248945788854,6.074630551228963,6.036175587888918,5.952702959389128,5.739191961402575,5.914969798275273,5.684088059871595,5.810222998898302
Tx Utilization Per Node,0,11, ,5.975857615013486,5.941714470235156,6.114956501918474,6.178722030163735,6.154494168597804,6.119657713786422,5.880693689928959,6.242449568818143,5.993019412680925,6.1102362952551
Tx Utilization Per Node,0,12, ,5.627398092922539,5.940869201838696,6.008433689169168,5.918084944725146,5.900666717319455,6.045957907533336,6.169642517950082,5.815513049424458,5.903354480872241,5.836777722903924
Tx Utilization Per Node,0,13, ,6.1609049120540975,6.008699616305132,5.79512213653459,5.772423356000456,6.10342666109486,6.109495498233484,5.942141853132242,5.907571325456825,6.023544048930593,5.627236637161418
Tx Utilization Per Node,0,14, ,5.9834365383884816,5.824697033012955,6.019716597652243,6.243000417885499,5.989239448391141,6.13678152186301,5.948998974281047,5.9346674011320895,5.8721935189758,6.083083235193557
Tx Utilization Per Node,0,15, ,5.916071496409984,5.8152186300953534,6.225724651445504,5.645025263077916,5.961867948182198,5.803698286669452,6.090044827717206,5.923574440603275,6.002431333814535,6.142166546366296
Tx Utilization Per Node,0,16, ,5.976114044751738,5.914599399764464,5.937621091820841,6.0661113854803785,5.855829502716256,5.837831934050071,5.8325988679101926,5.867900695209513,5.658207651103598,5.9535577251833
Tx Utilization Per Node,0,17, ,5.873770086996163,5.677145462143373,5.703614709569578,5.760713064620294,5.720102191999392,5.934059567678456,5.8571971279869315,5.830357482049918,6.000873760589599,6.0575542301409415
Tx Utilization Per Node,0,18, ,5.982904684116552,6.1859495498233485,6.176499639098887,6.186576378072409,5.864044751738024,6.1457375679063935,5.839674429206397,5.998261976218516,5.992933936101508,6.042054477073282
Tx Utilization Per Node,0,19, ,6.054724005622459,5.552302169205638,6.276611708391901,6.027428484595221,5.804458078486495,5.885423393990047,5.640627967936785,5.854537856627284,6.071363446415682,5.956520913269764
Tx Utilization Per Node,0,1, ,5.865545340576682,6.242449568818143,5.679149413060822,5.978269954032595,5.82029024047411,5.85487026554724,5.880389773202142,5.796204839873875,5.732021426129241,6.026089351517684
Tx Utilization Per Node,0,2, ,5.737634388177639,5.81956843824792,6.087850928845496,6.021407134445162,5.962684724385518,5.905719332902785,5.923973331307222,6.153838848155606,6.164770352923299,5.821534399574516
Tx Utilization Per Node,0,3, ,5.928873988527144,5.723093872278995,5.798389241347871,6.120265547240056,6.1662614443642445,5.922833643581659,6.097386316149375,6.351641150324811,5.970852486418721,5.972600007597918
Tx Utilization Per Node,0,4, ,5.9712608745203815,6.017323253428561,6.109903886335144,5.884331193253049,6.125251681039395,5.838107358583748,6.148814724765415,5.8875033240892,6.0119572237207,5.927525358051894
Tx Utilization Per Node,0,5, ,5.8132716635641835,5.903629905405919,5.71633172510732,5.901796907647305,6.116210158416594,5.7860711165140755,5.685132773620028,5.772565816966151,6.078476997302739,5.900856665273715
Tx Utilization Per Node,0,6, ,5.900714204308019,5.814259392926338,6.126723777684914,5.8738935531664325,5.967832313945979,6.076985905861794,5.957755574972458,5.940707746077575,5.83174410211602,5.908321619876154
Tx Utilization Per Node,0,7, ,5.962979143714622,6.053261406374653,5.759364434145044,5.87746457470653,5.866238650609733,5.850710405348934,5.569454469475364,6.027096075675265,5.978032519089769,6.005081107776469
Tx Utilization Per Node,0,8, ,5.985772898225886,5.965771378642252,5.902433233294078,5.713710443338525,5.999439653534932,5.647845990198686,6.092751586065418,6.15059073813775,6.013989666831288,5.903344983474528
Tx Utilization Per Node,0,9, ,6.083729058238043,5.947165976522433,6.145139231850473,5.961450062682825,6.353683090833112,5.902689663032329,6.2248793830490445,6.079407742278615,6.07556129620484,6.133134521141208
Tx Utilization Per Node,0,20, ,6.231746001595563,5.965002089427497,5.917648064430346,5.975924096797478,5.944715647912472,5.831250237434943,5.561828059111804,5.67010789043802,5.8045340576681985,6.043811495650192
Tx Utilization Per Node,0,21, ,6.018159024427307,6.007835353113247,5.860416745811648,5.9145519127759,6.029204497967557,5.969475363750332,5.932615963226076,5.9619534247616155,6.160866922463245,6.085808988337195
Tx Utilization Per Node,1,22, ,8.393971051931771,7.960870721422331,8.22552520609353,8.369258823082475,8.33848725449227,7.985573452873912,8.507996808874369,8.531626334384379,7.4786498499411165,8.023268624396914
Tx Utilization Per Node,1,23, ,8.28517836112905,7.6364301181476275,7.777523458572351,7.75909850700908,8.031920753713482,7.705257759373931,7.908293127683015,7.229808532462106,7.449312388405577,7.75298218288189
Tx Utilization Per Node,1,24, ,7.769811571629374,7.7834688295407055,7.830974812901265,7.546641720168674,7.753257607415568,7.983351061809064,8.015110359761426,8.010057744178095,7.934183033848726,7.8879591991794245
Tx Utilization Per Node,1,25, ,8.3647570565665,8.022774759715837,8.344527599437754,9.120882878091402,8.195760361660906,7.885537362762603,8.382659651255556,8.85643733616989,8.822588610720663,8.209588572731072
Tx Utilization Per Node,1,26, ,7.6807164836834705,8.096322607605517,8.18331877065684,8.928475097823197,7.896706302473122,7.605658549557421,8.169708999734073,9.536194582684345,8.719570337727463,8.42114310678874
Tx Utilization Per Node,1,27, ,8.48553546328306,8.159109903886336,7.4786783421342555,8.189406602590891,8.360948600083578,8.907789765604225,8.487349466246249,7.910088135850777,7.8902290772328385,7.94973027390495
Tx Utilization Per Node,1,28, ,7.815560536413023,8.031179956691867,8.369230330889335,7.580167534095658,8.301200471070926,7.969351897580063,7.578344033734757,7.588401777912852,8.067735440489306,7.555407818257797
Tx Utilization Per Node,1,10, ,8.210690270865783,8.812217452418038,8.913668654788587,8.760504121870607,8.03458002507313,8.826824450100672,8.708838278311742,8.796955134293203,9.043194164798845,8.26060859324545
Tx Utilization Per Node,1,11, ,9.07430763970672,8.866162671428029,9.660961896440375,8.433328268054552,8.65268966303233,9.886287657181931,9.358555255859894,9.671010143220757,8.893230254910154,9.840044827717206
Tx Utilization Per Node,1,12, ,7.845201914675379,8.811951525282073,8.203614709569578,8.155443908369106,8.156374653344983,7.654057288303005,8.332418417353646,7.712295331079284,7.994216084792766,8.120626448353152
Tx Utilization Per Node,1,13, ,9.112069293013715,7.783820233256088,8.898909698742544,8.92701249857539,7.816614747559169,9.33597994149603,8.715334498347453,8.997160278083806,8.697621851612658,9.13646810773848
Tx Utilization Per Node,1,14, ,7.57389925160506,8.701278349732174,7.623057782167686,8.017560688371386,8.614139725715154,8.17340348744444,8.726114044751737,9.02632678646051,7.959788018083045,8.386496599931618
Tx Utilization Per Node,1,15, ,9.486019830566425,8.965742886449114,9.9168122934316,9.176119743190366,8.23606731755499,8.488023781483873,8.423384492649014,9.307981613038027,9.579502716255746,8.629212095885727
Tx Utilization Per Node,1,16, ,8.119201838696197,8.980245412756904,8.394588382783118,9.376562321923792,8.011007483949397,8.204649925920299,8.469152452228089,9.366267142802872,8.441334574326634,8.141663184287506
Tx Utilization Per Node,1,17, ,8.201354328913878,7.734234319796376,8.935151768415453,8.577375299168027,7.984519241727766,8.49366523572541,8.571990274664742,8.216132279755348,7.914570907571325,8.405196976028568
Tx Utilization Per Node,1,18, ,8.348763438817764,8.993437298180298,8.634131747901074,8.349276298294267,8.631937849029367,8.153705884587623,8.442597728222466,7.891539718117236,8.276174828097101,8.152993579759146
Tx Utilization Per Node,1,19, ,8.543877977434184,8.213045625498614,7.979447631349011,8.558703415264217,8.001671541997492,8.371889602248984,8.084184933328268,8.342362192759184,8.829759145993998,8.439625042738289
Tx Utilization Per Node,1,1, ,7.824051209968468,8.16288986817612,7.685740607073662,8.312673327508262,8.749895528625157,8.204289024807203,7.864823538350492,7.829645177221441,8.528530182729932,8.070423204042093
