Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.0142639810738088,0.014381609501685924,0.013220085447825929,0.01755758342473819,0.01232072971510309,0.013220117774319803,0.017474328586712943,0.015264824723638434,0.014881382189381924,0.015248874451424246
Bandwidth blocking probability,1,all,all,all, ,0.03216766546894788,0.03462284445338039,0.02962306488528205,0.02857834927766011,0.03568284905161736,0.03167012854989131,0.0350320566281526,0.02758932808239859,0.03363315607867579,0.030391369204601944
Bandwidth blocking probability,2,all,all,all, ,0.07839296180182216,0.08426378116599978,0.07725042476851497,0.06362396785471366,0.0870938254543045,0.057955756879389864,0.05479872289665974,0.05985728126703055,0.059717953867128734,0.0761389112984446
Bandwidth blocking probability,3,all,all,all, ,0.14796499842705454,0.16928471324366562,0.1412869022276827,0.11416287651816401,0.1424708169212594,0.15662107812506873,0.16898617215519768,0.1269977280132739,0.10221449369498292,0.23522867902258676


General requested bandwidth,0,all,all,all, ,9.290281183559522E15,9.290344826174408E15,9.328905771908354E15,9.2660707528527E15,9.293250455302728E15,9.188426842127416E15,9.29017949557525E15,9.316155586938722E15,9.28582245421514E15,9.31204043995775E15
General requested bandwidth,1,all,all,all, ,9.331372395137734E15,9.287183583189812E15,9.351555876725178E15,9.296614052613388E15,9.242391753662892E15,9.275080422444408E15,9.255277561994182E15,9.228900348340278E15,9.359965051537428E15,9.278628994659338E15
General requested bandwidth,2,all,all,all, ,9.34895017572184E15,9.295938961814456E15,9.266839368480294E15,9.212676577287344E15,9.253789303135686E15,9.289653072133938E15,9.311176361399928E15,9.295369499201384E15,9.324153638663178E15,9.288648757956692E15
General requested bandwidth,3,all,all,all, ,9.328011189617804E15,9.300052037447198E15,9.240232061279982E15,9.194371779395222E15,9.265166503261486E15,9.366369534122404E15,9.293870456843882E15,9.295689452962604E15,9.373337608848758E15,9.271406918727322E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
