Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.0035615241423849866,0.00419784978915777,0.003798959085210652,0.003827451278349732,0.004264331573148957,0.0037229799035064393,0.00343805797211564,0.0038939330623409185,0.003447555369828667,0.003476047562967747
Blocking probability,1,all,all,all, ,0.009991262394104016,0.007806860920107891,0.013619268320480188,0.006553204421988375,0.033069938836758725,0.0071325456824829995,0.018567412528967063,0.010067241575808229,0.008357709987463435,0.008889564259392926
Blocking probability,2,all,all,all, ,0.03251908976940318,0.017769631121072826,0.03595714774151883,0.015176841545416556,0.04109523990426623,0.04756296774683737,0.01903278501690537,0.02086578277551951,0.020428902480720282,0.028558674923071077
Blocking probability,3,all,all,all, ,0.08861072066253846,0.051941268092542646,0.07846749990502602,0.06472476541427649,0.0450081677620332,0.0876229913003837,0.08396649318086845,0.035691220605554075,0.07388025680963416,0.07959769023287619


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.002089427496865859,0.002060935303726779,0.0017855107700490065,0.001519583634084261,0.0018424951563271663,0.0017095315883447935,0.0018045055654750599,0.0019184743380313795,0.0018614899517532197,0.0018424951563271663
Blocking probability by QoTN,1,all,all,all, ,0.00428332636857501,0.004530258709113703,0.004976636401625954,0.004444782129696463,0.004625232686243969,0.004615735288530942,0.005043118185617141,0.004473274322835543,0.004910154617634768,0.004463776925122517
Blocking probability by QoTN,2,all,all,all, ,0.01144436424419709,0.008186756828628955,0.011795767959579075,0.007873342704099076,0.013372335979941497,0.013999164229001253,0.008376704782889488,0.009829806632982562,0.008927553850245034,0.010409147893477187
Blocking probability by QoTN,3,all,all,all, ,0.023021692056376553,0.01621205789613646,0.02079930099152832,0.016753409565778976,0.01505337537514721,0.016240550089275538,0.016525472020666336,0.00978231964441743,0.01682938874748319,0.019545644493408804


Blocking probability by QoTO,0,all,all,all, ,0.001443604452380048,0.002136914485430992,0.0019754587243095392,0.002298370246552445,0.0023933442236827107,0.0020134483151616456,0.0016335524066405805,0.0019754587243095392,0.0015575732249363675,0.001595562815788474
Blocking probability by QoTO,1,all,all,all, ,0.0052425635375907,0.0027352505413516695,0.008234243817194089,0.0016905367929187403,0.02821676860540212,0.001927971735744406,0.01316339323025491,0.005071610378756221,0.002934695893325229,0.0040079018348972385
