Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,1.0796768917203688E16,1.2003814898714978E16,1.0539339416990164E16,1.0420775294060938E16,1.2772573569111788E16,1.0785224189943906E16,1.0215022617550706E16,1.124438762945695E16,1.22064573523908E16,1.1786929844975648E16
Total consumed energy (Joule),1, ,5.499059357226868E15,6.027550024475804E15,5.847881609196863E15,5.178201162406432E15,5.269120727222471E15,5.187689437351356E15,6.204532974608458E15,7.016701557246987E15,6.279180367404224E15,5.203447989729281E15
Total consumed energy (Joule),2, ,3.7265299034773655E15,3.669681263534362E15,3.7415321756039225E15,4.749031537283548E15,5.258648714408662E15,3.533692078808969E15,3.833236879212121E15,4.630450067974302E15,4.538409837400323E15,3.627001590918857E15
Total consumed energy (Joule),3, ,3.198970894601337E15,2.6113279670275465E15,3.091569265727648E15,2.7336189567475785E15,2.392448027141667E15,2.7818303663452845E15,2.739916391633674E15,2.6783649874341135E15,3.0608621188925325E15,3.3663250808454365E15


Average power consumption (Watt),0, ,3.0802376456468496E9,3.08022208128839E9,3.0802404105762367E9,3.080242808301199E9,3.080213614820122E9,3.0802380696029134E9,3.080245505629776E9,3.0802296912057185E9,3.080218935926975E9,3.0802229684431396E9
Average power consumption (Watt),1, ,3.0803221666267343E9,3.0803000994622116E9,3.0803057339096327E9,3.080334668168851E9,3.080329953040048E9,3.0803310720026608E9,3.080294512690481E9,3.080268563570257E9,3.080288603067433E9,3.0803343749688716E9
Average power consumption (Watt),2, ,3.0803852896347218E9,3.0803919376253996E9,3.080386974346909E9,3.0803220986365223E9,3.080294064272693E9,3.0803891270611115E9,3.0803740280095763E9,3.0803244319509816E9,3.080334426819021E9,3.080399401318434E9
Average power consumption (Watt),3, ,3.0804010044157662E9,3.08046512111931E9,3.0804219172681866E9,3.0804437929182673E9,3.0805172643630166E9,3.080461480302953E9,3.0804530752923117E9,3.080441772545833E9,3.0804025646722193E9,3.0803674969582624E9


Energy efficiency (bits/Joule),0, ,3101.7000418397506,2776.570514914009,3131.922310638339,3186.228440306636,2581.951719840821,3066.777888133206,3258.79773440999,2932.115360461399,2705.7392757717143,2788.293679899562
Energy efficiency (bits/Joule),1, ,5947.474873686493,5421.311201777202,5565.748749697174,6297.128953904534,6152.902552253324,6168.226312157904,5232.110023030378,4652.03585531698,5119.460278515922,6320.865860624778
Energy efficiency (bits/Joule),2, ,8230.867068343316,8393.477024619482,8258.126165070616,6467.159479321764,5695.485238294786,7979.972533536533,7839.1202471818715,6487.8131968668085,6825.086285587753,8574.464207747014
Energy efficiency (bits/Joule),3, ,9053.482759099656,10825.025867148144,9698.201553876226,10076.206182319727,12310.384222224127,10747.372357267297,10446.341261532416,10048.166520042387,8911.329231962653,7839.169667781902


Total data transmitted (bits),0, ,3.3488338602224796E19,3.33294385142575E19,3.300839225946156E19,3.320297061198171E19,3.2978168293561598E19,3.307588706427934E19,3.3288692563021046E19,3.2969841687312863E19,3.30274910763962E19,3.2865421992165122E19
Total data transmitted (bits),1, ,3.2705517356017394E19,3.2677224466963124E19,3.254783975476454E19,3.2607800468931654E19,3.2420386370658034E19,3.1998842486774268E19,3.24627991646714E19,3.264194723037147E19,3.214601447256294E19,3.2890296755816444E19
Total data transmitted (bits),2, ,3.0672572261728444E19,3.0801385373152256E19,3.089804475680834E19,3.0712744323941306E19,2.9950556126292386E19,2.8198765730871185E19,3.004920483207599E19,3.0041495058436485E19,3.097503873961749E19,3.1099595322775216E19
Total data transmitted (bits),3, ,2.8961827841134805E19,2.8267692790680568E19,2.9982661856795857E19,2.7544508232086356E19,2.9451954445816017E19,2.989736678186607E19,2.862210165507186E19,2.6912657395189207E19,2.727635007509417E19,2.6389193465657004E19


Total energy consumption by transponders (Joule),0, ,5.354701738028436E11,5.3468185950194385E11,5.321628556039611E11,5.3428753571928455E11,5.338184835859718E11,5.363819852430841E11,5.326830079342038E11,5.2863373634630225E11,5.3124404126258185E11,5.284158998869671E11
Total energy consumption by transponders (Joule),1, ,4.236093416101805E11,4.211427564832405E11,4.1928549555613635E11,4.199067716426752E11,4.1921464736164E11,4.146202540933824E11,4.2225603281372955E11,4.1842221443938855E11,4.15290269954843E11,4.2145882112057947E11
Total energy consumption by transponders (Joule),2, ,3.6342385183675726E11,3.657987806692443E11,3.6693302769949493E11,3.6572759279138666E11,3.5711739977316205E11,3.4901935614442175E11,3.598176077948232E11,3.6010276582727563E11,3.676697336580334E11,3.703316270833909E11
Total energy consumption by transponders (Joule),3, ,3.2829258386885626E11,3.2233257967749133E11,3.3825692963987317E11,3.185031843327956E11,3.3580630378875757E11,3.4009130301261743E11,3.2749218767517957E11,3.103089003568359E11,3.156694485512056E11,3.088529390771406E11


Total energy consumption by OXCs (Joule),0, ,1.0795976868292958E16,1.200299495195342E16,1.0538556793280026E16,1.0419993363466178E16,1.2771736215710708E16,1.0784431503610286E16,1.021424718127715E16,1.1243591778903562E16,1.2205636027450542E16,1.1786121318423478E16
Total energy consumption by OXCs (Joule),1, ,5.498505069623994E15,6.026985643512821E15,5.847323355374386E15,5.177658202666097E15,5.26857629883405E15,5.187151538508685E15,6.203963274293367E15,7.016116389002648E15,6.278615858647944E15,5.202902877971034E15
Total energy consumption by OXCs (Joule),2, ,3.7260779251223585E15,3.669228261347781E15,3.7410763316187525E15,4.748552954899174E15,5.258166630665495E15,3.5332590875098045E15,3.832785971062405E15,4.629979928440382E15,4.537934318467801E15,3.6265450703007515E15
Total energy consumption by OXCs (Joule),3, ,3.198566584424552E15,2.610943582387645E15,3.091157543903831E15,2.7332354950958795E15,2.3920553709063415E15,2.7814241713159075E15,2.739523791530054E15,2.677991033014198E15,3.0604737137860875E15,3.3659362325823705E15


Total energy consumption by Amplifiers (Joule),0, ,2.5657873698681598E11,2.852649021392661E11,2.504608545082228E11,2.476430590048005E11,3.035349174357784E11,2.563043481913948E11,2.4275326568549982E11,2.6721681724782663E11,2.900808990469076E11,2.8011065221304694E11
Total energy consumption by Amplifiers (Joule),1, ,1.3067826129038284E11,1.4323820652041745E11,1.3896832677381528E11,1.2305296856379414E11,1.2521374109680396E11,1.2327858854705399E11,1.4744428231462988E11,1.6674602989654797E11,1.4921848635750223E11,1.2365293714323897E11
Total energy consumption by Amplifiers (Joule),2, ,8.855450318258376E10,8.720340590742831E10,8.891095746574867E10,1.1285479160865369E11,1.249663434278644E11,8.397194299137254E10,9.109054192994705E10,1.1003676802999582E11,1.0784919884194888E11,8.618899105798607E10
Total energy consumption by Amplifiers (Joule),3, ,7.601759288779031E10,6.2052060215166885E10,7.346489420253E10,6.495846737860998E10,5.684993153998227E10,6.610372637948061E10,6.510791593491619E10,6.3645519557458435E10,7.273565788852467E10,7.999532398689766E10


