Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.008663742352307716,0.008281608563148066,0.007826732988266798,0.0071866189729979215,0.009112930650303486,0.008783913178067041,0.010378954852715163,0.006973713358248001,0.007939578489168011,0.008782294408124345
Bandwidth blocking probability,1,all,all,all, ,0.011534776347788177,0.01218824043769775,0.013103760825585014,0.01579125999835817,0.014968469409177341,0.01570407151960934,0.014784338956758741,0.013638899204250174,0.014075529921807085,0.012379258163110259
Bandwidth blocking probability,2,all,all,all, ,0.026072960821447045,0.025621133904470392,0.029944746884453616,0.026151014094571375,0.026508727645982205,0.027098582259514198,0.030004583522113916,0.027100542494215483,0.026788836250584046,0.026402022421351763
Bandwidth blocking probability,3,all,all,all, ,0.04149835729821276,0.04479891109328356,0.04463037145522157,0.048422263243993076,0.04902990894987057,0.043544289175942996,0.05162279682579229,0.04918086101818261,0.047397128294271076,0.039526682476123065


General requested bandwidth,0,all,all,all, ,9.253839748712188E15,9.339233109759006E15,9.250711526367314E15,9.272500711327074E15,9.306872126552668E15,9.310071189994038E15,9.274235988171366E15,9.267728478943868E15,9.333983466051524E15,9.294932607806572E15
General requested bandwidth,1,all,all,all, ,9.241576646854526E15,9.277144375823384E15,9.32580475989909E15,9.394077192019636E15,9.302877127030614E15,9.31080438966414E15,9.203406728795218E15,9.312690035529178E15,9.307623684481772E15,9.253708526803094E15
General requested bandwidth,2,all,all,all, ,9.222439369859848E15,9.253452523047202E15,9.208595866676778E15,9.225849428475528E15,9.242522493256486E15,9.285589207081298E15,9.271076943181764E15,9.349364887978494E15,9.298487472984378E15,9.309950306415544E15
General requested bandwidth,3,all,all,all, ,9.25704997038784E15,9.299400627561578E15,9.2771394557681E15,9.26426672225047E15,9.35827905158555E15,9.329287801721166E15,9.270557112433628E15,9.245675107575426E15,9.386000685395258E15,9.2820203079391E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,2.804623748579594E-4,2.217440495368072E-4,3.8954064954615986E-5,5.13774475925149E-4,3.357881529710962E-4,2.096928833303325E-4,2.7067512351022983E-4,1.432601783275625E-4,1.0647059783231572E-4,6.573393718247831E-5
Blocking probability by QoTN,1,all,all,all, ,0.006901442552084575,0.008045524561541992,0.007280612427094682,0.008275563607228273,0.008555844942879618,0.00892872633516108,0.0075365603178116835,0.008033097412788305,0.006629997893662698,0.0067527624794165774
Blocking probability by QoTN,2,all,all,all, ,0.02063912152592565,0.020796479532462733,0.02260722430319527,0.02100805949758879,0.02156065366601097,0.021223841057325443,0.023227129152822875,0.021199345434056882,0.02188283945733381,0.022925162156742142
Blocking probability by QoTN,3,all,all,all, ,0.03766858974542139,0.039952584898330507,0.03962195569768658,0.042076699802036,0.04189289125653708,0.03950480116843611,0.045685981773726965,0.042747415818847063,0.04228454590579052,0.03478409121828744


Blocking probability by QoTO,0,all,all,all, ,0.008383279977449757,0.008059864513611258,0.007787778923312182,0.0066728444970727725,0.00877714249733239,0.008574220294736711,0.010108279729204936,0.006830453179920438,0.007833107891335693,0.008716560470941865
Blocking probability by QoTO,1,all,all,all, ,0.004633333795703607,0.004142715876155759,0.005823148398490319,0.0075156963911299085,0.006412624466297738,0.006775345184448249,0.007247778638947063,0.005605801791461862,0.007445532028144362,0.005626495683693677
