Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.0035425293469589334,0.003086654256733655,0.0027732401322037763,0.003067659461307602,0.0023933442236827107,0.002982182881890362,0.002934695893325229,0.0027162557459256163,0.0027352505413516695,0.0029726854841773355
Blocking probability,1,all,all,all, ,0.00422634198229685,0.004948144208486874,0.005119097367321354,0.005100102571895301,0.0048151806405045015,0.004767693651939369,0.0049576416061999015,0.005252060935303727,0.00439729514113133,0.005043118185617141
Blocking probability,2,all,all,all, ,0.009468905519887551,0.010865022983702465,0.010997986551684838,0.009202978383922806,0.010390153098051134,0.010941002165406678,0.0107700490065722,0.010114728564373362,0.010694069824867987,0.010048246780382176
Blocking probability,3,all,all,all, ,0.020485886866998444,0.02398092922539224,0.025604984234319797,0.02026744671959883,0.021093720320632146,0.022736770124985754,0.02430384074763515,0.01992554040192987,0.023809976066557763,0.023278121794628272


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0019944535197355924,0.001624055008927554,0.001595562815788474,0.0014720966455191277,0.0013961174638149147,0.001595562815788474,0.0017000341906317669,0.0014341070546670211,0.0015765680203624207,0.0017570185769099267
Blocking probability by QoTN,1,all,all,all, ,0.0035045397561068265,0.0039509174486190785,0.004055388823462371,0.004131368005166584,0.003779964289784599,0.0035900163355240666,0.0039034304600539453,0.003941420050906052,0.0035900163355240666,0.0037609694943585457
