Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,1.056414833258065E16,1.3219083954850134E16,9.375763582263066E15,1.1026343827959256E16,1.1151480276249674E16,1.2002779320152738E16,1.1932048341606464E16,1.109438742686707E16,1.0927632686211902E16,1.082448965545757E16
Total consumed energy (Joule),1, ,5.866972160523009E15,6.319998082482224E15,5.922284094574867E15,5.744839465549142E15,5.861885275797945E15,5.847823539814833E15,5.653669011280612E15,5.337486651349472E15,5.858460217879333E15,5.960918808037874E15
Total consumed energy (Joule),2, ,4.766734950221391E15,3.9918953827042365E15,3.5289258851141065E15,3.6348370381756915E15,3.9041576513913985E15,4.1345219870068835E15,3.99656769710842E15,4.190751794741984E15,3.3787869372843985E15,4.380636105411942E15
Total consumed energy (Joule),3, ,2.8848385369881915E15,3.094932060956372E15,2.725134027468437E15,3.2800336904241225E15,3.270740755785659E15,2.6986363124832095E15,2.437794660129313E15,2.85094833510304E15,2.679594914115966E15,2.916884468638219E15


Average power consumption (Watt),0, ,3.0801727228656316E9,3.0801540436864333E9,3.0801815771562686E9,3.0801660787524548E9,3.080165007279966E9,3.0801611544514775E9,3.080162133925855E9,3.080166590440396E9,3.080168388921009E9,3.0801688255781856E9
Average power consumption (Watt),1, ,3.0802371190179386E9,3.08022361379648E9,3.080235102312563E9,3.0802382468680654E9,3.080236136572384E9,3.0802354383760653E9,3.08023926560034E9,3.0802495324042788E9,3.0802363234468927E9,3.0802336939889817E9
Average power consumption (Watt),2, ,3.08026822672546E9,3.0803028108841586E9,3.0803320112884855E9,3.0803227199846034E9,3.0803091334346533E9,3.08029613428752E9,3.0803053390469556E9,3.080294861172455E9,3.0803442629611354E9,3.0802854149090357E9
Average power consumption (Watt),3, ,3.080387713885635E9,3.0803654925112405E9,3.0804065639350224E9,3.0803526089918447E9,3.0803521955425377E9,3.0804106256547456E9,3.0804473466368046E9,3.080389729068085E9,3.080410778862898E9,3.080386527357442E9


Energy efficiency (bits/Joule),0, ,3126.7177025837846,2514.070498633901,3513.0431476243234,3011.6144794902493,2962.4565093386022,2775.3154928346294,2793.602569468268,2981.3860047344438,3047.317791682794,3060.22582916132
