Metrics,LoadPoint,Node, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Tx Utilization,0,all, ,168.89623143258748,169.2744178095202,169.1257645405159,169.76700983930402,168.89272689283138,168.86903088553737,169.03991756258785,169.02385746305512,168.3003741974699,169.04113322949513
Tx Utilization,1,all, ,242.69745089845384,242.93602552900506,244.64237548911598,243.7340348744444,243.16560612392203,243.11134749078752,242.9404323215439,245.08715761881245,245.00083577099875,245.0116628043916
Tx Utilization,2,all, ,316.47830794362346,317.1494795426053,321.0332978763819,317.4469380389773,322.8231964441743,317.41147475591686,321.36764426547126,318.9156916005015,315.83612240246174,315.0125840519698
Tx Utilization,3,all, ,403.42587281084985,400.05049766364016,397.5401739923261,392.8382403221517,393.8178589066596,397.3407951221365,401.84298902100824,403.3079341260495,394.2871918094442,398.39764654484674


Rx Utilization,0,all, ,168.89623143258748,169.2744178095202,169.1257645405159,169.76700983930402,168.89272689283138,168.86903088553737,169.03991756258785,169.02385746305512,168.3003741974699,169.04113322949513
Rx Utilization,1,all, ,242.69745089845384,242.93602552900506,244.64237548911598,243.7340348744444,243.16560612392203,243.11134749078752,242.9404323215439,245.08715761881245,245.00083577099875,245.0116628043916
Rx Utilization,2,all, ,316.47830794362346,317.1494795426053,321.0332978763819,317.4469380389773,322.8231964441743,317.41147475591686,321.36764426547126,318.9156916005015,315.83612240246174,315.0125840519698
Rx Utilization,3,all, ,403.42587281084985,400.05049766364016,397.5401739923261,392.8382403221517,393.8178589066596,397.3407951221365,401.84298902100824,403.3079341260495,394.2871918094442,398.39764654484674


Regenerators Utilization,0,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,1,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,2,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,3,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


