Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,1.4063104587348554,1.4127547468181065,1.4043587488749303,1.4054094305257825,1.409036435494328,1.4113241379293486,1.4020547046085143,1.4079004972486737,1.4010739119160645,1.4132561721863144
Rate of requests by circuit,1, ,1.932909161796095,1.9509905827866394,1.9378314374148793,1.9365119600927174,1.9445318892101866,1.929688520808272,1.9326636208866763,1.9343189038870332,1.9347498531423668,1.9405087715764124
Rate of requests by circuit,2, ,2.157728220827709,2.1963361720040218,2.1612471887025224,2.1621802239695342,2.1762993992655,2.1790442697257757,2.167870503499654,2.1843801758422536,2.1383934760539915,2.1718111644388425
Rate of requests by circuit,3, ,2.317161893622217,2.309145767078605,2.2667335728984535,2.3163792170237363,2.2895956647149833,2.294230870908163,2.320691144541065,2.2973498427970553,2.2961250322488347,2.2956766345313366


Maximum requests by circuit,0, ,16,17,20,18,17,17,16,16,16,16
Maximum requests by circuit,1, ,21,22,25,21,20,26,22,22,22,20
Maximum requests by circuit,2, ,26,28,30,24,24,27,26,27,27,26
Maximum requests by circuit,3, ,34,29,33,33,33,34,37,31,32,32


Virtual hops,0, ,1.8209536756047828,1.8209764745340424,1.8239458884620174,1.8189169509063734,1.821300833277398,1.817411800778031,1.8164880872515383,1.8234707478687802,1.8209445860727225,1.817398224318779
Virtual hops,1, ,1.863503137582764,1.861876970550748,1.8590209521983028,1.8638281954382399,1.8593119059265866,1.8658850415778456,1.860241680823903,1.8623367150083021,1.868317772254901,1.8638972606684199
Virtual hops,2, ,1.8954845008542835,1.8894245283937632,1.896846069048943,1.8905125111880765,1.8931658497130106,1.8889980449182464,1.891474752975959,1.8890783985029824,1.8967869761268032,1.8892738967896847
Virtual hops,3, ,1.9150623216699203,1.9118921956211996,1.9202074826178126,1.9118373246080655,1.916680016019223,1.9120316173895642,1.9216742394607769,1.9117272243796222,1.913494531955453,1.9194357492575649


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3


