Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.2239202295611398E16,1.2871373605605476E16,1.1109739843606428E16,1.0874436924080584E16,1.1084603634730172E16,1.0262289624524158E16,1.0979846455804042E16,1.5460242264923776E16,1.181256475944639E16,1.1090465107364654E16
Total energy consumption (Joule),1,all,all,all, ,5.950505721865283E15,5.759668698968201E15,6.204747058966903E15,6.159746451594075E15,6.498344387522632E15,5.270260064366472E15,5.795770471764866E15,6.220231347005135E15,5.361174842229644E15,5.489039522328474E15
Total energy consumption (Joule),2,all,all,all, ,3.7557260499344275E15,4.614329330974064E15,4.106965384461925E15,4.0814885759798415E15,4.093500886520095E15,3.5630868066191125E15,3.5093105167216495E15,3.497062745563578E15,4.0714571292826025E15,3.6341658927411105E15
Total energy consumption (Joule),3,all,all,all, ,2.8546637050188315E15,3.6235653463162415E15,2.7752852162502955E15,2.98132447804E15,3.318885513412727E15,2.641666738613795E15,2.7425127727862045E15,2.9417708540217605E15,3.5253048758053745E15,3.01671660108558E15


Average power consumption (Watt),0,all,all,all, ,3.0802707653492627E9,3.0802699653808274E9,3.080272113988106E9,3.0802720820855093E9,3.080272219149881E9,3.0802713537092586E9,3.080270541931606E9,3.0802713326731625E9,3.0802714463534403E9,3.080270829473255E9
Average power consumption (Watt),1,all,all,all, ,3.0804303779053144E9,3.0804255275284567E9,3.080424626545845E9,3.080421989239068E9,3.080426004683356E9,3.0804253153831506E9,3.080427578280983E9,3.080424422547619E9,3.0804244334891973E9,3.080423864247721E9
Average power consumption (Watt),2,all,all,all, ,3.0805576398272543E9,3.0805583823986053E9,3.0805519662849307E9,3.080561208851651E9,3.0805540362045693E9,3.080556979040596E9,3.0805612602678003E9,3.0805522146957917E9,3.0805524887228017E9,3.080554689248926E9
Average power consumption (Watt),3,all,all,all, ,3.0806500881886277E9,3.080654956503927E9,3.0806535207882195E9,3.080662333411612E9,3.080651137145006E9,3.080656236387925E9,3.0806606780142503E9,3.080659864362595E9,3.08065828521331E9,3.0806543554001794E9


Energy efficiency (bits/Joule),0,all,all,all, ,2603.6882391920904,2458.086340814567,2878.546594475776,2928.2861140412324,2869.942534399806,3094.9464812650717,2888.9645306160846,2049.039491401091,2677.710568221927,2850.2949905344417
Energy efficiency (bits/Joule),1,all,all,all, ,5286.897349065218,5431.106282790713,5012.142968534364,5041.058882543951,4848.104427774454,5932.01428788564,5432.858881097667,5010.292906296414,5811.530816725197,5706.657030545124
Energy efficiency (bits/Joule),2,all,all,all, ,7879.292038588082,6412.870163143877,7165.293798751638,7277.949250891248,7129.70259934403,8264.297696137062,8535.729633356237,8441.573761356089,7214.162521137201,8059.19817952128
Energy efficiency (bits/Joule),3,all,all,all, ,9449.693750128929,7585.558176005197,9869.497825630244,9330.696975583835,8210.117171210377,10319.031120191008,10048.982516128346,9338.53022989202,7799.273907532021,9016.234275782028


Total data transmitted (bits),0,all,all,all, ,3.186706707417623E19,3.1638947647459963E19,3.1979903792325124E19,3.1843462642802426E19,3.1812175448274813E19,3.1761237163144098E19,3.1720386962428604E19,3.167864694745706E19,3.1630629494175506E19,3.161109713821849E19
Total data transmitted (bits),1,all,all,all, ,3.1459712926526976E19,3.1281372857759207E19,3.1099079343135236E19,3.1051644564026892E19,3.1504652198351745E19,3.126325800269501E19,3.1487603080331366E19,3.1165180993422414E19,3.115663280946942E19,3.1324065981035835E19
Total data transmitted (bits),2,all,all,all, ,2.9592462364366197E19,2.9591094889523225E19,2.942761360097267E19,2.9704866724073673E19,2.9185443911039414E19,2.9446410087078695E19,2.995452577022967E19,2.952071311476538E19,2.937215342848741E19,2.9288463146857484E19
