Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,1.0550235085852718E16,1.238342288020882E16,1.1593764045853636E16,1.0483276210448866E16,1.4843738202369874E16,1.0320533718527282E16,1.4371285398188424E16,1.0095254604093154E16,1.2101179867286354E16,1.0506347132083008E16
Total consumed energy (Joule),1, ,5.422399000989079E15,6.460302222598222E15,6.292660502507757E15,5.939123754385989E15,6.577096563423923E15,6.138561410069814E15,5.663107098998424E15,6.118157883212114E15,5.434461868420445E15,5.847088368065244E15
Total consumed energy (Joule),2, ,3.377460451142777E15,4.2251257337227715E15,4.397116842171266E15,3.756890055106813E15,3.8356357012831345E15,3.7419468062065295E15,3.4818876783770205E15,4.52782891777766E15,4.032062860579489E15,4.069888147438603E15
Total consumed energy (Joule),3, ,2.7966501849585215E15,2.930677064611585E15,3.0057813227901775E15,3.3421558928432825E15,2.4838132148898615E15,3.112024927585246E15,2.7322741356506865E15,2.8690384204204905E15,2.4988988285792195E15,2.8873918079502225E15


Average power consumption (Watt),0, ,3.080180295819237E9,3.080162858033187E9,3.0801708996007667E9,3.0801793285407887E9,3.080151747847758E9,3.0801809093634424E9,3.0801535808308153E9,3.0801828309174285E9,3.0801667107303295E9,3.080180886432171E9
Average power consumption (Watt),1, ,3.080251347396864E9,3.0802233818024244E9,3.080229087855988E9,3.0802373749996986E9,3.08022200725894E9,3.0802316012594132E9,3.0802463634955187E9,3.0802331559936075E9,3.0802537500721025E9,3.080239840906078E9
Average power consumption (Watt),2, ,3.080334123633928E9,3.080283174659524E9,3.0802755058051963E9,3.0803107585936127E9,3.080305819875641E9,3.0803089464241185E9,3.0803250885091004E9,3.080268682304007E9,3.0802929215236535E9,3.080288582530658E9
Average power consumption (Watt),3, ,3.0803611561268554E9,3.0803525029413295E9,3.080343953618556E9,3.0803197393469715E9,3.0803958094473367E9,3.0803371400305004E9,3.080369413610482E9,3.0803550511762924E9,3.080394446996901E9,3.0803507807470417E9


Energy efficiency (bits/Joule),0, ,2960.2775109871814,2494.8630651882168,2689.044298563499,2996.1085491476474,2117.8942443037877,2995.418147115348,2167.6846085870334,3120.341563183494,2572.2831935121676,3026.636297105554
Energy efficiency (bits/Joule),1, ,5653.297320342816,4732.310003541648,4880.2333287300125,5119.909784795428,4630.01734074205,4934.652314336061,5447.592938444331,5014.029806494812,5691.129386799476,5242.382092789664
Energy efficiency (bits/Joule),2, ,8578.00985526103,6811.531780603641,6536.180101071848,7701.673854966501,7524.737785440222,7690.101015481595,8272.297129712886,6346.330937703736,7167.489974778887,6991.9462282232835
Energy efficiency (bits/Joule),3, ,9541.074626320788,9247.25548372457,8874.63408178535,8093.625730636642,10748.095217318722,8693.538438429865,9834.672894781896,9445.886134177541,10783.818414710597,9190.525439932011


Total data transmitted (bits),0, ,3.1231623660277715E19,3.089494436443967E19,3.1176145106393207E19,3.1409033477201998E19,3.143746770275141E19,3.0914313988392464E19,3.1152414163264623E19,3.15006425320714E19,3.1127661594288493E19,3.1798891579953275E19
Total data transmitted (bits),1, ,3.0654433742121124E19,3.057215283390391E19,3.0709651510721307E19,3.0407777823191785E19,3.045207114038771E19,3.0291666268895044E19,3.0850302242157773E19,3.0676625987266744E19,3.0928225640808784E19,3.0652671355703976E19
Total data transmitted (bits),2, ,2.8971889035657105E19,2.8779578212298936E19,2.8740347605887713E19,2.8934341913399796E19,2.8862152892628705E19,2.8775948934286942E19,2.8803209447820894E19,2.873510074152199E19,2.889977013088177E19,2.8456439081773986E19
Total data transmitted (bits),3, ,2.6683048118403084E19,2.7100719556755304E19,2.667520936962756E19,2.7050158930115273E19,2.669626093567076E19,2.7054508329314255E19,2.687102238299744E19,2.7100610233872548E19,2.694767120413133E19,2.6536647866017804E19


Total energy consumption by transponders (Joule),0, ,3.268183117687714E11,3.135012675661336E11,3.237777989983545E11,3.2145210890273975E11,3.22246729257028E11,3.217584656630768E11,3.205422135266321E11,3.2103271293012213E11,3.214918150025984E11,3.2747326877574023E11
Total energy consumption by transponders (Joule),1, ,2.9304512674442474E11,2.9048656247838525E11,2.946050613731468E11,2.9403145439324854E11,2.9280331781828326E11,2.923992665535794E11,2.9689129436571704E11,2.945153477452522E11,2.979358332933841E11,2.9415570157707434E11
Total energy consumption by transponders (Joule),2, ,2.7328545616913715E11,2.7199443081929178E11,2.7211979479921063E11,2.7549202288116144E11,2.751171228618971E11,2.7219498258938666E11,2.715229802219498E11,2.7017947884520938E11,2.7232361415372763E11,2.691457286824355E11
Total energy consumption by transponders (Joule),3, ,2.508302247931026E11,2.5461904615136377E11,2.528024972258283E11,2.548230758263338E11,2.507115052909468E11,2.5485505884870117E11,2.5238006235239917E11,2.5163705871134616E11,2.5112907429939224E11,2.4924422360391708E11


Total energy consumption by OXCs (Joule),0, ,1.054965754286454E16,1.2382815087179248E16,1.1593164743236142E16,1.0482705624852314E16,1.4843063193268878E16,1.0319966694250714E16,1.4370623321676802E16,1.0094693659440782E16,1.2100570791567746E16,1.0505769977175856E16
Total energy consumption by OXCs (Joule),1, ,5.421977096375832E15,6.459858210117596E15,6.292216355728694E15,5.938688583205787E15,6.576647458557846E15,6.138123131287228E15,5.662675627741717E15,6.11771797330026E15,5.43403478653591E15,5.846655259914933E15
Total energy consumption by OXCs (Joule),2, ,3.377106904878733E15,4.224753333197402E15,4.396740228816686E15,3.756525284964392E15,3.8352694345959315E15,3.7415856881610585E15,3.4815334127736135E15,4.527451138244773E15,4.031694719129543E15,4.069522284858725E15
Total energy consumption by OXCs (Joule),3, ,2.7963328966844225E15,2.930352802379793E15,3.0054570921679795E15,3.341821647554162E15,2.4835034800841685E15,3.1116961195094725E15,2.731956827509973E15,2.8687186049833375E15,2.4985883176960675E15,2.887073949112426E15


Total energy consumption by Amplifiers (Joule),0, ,2.5072467651736203E11,2.94291762030437E11,2.755248185308425E11,2.491334876169022E11,3.527623719099897E11,2.45265810816393E11,3.415342980604389E11,2.3991193951286365E11,2.8758390355934235E11,2.496816383271887E11
Total energy consumption by Amplifiers (Joule),1, ,1.288594864856859E11,1.53525918116196E11,1.4954171772469955E11,1.4113972590216275E11,1.5630154817024484E11,1.4587951601866132E11,1.3457996235608238E11,1.4539456410294244E11,1.291460512819986E11,1.3895244872115945E11
Total energy consumption by Amplifiers (Joule),2, ,8.026080778925049E10,1.0040609456067026E11,1.0449355982616864E11,8.927811951005145E10,9.11495642810103E10,8.892306290649794E10,8.27426231757111E10,1.0760005407496309E11,9.58178358077798E10,9.671685116845236E10
Total energy consumption by Amplifiers (Joule),3, ,6.645804928807956E10,6.964318561746558E10,7.142812495655656E10,7.942221329529672E10,5.902330043831477E10,7.395301694053677E10,6.492807838109572E10,6.817837842900015E10,5.9381808855787224E10,6.861461417413542E10


