Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,1.3407993321288587,1.3369902990839733,1.3315775479617735,1.337724687371999,1.3356976716977984,1.327212645869589,1.3360756694254496,1.339619876029264,1.3283813398128534,1.335379887926656
Rate of requests by circuit,1, ,1.8819065741419476,1.8634485675681831,1.8526821034649052,1.8637265117012256,1.8623953700957965,1.8460843132995959,1.8707211149080458,1.8741346827449568,1.8581757521961835,1.85363844086163
Rate of requests by circuit,2, ,2.1794923145720944,2.197891021099652,2.1655212006641653,2.184437421194382,2.1558370975782966,2.151445445364708,2.1569966642095952,2.1667249837643974,2.2019139019724743,2.162338545752869
Rate of requests by circuit,3, ,2.418216768954304,2.4037759735903315,2.4166346538587002,2.4271773318454466,2.387984279122038,2.392015181540522,2.425712199758253,2.4455803203336037,2.4371543738726915,2.4242821236856393


Maximum requests by circuit,0, ,18,18,18,17,15,17,15,18,16,18
Maximum requests by circuit,1, ,25,21,22,23,21,21,22,23,22,23
Maximum requests by circuit,2, ,26,25,24,27,25,24,24,28,28,27
Maximum requests by circuit,3, ,32,29,30,29,31,29,34,31,34,29


Virtual hops,0, ,1.9430257745275332,1.9443326958710279,1.9507180545086682,1.9501676287964451,1.9503272777838476,1.9518045992976052,1.9433866791018861,1.942498163990393,1.9530943977730277,1.944776829050855
Virtual hops,1, ,1.9184053393010982,1.9238885301276638,1.9222270707711837,1.9253983558811543,1.9234917860193481,1.9291324455785026,1.9232574722205715,1.924168589386586,1.921594631775849,1.9248372499206097
Virtual hops,2, ,1.9058084612565658,1.907523126876187,1.9056248792344226,1.911646422789888,1.9133446928343316,1.9111434443743514,1.904758990677845,1.9042322383498853,1.9094644360803092,1.9088327237807245
Virtual hops,3, ,1.8986418643978227,1.8936225878019173,1.903098275916745,1.897896508203618,1.8901983086369045,1.8983593100472527,1.8921859752578618,1.8942273404233003,1.8990011098779134,1.8976640477918363


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3


