Metrics,LoadPoint,Node, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Tx Utilization,0,all, ,173.75290620370018,173.41002165406678,174.39192911142348,174.24933518216008,174.7469988223227,175.27291722068153,172.7204535957148,173.7381092580633,174.52590890096113,175.36637161417772
Tx Utilization,1,all, ,248.281141967101,246.3508338715192,248.94739391406753,248.89208106978688,249.65228127493066,251.54800934543934,248.6764236599172,249.22272347376818,248.35705466702123,250.38051323937242
Tx Utilization,2,all, ,311.9486095809748,308.7725563195684,311.5475534703491,310.62928807506745,315.15058124074005,313.23955286251567,312.749933518216,312.51498689359113,307.53075257379476,311.40998366447593
Tx Utilization,3,all, ,361.1600311514645,365.00016145576114,362.59934278007825,362.0525396041485,364.94425977282225,365.0336017931087,362.9932853398169,361.31797287543213,357.7814173916347,363.1438095961706


Rx Utilization,0,all, ,173.75290620370018,173.41002165406678,174.39192911142348,174.24933518216008,174.7469988223227,175.27291722068153,172.7204535957148,173.7381092580633,174.52590890096113,175.36637161417772
Rx Utilization,1,all, ,248.281141967101,246.3508338715192,248.94739391406753,248.89208106978688,249.65228127493066,251.54800934543934,248.6764236599172,249.22272347376818,248.35705466702123,250.38051323937242
Rx Utilization,2,all, ,311.9486095809748,308.7725563195684,311.5475534703491,310.62928807506745,315.15058124074005,313.23955286251567,312.749933518216,312.51498689359113,307.53075257379476,311.40998366447593
Rx Utilization,3,all, ,361.1600311514645,365.00016145576114,362.59934278007825,362.0525396041485,364.94425977282225,365.0336017931087,362.9932853398169,361.31797287543213,357.7814173916347,363.1438095961706


Regenerators Utilization,0,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,1,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,2,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,3,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Tx Utilization Per Node,0,22, ,5.732676746571439,5.840063822512631,5.699331383201003,5.730558826881435,5.621462219351898,5.878347832693842,5.48823272423356,5.662899365573833,5.567023135660829,5.559767123808077
Tx Utilization Per Node,0,23, ,5.225050336207879,5.410031151464499,5.290306955894085,5.25599285795692,5.351945067051628,5.004843672833643,5.208012004710709,5.436243969152453,5.142679405842799,5.1900524256353755
Tx Utilization Per Node,0,24, ,4.971859210576302,5.111888842457167,5.366998442426775,5.091507426965012,4.805702237586901,5.026298294267371,5.104176955514189,5.21438475857615,5.006258785092885,5.389877673517456
Tx Utilization Per Node,0,25, ,6.2809235269536146,6.496466968050754,6.272784257113551,6.629088629715458,6.665539642138055,6.500968734566729,6.698676062758804,6.95490635565855,6.771834517342248,6.6618356570299735
Tx Utilization Per Node,0,26, ,6.493323329407742,6.4431010903012575,6.810764350567944,6.865421874406413,7.065275614481632,7.190280363180489,6.802131216046803,6.721327356304372,6.86870797401512,7.009706340462714
Tx Utilization Per Node,0,27, ,6.299633400448277,6.299965809368233,6.056613987767352,6.159955172282794,6.131016601451202,6.174714128328838,5.830689890969874,6.2733541009763325,6.585001709531588,6.2526782661550735
Tx Utilization Per Node,0,28, ,4.679833225696159,4.509421418531322,4.488004786688447,4.889383808836379,4.529660373057782,4.39905215970824,4.470225658169661,4.428009725335258,4.491974698932492,4.385480378376325
Tx Utilization Per Node,0,10, ,7.045036659955172,7.059330243513277,7.29942445769859,7.592153250009497,7.366628043915967,6.882184781369904,7.27654522660791,6.844935987539414,7.154655624358925,7.354062986741633
Tx Utilization Per Node,0,11, ,9.289585153667895,9.784532538084564,9.089417999468147,9.759307449758767,9.057725183299777,8.974860388253619,9.272081449682787,9.459807012878471,9.633295976902328,9.07992060175512
Tx Utilization Per Node,0,12, ,6.253466550165255,5.516458990236675,5.9977111271511605,5.4961535539262245,6.075380845648293,6.19580784864947,5.325713254568249,5.870142081069787,5.636496599931618,5.668569312008509
Tx Utilization Per Node,0,13, ,6.6889127379098126,7.0986399726474945,7.128898681761197,7.222742468563614,6.840206283478327,7.148776735174562,6.705115298408236,6.965752383846826,6.737282984462257,6.778264255593967
Tx Utilization Per Node,0,14, ,6.44932188580329,6.5477719104965235,6.407723283820233,6.580765870151579,6.258167762033203,7.047088097861186,6.846322607605516,6.417733541009763,6.841668882726133,6.809073813775026
Tx Utilization Per Node,0,15, ,8.494178095201915,8.473036887892718,8.824706530410667,8.040819815370588,8.735430991908217,8.522147931466778,7.967518899821449,8.258690118907419,8.258500170953159,7.986770124985754
Tx Utilization Per Node,0,16, ,5.199787258291228,5.294761235421494,5.038758880066862,5.163431219845762,4.915710595296889,5.205257759373931,5.273961934429966,5.1449872734870645,5.185085286631463,5.392214033354861
Tx Utilization Per Node,0,17, ,4.932957869543745,5.07483949397865,5.100577441780952,5.044666261444364,5.420174372222011,5.4644987273487065,5.1420240854006005,4.776583216198762,5.2089617444820115,5.505062112981043
Tx Utilization Per Node,0,18, ,6.631472476541427,6.13088363788322,6.327973635223949,6.147855487596399,6.679842723093873,6.407172434752877,5.941268092542643,6.152214793146678,6.056794438323899,6.190945181020401
Tx Utilization Per Node,0,19, ,5.2582722334080465,5.149726474945865,5.576862439691524,5.503390570983551,5.4275158606541805,5.078600463473008,5.416080993807697,5.464517722144133,5.304989932758424,5.246533449834745
Tx Utilization Per Node,0,1, ,4.852305968164723,4.998290468411655,4.963520495384265,5.0108460281882765,5.027979333662577,4.999658093682331,5.170962656232192,5.176309691144627,5.041969000493864,5.138187136724538
Tx Utilization Per Node,0,2, ,4.916384910534513,4.577850169053679,4.842305208372906,4.665473160354063,5.014569008091783,5.000427382897086,4.544951183375755,4.731233142119059,4.452313566082894,4.556860920107891
Tx Utilization Per Node,0,3, ,6.662547961858451,6.85198305664248,7.001795008167762,6.923441477035293,7.059263761729286,6.657818257797364,7.133846825969684,6.810821334954222,7.395842039281237,7.118442046879155
Tx Utilization Per Node,0,4, ,7.294979675568894,7.233597994149603,7.653117045929416,7.422216312730312,7.379544504805684,7.587100634426167,7.726360977092277,7.165112259240968,7.441268092542643,7.8842742088667706
Tx Utilization Per Node,0,5, ,5.438019982524788,5.439805493294838,5.424182274056909,5.39958401398017,5.367663260266687,5.647751016221555,5.49309539186263,5.53787562207955,5.434202028644152,5.6366390608973145
Tx Utilization Per Node,0,6, ,4.801646848763439,4.844869505755423,4.986874596360598,4.885755802910003,4.733085134673099,4.914627891957603,4.612544162899366,5.219712798693158,5.059957071762337,5.0808038597424305
Tx Utilization Per Node,0,7, ,5.20468791551115,4.972685484177336,4.897627550051286,5.127578543479086,4.925901303042966,5.083662576454052,4.994994871405235,4.867653762868974,4.74184173536451,4.883732857197128
Tx Utilization Per Node,0,8, ,5.341801846294115,5.352362952551001,5.270305436310451,5.135499373171751,5.56668122934316,5.09115602324963,5.3688029479922506,5.331696615127455,5.215999316187364,5.203348782433613
Tx Utilization Per Node,0,9, ,11.033126923223037,10.478906279679368,10.457024275348555,10.564145424153782,10.822370170573263,10.911360787144323,10.46532500094974,11.049946814572808,10.811951525282073,11.134321695855336
Tx Utilization Per Node,0,20, ,6.10176461649508,6.2281274930669,6.259630361281009,5.903420962656233,5.976911826159633,6.455780116248148,6.34981764996391,5.848136610568704,6.15708695817346,6.137636287657182
Tx Utilization Per Node,0,21, ,6.179348858412795,6.190622269498157,5.858688219427877,6.038179538806367,5.925644873304715,5.82267408730008,6.090975572693082,5.953120844888501,6.32226569919842,6.1313110207803065
Tx Utilization Per Node,1,22, ,7.905681343311932,8.983028150286822,8.538084564829237,9.296204839873875,8.342305208372906,8.472296090871101,8.613294457318695,8.313490103711583,8.429947194468715,9.095467841811343
Tx Utilization Per Node,1,23, ,8.001984956122023,7.686424419709,8.08855373627626,7.3063575580291,7.989723815674505,8.295236105307145,7.546793678532082,7.505138092162747,7.256420240854006,7.678570071800327
Tx Utilization Per Node,1,24, ,7.167885499373171,7.13511947726323,7.1556718459142195,7.605829502716256,7.215799870835391,7.389564259392927,7.776488242221632,7.626790259468906,7.303641302283174,7.438551836796718
Tx Utilization Per Node,1,25, ,9.129421038635414,9.588867150400791,8.943272043460093,9.505831402195799,9.825171902898607,10.441742962428295,8.942673707404172,9.31950195646393,9.544257873342705,10.101812103483645
Tx Utilization Per Node,1,26, ,9.917581582646354,9.420563765528245,10.278007825855715,10.211630513239372,9.494159100406488,9.733037647684535,8.948514606997682,9.717433423242031,10.077109372032064,9.122079550203244
Tx Utilization Per Node,1,27, ,8.930460053945218,9.248366447593359,9.536109106104927,9.58990236675151,8.74489040003039,9.031569349998101,9.242079170307337,9.156697564867226,9.040306955894085,9.481280629107625
Tx Utilization Per Node,1,28, ,6.452038141549216,6.016895870531474,6.469180944421229,6.093843786802416,6.590291760057744,5.859666451392319,6.6944497207765075,6.577014398054933,6.19436424419709,6.270837290582381
Tx Utilization Per Node,1,10, ,10.141264293583559,10.251453101850093,10.161617216882574,10.304799984804164,10.742221631273031,10.099171826919424,10.420183869619724,10.108811685598146,9.620047107092656,11.048997074801504
