Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,1.271846660597836E16,1.3040037929741218E16,1.2489264180934742E16,1.2199224016607706E16,1.2465268370531198E16,1.1398290741081838E16,1.187143005813166E16,1.1332953557211486E16,1.2292614148542016E16,1.2107780989848638E16
Total consumed energy (Joule),1, ,5.713730923015535E15,6.387842565870764E15,4.832664752535582E15,6.221329976568269E15,6.441136117869041E15,6.190411229376767E15,5.415932364916782E15,4.905462537447871E15,6.118568151781692E15,5.789058653106167E15
Total consumed energy (Joule),2, ,3.616843765841448E15,3.7042320109798745E15,3.5645359877481655E15,3.66917004216426E15,4.047461456491564E15,3.494181952043016E15,3.1667293028475205E15,3.612126694527029E15,3.764597994486765E15,3.7696905877545025E15
Total consumed energy (Joule),3, ,2.550325733568008E15,2.6803343416813165E15,3.081332241779147E15,2.879233006630113E15,2.7922181531588825E15,2.9101403091046535E15,2.552490903870227E15,2.800486927694389E15,3.017789955000785E15,4.07471099844951E15


Average power consumption (Watt),0, ,3.0801537148795266E9,3.0801526009086385E9,3.0801544991746044E9,3.080157260905337E9,3.0801550664229865E9,3.080161612997084E9,3.0801579745606565E9,3.0801612932093406E9,3.0801559211900816E9,3.0801569300895805E9
Average power consumption (Watt),1, ,3.080239239232131E9,3.0802225888329153E9,3.0802663024476E9,3.0802277854591103E9,3.0802223274161344E9,3.0802272663735E9,3.0802464168478646E9,3.0802645282753496E9,3.0802268511517386E9,3.0802383775751805E9
Average power consumption (Watt),2, ,3.0803266856737676E9,3.080320579253108E9,3.0803313013716264E9,3.0803212383338127E9,3.0802975953464146E9,3.080331178721377E9,3.080356009177454E9,3.0803258973583646E9,3.0803131870431E9,3.08031541726972E9
Average power consumption (Watt),3, ,3.080425389872733E9,3.0804021325549192E9,3.08036501047796E9,3.080386183745659E9,3.0803883890599594E9,3.0803809603154984E9,3.0804201161658516E9,3.08038984617115E9,3.0803695575053954E9,3.080293843098523E9


Energy efficiency (bits/Joule),0, ,2565.2461803878027,2500.413537109491,2621.641735374079,2674.8066993908683,2644.1764256749257,2873.8732584320287,2737.0295092283422,2885.739511451841,2662.645281152774,2689.1697138889804
Energy efficiency (bits/Joule),1, ,5757.756132184591,5109.369281526064,6804.321807997749,5290.143122928868,5088.263266333947,5301.123909218403,6027.36256331614,6682.173962244875,5338.782242575053,5632.713008114453
Energy efficiency (bits/Joule),2, ,8975.538523745481,8735.462746822668,9098.798924249702,8799.08761284476,8013.322567607162,9204.792992808985,10223.364513557122,9013.97723140289,8594.80900659675,8581.74199258424
Energy efficiency (bits/Joule),3, ,12513.647202350507,11726.704358381327,10261.501229431724,11057.429815112648,11303.020808051966,10950.455127293935,12395.252944817372,11364.61949806161,10542.21627196557,7716.876978842786


Total data transmitted (bits),0, ,3.262599788137581E19,3.260548736394616E19,3.274237622085108E19,3.263056612699227E19,3.2960368765069885E19,3.2757242952628486E19,3.249245438584669E19,3.2703951861493875E19,3.2730871055647224E19,3.2559877940301697E19
Total data transmitted (bits),1, ,3.289826925964542E19,3.2637846581284712E19,3.2883006166419902E19,3.2911725991013847E19,3.277419630200989E19,3.281613697594327E19,3.264378798175166E19,3.2779154040501838E19,3.266570299871736E19,3.2608105980088644E19
Total data transmitted (bits),2, ,3.2463120554678596E19,3.235818073750271E19,3.2432996210772357E19,3.2285348667428626E19,3.2433614230824E19,3.2163221547765174E19,3.2374627978772824E19,3.2559627781409223E19,3.235600074923091E19,3.2350512015982383E19
Total data transmitted (bits),3, ,3.1913876480945807E19,3.143148840651344E19,3.161909458730433E19,3.183691689216824E19,3.156049988577528E19,3.186736086897981E19,3.1638770392816984E19,3.1826468342542307E19,3.181419436898352E19,3.1444043499372528E19


Total energy consumption by transponders (Joule),0, ,2.842306580638817E11,2.867011254691254E11,2.8228852280837177E11,2.866707131161455E11,2.8404173793556793E11,2.8395425959053107E11,2.817183313420023E11,2.811500015874029E11,2.83518744160107E11,2.832215125792235E11
Total energy consumption by transponders (Joule),1, ,2.863307196247872E11,2.855840184315392E11,2.8463573657113135E11,2.8863515249463086E11,2.874200048217618E11,2.86157523130826E11,2.8402683553476184E11,2.860981180717088E11,2.82011750895655E11,2.884862653135721E11
Total energy consumption by transponders (Joule),2, ,2.8392226961262866E11,2.834395628081949E11,2.8515693977692926E11,2.8154171289420605E11,2.795045411050509E11,2.793896165658034E11,2.787316493656478E11,2.826276384433322E11,2.790249511748606E11,2.821315541030044E11
Total energy consumption by transponders (Joule),3, ,2.819127169138978E11,2.7604932127997437E11,2.8021843862761273E11,2.816282238012248E11,2.7511579703475323E11,2.797171103125623E11,2.777826503054869E11,2.772550938029923E11,2.788941067291678E11,2.7642305542759094E11


Total energy consumption by OXCs (Joule),0, ,1.2717880120354814E16,1.3039441331380138E16,1.2488685084528306E16,1.2198647431087466E16,1.2464688091225566E16,1.1397735906593542E16,1.1870866215088894E16,1.1332403079690564E16,1.2292038495445356E16,1.2107210026643364E16
