Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Percentage of cicuits per modulation,0,BPSK,all, ,0.04908764106297779,0.04868770962763867,0.049549010558224076,0.04918563997612348,0.04947705103368348,0.047533102904201645,0.0504654888345391,0.048342407846751666,0.04989858934080231,0.049710152362386496
Percentage of cicuits per modulation,0,QPSK,all, ,0.38505073716781946,0.3873833345671349,0.3889734078619739,0.38658366732042865,0.3883911578732083,0.392115464291998,0.39482460791188495,0.38571517975501657,0.3835538612747632,0.39092665743258265
Percentage of cicuits per modulation,0,8QAM,all, ,0.19753936112122314,0.20392462800881503,0.20259482743884719,0.19969301611665388,0.20136233744837265,0.19495099124255788,0.19861807111460775,0.1997872183060529,0.20099763091065068,0.20150253367305643
Percentage of cicuits per modulation,0,16QAM,all, ,0.33570144703312704,0.32649237795329394,0.32782345600929896,0.3311901310366391,0.32741547883491173,0.331301470546503,0.3227465266494496,0.3308129512365802,0.3331610014941739,0.32742237954365383
Percentage of cicuits per modulation,0,32QAM,all, ,0.03262081361485256,0.03351194984311738,0.03105929813165587,0.033347545550154914,0.03335397480982383,0.03409897101473952,0.03334530548951866,0.0353422428555986,0.032388916979609925,0.030438276988320592
Percentage of cicuits per modulation,0,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation,1,BPSK,all, ,0.034396417507985166,0.03578727729923493,0.034024918453558636,0.035244577139983094,0.03592458567084921,0.036621388471954404,0.0350266075744503,0.035603109713299864,0.03412391353274674,0.034641908390801515
Percentage of cicuits per modulation,1,QPSK,all, ,0.3623260517150057,0.35731635546519713,0.36277739158333777,0.3600704142455082,0.36273071817052804,0.36005512437704645,0.36526063633099504,0.36221944803124717,0.3595014307608218,0.3646013899696783
Percentage of cicuits per modulation,1,8QAM,all, ,0.1931795686671054,0.19746402011663367,0.19862039463130313,0.19793572827378086,0.1975129544773243,0.19831956114158739,0.19318760349622993,0.19505896346461923,0.2002100592667217,0.19505728929079347
Percentage of cicuits per modulation,1,16QAM,all, ,0.3713678849065588,0.3697501471296346,0.3661141115448372,0.36901666185110277,0.36439552909939615,0.3667694016975317,0.3670183975434215,0.36920076510520194,0.36867008906084214,0.3670754286634288
Percentage of cicuits per modulation,1,32QAM,all, ,0.03873007720334495,0.039682199989299664,0.03846318378696326,0.037732618489625135,0.039436212581902275,0.03823452431188005,0.039506755054903246,0.03791771368563177,0.03749450737886761,0.038623983685297986
Percentage of cicuits per modulation,1,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation,2,BPSK,all, ,0.022128511490213616,0.023443910444262105,0.02534814499840544,0.022456927008346304,0.024437730067876674,0.02349666576192529,0.02426156971611517,0.025172026587620473,0.024219207235967013,0.02307291445101459
Percentage of cicuits per modulation,2,QPSK,all, ,0.36864524098566653,0.365533189117763,0.3640746252790475,0.3617918789546664,0.37013532778688,0.35880978610849446,0.3689492325855962,0.35963535153027826,0.36532056397978185,0.3599566086697579
Percentage of cicuits per modulation,2,8QAM,all, ,0.19876791685302322,0.20136720623181764,0.1983629212288721,0.20829636555860742,0.19398046683830883,0.20326345536697907,0.1983364710637438,0.20512274689074914,0.20545357807927642,0.20365210362870634
Percentage of cicuits per modulation,2,16QAM,all, ,0.37161629714821204,0.37110111784827526,0.37317423195492716,0.36912345200210384,0.373247228546503,0.37610631243380754,0.36978418796600615,0.3699329987706685,0.3664591646714552,0.3755158038031225
Percentage of cicuits per modulation,2,32QAM,all, ,0.03884203352288459,0.038554576357881946,0.03904007653874774,0.038331376476275984,0.038199246760431516,0.03832378032879366,0.03866853866853867,0.04013687622068363,0.038547486033519554,0.03780256944739865
Percentage of cicuits per modulation,2,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation,3,BPSK,all, ,0.015657115542926946,0.016485591061618884,0.013066646812312536,0.015268674538941223,0.01335870761281543,0.012860134114341754,0.013917410595533235,0.01541816247839383,0.014486889391721016,0.01479016748392027
Percentage of cicuits per modulation,3,QPSK,all, ,0.3655256658788539,0.36055051238280605,0.3633559531153609,0.3573994958206183,0.3672395370965941,0.3642026027724032,0.3650873030228871,0.36007977662544877,0.3598562491681086,0.3570177673056104
Percentage of cicuits per modulation,3,8QAM,all, ,0.203468146692514,0.20529878804316035,0.2053117488140569,0.21238689133607536,0.20898164440215397,0.21199607728802777,0.2077450177159699,0.21802951735141604,0.21209636629841608,0.21580801969899593
Percentage of cicuits per modulation,3,16QAM,all, ,0.37658337095360755,0.379317496530049,0.3792677997830203,0.377805492901685,0.3697326663725235,0.3708023006175621,0.3738708064224381,0.3676532376013828,0.3763077332623453,0.37457810609437686
Percentage of cicuits per modulation,3,32QAM,all, ,0.038765700932097615,0.038347611982365734,0.03899785147524942,0.03713944540268011,0.04068744451591297,0.04013888520766519,0.03937946224317164,0.0388193059433586,0.03725276187940903,0.03780593941709652
Percentage of cicuits per modulation,3,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Percentage of cicuits per modulation and bandwidth,0,BPSK,100.0, ,0.003259237349836185,0.003376820094642074,0.0032250160965909417,0.003263124982234729,0.0034995824361865914,0.0032350887946740224,0.0032780903840781725,0.003277065660789568,0.003289454995824267,0.0032946299811328285
Percentage of cicuits per modulation and bandwidth,0,BPSK,200.0, ,0.004322897706589006,0.004339185349270254,0.004541232913397491,0.004115857991529519,0.0042040438356786974,0.0042283178105827135,0.004469604975856151,0.0040621959753537355,0.004431390149815075,0.004280738954724488
Percentage of cicuits per modulation and bandwidth,0,BPSK,400.0, ,0.00295208409173644,0.0031433468671879005,0.0032990889044631714,0.003092578380375771,0.0034768578749126526,0.003280493549686991,0.0030785544476560228,0.0033225804616338677,0.003283773726401427,0.0033516304998375485
