Metrics,LoadPoint,Node, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Tx Utilization,0,all, ,180.74860388253617,181.3533126923223,180.46191543517077,181.11013182388027,179.61051171978878,179.64395205713635,179.99471944687156,180.19453519735592,180.92626220415607,181.1081943547468
Tx Utilization,1,all, ,264.1148425331459,263.3896117463815,263.4790012536565,264.14263191885425,262.2807050868062,263.88017133305476,261.4541180716484,264.95570413706645,264.3644626372374,263.714356266383
Tx Utilization,2,all, ,336.51329635679826,334.32675796831666,335.8493807696691,334.4556091630893,335.3473958135471,333.1275310564905,330.4114272689283,331.2896991224404,329.9524655244463,335.6382156289177
Tx Utilization,3,all, ,409.56292975724654,405.11742582532383,405.8621357747977,408.4246951335334,407.4447441401056,402.2303308893363,403.906374653345,406.7293906469627,408.3814819739391,408.84359685446185


Rx Utilization,0,all, ,180.74860388253617,181.3533126923223,180.46191543517077,181.11013182388027,179.61051171978878,179.64395205713635,179.99471944687156,180.19453519735592,180.92626220415607,181.1081943547468
Rx Utilization,1,all, ,264.1148425331459,263.3896117463815,263.4790012536565,264.14263191885425,262.2807050868062,263.88017133305476,261.4541180716484,264.95570413706645,264.3644626372374,263.714356266383
Rx Utilization,2,all, ,336.51329635679826,334.32675796831666,335.8493807696691,334.4556091630893,335.3473958135471,333.1275310564905,330.4114272689283,331.2896991224404,329.9524655244463,335.6382156289177
Rx Utilization,3,all, ,409.56292975724654,405.11742582532383,405.8621357747977,408.4246951335334,407.4447441401056,402.2303308893363,403.906374653345,406.7293906469627,408.3814819739391,408.84359685446185


Regenerators Utilization,0,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,1,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,2,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,3,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Tx Utilization Per Node,0,22, ,6.208410895414656,5.984585723511758,6.039309729134217,6.246039585153668,5.847357823956236,5.8906184705390725,5.826520533373856,6.014663982068913,5.971707252212894,6.236903088553737
Tx Utilization Per Node,0,23, ,5.229419139155871,5.057155339436994,5.1791589104585345,5.204298522204916,5.05356532310147,4.961848953386772,4.900020894274968,5.310659879193101,5.097053907229419,5.186766326026668
Tx Utilization Per Node,0,24, ,5.514512023705505,5.5366694525699955,5.374292443870379,5.586084412870873,5.434505945370969,5.652328761919234,5.680346085172663,5.4719161949625805,5.624529878813205,5.7157333890514
Tx Utilization Per Node,0,25, ,6.567630969114463,6.749382669148654,6.68899821448923,6.442379288075068,6.844992971925692,6.677971735744406,6.472704478972761,6.777580442958629,6.962304828476998,6.655045017665159
Tx Utilization Per Node,0,26, ,6.553612810090035,6.551219465866352,6.321952285073889,6.874947764312578,6.348526003874938,6.338515746685408,6.479922501234662,6.4074668540819815,6.443936861300004,6.615687801542378
Tx Utilization Per Node,0,27, ,6.327546252326862,6.46027238536641,6.174685636135699,6.1825399840443716,6.406754549253504,6.176338183337766,6.220710025453026,6.207831554154161,6.154931048892603,6.286678949967709
Tx Utilization Per Node,0,28, ,5.133001557573225,5.119173346503058,4.941647988451164,5.066158872468944,4.840462713216579,5.021454621433727,4.982496296014892,4.9647646544846715,4.934164039053299,4.859960870721422
Tx Utilization Per Node,0,10, ,7.118603502640276,6.9128233863921285,6.6273696007294,6.966825589788398,7.216284238118756,7.000921247578163,7.425711355088706,6.830158036697945,7.1007578923375,6.922377768491433
Tx Utilization Per Node,0,11, ,8.02146411883144,8.388643011814763,8.407628309843103,8.643610150818676,8.286574478592865,8.163725639174865,8.383276982106903,8.154655624358925,8.370123086274361,8.024180374577366
Tx Utilization Per Node,0,12, ,6.301380921627474,6.517389735212552,6.340168293887475,6.64811191733465,6.290867302359153,6.555464802644075,6.552891007863845,6.473464270789804,6.718924514682977,6.596132659651255
