Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,1.404875929427514,1.4159017260513314,1.4166466245577085,1.402483310053909,1.4002894931478644,1.416310368440687,1.4083530772421595,1.4096800924746216,1.4094978785742958,1.404642709275075
Rate of requests by circuit,1, ,1.932051494925475,1.9435378865653594,1.9505059862251795,1.9388733843890489,1.988748899371129,1.949203843153943,1.9484387901141944,1.962206233110274,1.9659562406466733,1.9708907295669684
Rate of requests by circuit,2, ,2.2319265477792194,2.234203467751964,2.2094701715164033,2.2379599381263935,2.217546872084842,2.181023825667403,2.206960150119282,2.2408594574889715,2.2558343582560116,2.203686303567445
Rate of requests by circuit,3, ,2.330573749504286,2.337460665653875,2.3362562944503598,2.3207992644948594,2.314147133259254,2.3172239859984516,2.3477599521306396,2.355517333682134,2.35669489402736,2.3276649931934785


Maximum requests by circuit,0, ,18,16,16,14,16,15,16,16,18,16
Maximum requests by circuit,1, ,21,26,22,21,21,21,23,22,21,23
Maximum requests by circuit,2, ,25,27,27,27,25,26,26,25,24,24
Maximum requests by circuit,3, ,31,31,31,29,31,31,32,33,31,35


Virtual hops,0, ,1.80827703509761,1.8067185188719759,1.8051938132518617,1.810788873079384,1.8103328147518922,1.8086911704351312,1.8021060067972658,1.808524440035105,1.806172320968327,1.808007253292613
Virtual hops,1, ,1.8457192566534109,1.8486906287659965,1.8490528147801057,1.8481544587816365,1.8461942758851355,1.8502276379217997,1.846689229239565,1.8460155323463026,1.8512970615243343,1.8453972835800923
Virtual hops,2, ,1.8716327891669324,1.8701442734251437,1.8793439647849255,1.872258724323907,1.8738329938113674,1.8836984473791063,1.877341430629829,1.8661946014779371,1.8701665445853735,1.877236839565276
Virtual hops,3, ,1.9031409744998966,1.9062959853834378,1.9159981403262343,1.9093116210214656,1.906066381600387,1.909046102891165,1.9074033954386103,1.9022104993799578,1.9059444449914826,1.9068845865699302


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3


