Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.023667515100862364,0.02212893667135205,0.021597082399422558,0.022651293545568513,0.022223910648482316,0.02360103331687118,0.022926718079246285,0.023078676442654714,0.022983702465524447,0.023952437032253162
Blocking probability,1,all,all,all, ,0.02559548683660677,0.02443680431561752,0.024674239258443188,0.023363598374045513,0.025196596132659652,0.02581392698400638,0.023895452645975004,0.024246856361356987,0.02715306006154314,0.024142384986513696
Blocking probability,2,all,all,all, ,0.047591459939976447,0.04847471792728792,0.046271321657865745,0.04943395509630361,0.04963340044827717,0.047344527599437754,0.051285947650343805,0.04702161607719485,0.05179880712684724,0.047980853246210535
Blocking probability,3,all,all,all, ,0.07648254378300345,0.07916080993807696,0.0820955058314022,0.08271283668274892,0.07745127834973217,0.08207651103597614,0.08222846939938457,0.08408046195342476,0.07722334080461954,0.07759373931542757


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.023363598374045513,0.021853512137674277,0.021378642252022947,0.022385366409603768,0.02190099912623941,0.023316111385480377,0.022651293545568513,0.022736770124985754,0.022670288340994566,0.02370550469171447
Blocking probability by QoTN,1,all,all,all, ,0.025377046689207157,0.024294343349922122,0.02441780952019147,0.023211640010637087,0.02492117159898188,0.02567146601831098,0.02376248907799263,0.024066405804809482,0.026887132925578393,0.02384796565740987
Blocking probability by QoTN,2,all,all,all, ,0.04740151198571591,0.04827527257531437,0.04610986589674429,0.04930099152832124,0.04927249933518216,0.04712608745203814,0.05106750750294419,0.046784181134369184,0.051646848763438814,0.04763894692854158
Blocking probability by QoTN,3,all,all,all, ,0.07625460623789082,0.07896136458610341,0.0819530448657068,0.08250389393306234,0.07724233560004559,0.08182957869543744,0.08192455267256772,0.0839474983854424,0.07711886942977624,0.07740379136116704


Blocking probability by QoTO,0,all,all,all, ,3.039167268168522E-4,2.754245336777723E-4,2.184401473996125E-4,2.6592713596474565E-4,3.2291152224290544E-4,2.849219313907989E-4,2.754245336777723E-4,3.419063176689587E-4,3.134141245298788E-4,2.469323405386924E-4
Blocking probability by QoTO,1,all,all,all, ,2.184401473996125E-4,1.4246096569539945E-4,2.5642973825171906E-4,1.519583634084261E-4,2.754245336777723E-4,1.4246096569539945E-4,1.3296356798237283E-4,1.80450556547506E-4,2.6592713596474565E-4,2.9441932910382555E-4
Blocking probability by QoTO,2,all,all,all, ,1.8994795426053262E-4,1.9944535197355924E-4,1.6145576112145272E-4,1.3296356798237283E-4,3.60901113095012E-4,2.184401473996125E-4,2.184401473996125E-4,2.3743494282566576E-4,1.519583634084261E-4,3.419063176689587E-4
Blocking probability by QoTO,3,all,all,all, ,2.2793754511263913E-4,1.80450556547506E-4,1.3296356798237283E-4,2.089427496865859E-4,1.519583634084261E-4,2.2793754511263913E-4,2.754245336777723E-4,1.1396877255631957E-4,1.0447137484329294E-4,1.80450556547506E-4


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,1.8994795426053262E-5,9.497397713026631E-6,0.0,5.698438627815978E-5,1.8994795426053262E-5,2.849219313907989E-5,1.8994795426053262E-5,0.0,9.497397713026631E-6


Blocking probability per pair,0,all,26,27, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,27,18, ,0.014388489208633094,0.007352941176470588,0.08208955223880597,0.045454545454545456,0.06756756756756757,0.022222222222222223,0.04225352112676056,0.024193548387096774,0.01694915254237288,0.02027027027027027
Blocking probability per pair,0,all,10,24, ,0.056451612903225805,0.072,0.08571428571428572,0.08783783783783784,0.078125,0.06976744186046512,0.14685314685314685,0.05,0.09219858156028368,0.12213740458015267
Blocking probability per pair,0,all,3,2, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,3,12, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,2,27, ,0.09146341463414634,0.09859154929577464,0.06722689075630252,0.050724637681159424,0.05625,0.0821917808219178,0.041379310344827586,0.06870229007633588,0.08163265306122448,0.10365853658536585
Blocking probability per pair,0,all,16,21, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,24,10, ,0.021897810218978103,0.01694915254237288,0.0425531914893617,0.02962962962962963,0.06557377049180328,0.019230769230769232,0.02857142857142857,0.07042253521126761,0.014925373134328358,0.06748466257668712
Blocking probability per pair,0,all,25,24, ,0.04316546762589928,0.059602649006622516,0.05714285714285714,0.04929577464788732,0.0392156862745098,0.06521739130434782,0.046875,0.09352517985611511,0.08088235294117647,0.08333333333333333
Blocking probability per pair,0,all,19,24, ,0.0,0.0,0.0,0.006993006993006993,0.0,0.01935483870967742,0.015151515151515152,0.007751937984496124,0.0,0.007575757575757576
Blocking probability per pair,0,all,25,10, ,0.0,0.013605442176870748,0.006535947712418301,0.007874015748031496,0.0,0.015503875968992248,0.006944444444444444,0.0,0.006944444444444444,0.016129032258064516
Blocking probability per pair,0,all,17,28, ,0.13380281690140844,0.08461538461538462,0.12582781456953643,0.12408759124087591,0.04666666666666667,0.15492957746478872,0.09401709401709402,0.11258278145695365,0.13533834586466165,0.13580246913580246
Blocking probability per pair,0,all,3,28, ,0.05555555555555555,0.07627118644067797,0.0962962962962963,0.0859375,0.0979020979020979,0.12307692307692308,0.048,0.18791946308724833,0.07692307692307693,0.05128205128205128
Blocking probability per pair,0,all,21,26, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,21,23, ,0.09090909090909091,0.07352941176470588,0.06164383561643835,0.1032258064516129,0.11764705882352941,0.03787878787878788,0.048,0.08661417322834646,0.11510791366906475,0.0661764705882353
Blocking probability per pair,0,all,25,3, ,0.03278688524590164,0.01680672268907563,0.0,0.007246376811594203,0.007692307692307693,0.0,0.022222222222222223,0.0,0.02702702702702703,0.0072992700729927005
Blocking probability per pair,0,all,28,1, ,0.11971830985915492,0.08275862068965517,0.15441176470588236,0.10526315789473684,0.13986013986013987,0.12142857142857143,0.13768115942028986,0.1223021582733813,0.12096774193548387,0.17037037037037037
Blocking probability per pair,0,all,16,19, ,0.08870967741935484,0.014598540145985401,0.041666666666666664,0.014492753623188406,0.04225352112676056,0.034722222222222224,0.0472972972972973,0.1,0.03333333333333333,0.10067114093959731
Blocking probability per pair,0,all,27,3, ,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.012738853503184714,0.0,0.007692307692307693,0.0072992700729927005
Blocking probability per pair,0,all,14,25, ,0.006493506493506494,0.014184397163120567,0.0064516129032258064,0.007575757575757576,0.0,0.023622047244094488,0.0078125,0.0,0.007518796992481203,0.007633587786259542
Blocking probability per pair,0,all,3,10, ,0.014084507042253521,0.019867549668874173,0.014925373134328358,0.007751937984496124,0.014388489208633094,0.015748031496062992,0.00641025641025641,0.01282051282051282,0.012578616352201259,0.0
Blocking probability per pair,0,all,9,27, ,0.006944444444444444,0.007518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285
Blocking probability per pair,0,all,13,25, ,0.007633587786259542,0.0070921985815602835,0.007407407407407408,0.013333333333333334,0.0,0.0,0.02027027027027027,0.016,0.01282051282051282,0.013986013986013986
Blocking probability per pair,0,all,23,1, ,0.014925373134328358,0.03007518796992481,0.013157894736842105,0.0410958904109589,0.05042016806722689,0.07407407407407407,0.046153846153846156,0.04195804195804196,0.05343511450381679,0.016666666666666666
Blocking probability per pair,0,all,13,3, ,0.0,0.0,0.006711409395973154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,11,1, ,0.006711409395973154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007462686567164179,0.0
Blocking probability per pair,0,all,14,16, ,0.013333333333333334,0.0,0.0,0.0,0.0,0.013986013986013986,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,25,11, ,0.006666666666666667,0.0072992700729927005,0.0,0.006944444444444444,0.0,0.012195121951219513,0.0,0.014925373134328358,0.007518796992481203,0.0
Blocking probability per pair,0,all,16,1, ,0.038461538461538464,0.030303030303030304,0.05042016806722689,0.04580152671755725,0.04081632653061224,0.056,0.049586776859504134,0.020134228187919462,0.05426356589147287,0.04895104895104895
Blocking probability per pair,0,all,28,3, ,0.028368794326241134,0.04285714285714286,0.06521739130434782,0.043795620437956206,0.0273972602739726,0.006289308176100629,0.028169014084507043,0.09420289855072464,0.023622047244094488,0.0
Blocking probability per pair,0,all,14,24, ,0.05303030303030303,0.015037593984962405,0.028985507246376812,0.04242424242424243,0.04285714285714286,0.043859649122807015,0.02112676056338028,0.036231884057971016,0.03007518796992481,0.05
Blocking probability per pair,0,all,9,24, ,0.03731343283582089,0.013422818791946308,0.04794520547945205,0.025,0.021897810218978103,0.046357615894039736,0.05673758865248227,0.027586206896551724,0.03225806451612903,0.0064516129032258064
Blocking probability per pair,0,all,9,21, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,22,3, ,0.022058823529411766,0.03731343283582089,0.015625,0.006802721088435374,0.006329113924050633,0.014925373134328358,0.0,0.006666666666666667,0.006993006993006993,0.0
Blocking probability per pair,0,all,28,27, ,0.0,0.0,0.0,0.006896551724137931,0.0,0.0,0.0,0.00819672131147541,0.0,0.006711409395973154
Blocking probability per pair,0,all,2,25, ,0.08280254777070063,0.029850746268656716,0.04,0.05714285714285714,0.0410958904109589,0.09859154929577464,0.029850746268656716,0.08029197080291971,0.0546875,0.09655172413793103
Blocking probability per pair,0,all,17,21, ,0.05228758169934641,0.047244094488188976,0.017142857142857144,0.024,0.03676470588235294,0.0364963503649635,0.07258064516129033,0.03496503496503497,0.05517241379310345,0.03968253968253968
Blocking probability per pair,0,all,24,15, ,0.006060606060606061,0.0072992700729927005,0.006944444444444444,0.0072992700729927005,0.0,0.00684931506849315,0.0,0.0070921985815602835,0.0,0.006711409395973154
Blocking probability per pair,0,all,5,20, ,0.022900763358778626,0.016129032258064516,0.06779661016949153,0.020833333333333332,0.03773584905660377,0.0273972602739726,0.02027027027027027,0.0,0.030303030303030304,0.02564102564102564
