Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.0135259896965186E16,1.1431099162986122E16,1.1628572462436184E16,1.1289698017360338E16,1.018796744518644E16,1.313476268232393E16,1.0394277900528004E16,1.08295770472904E16,1.082706941790694E16,1.01541703431934E16
Total energy consumption (Joule),1,all,all,all, ,5.063660486742726E15,6.951006847805217E15,6.036280142022181E15,5.199582984240056E15,6.557282066787131E15,6.256729718924227E15,5.393984567098641E15,5.08965433148777E15,5.485544057272016E15,5.876757400199327E15
Total energy consumption (Joule),2,all,all,all, ,3.6530663446070565E15,3.6981286096039595E15,4.1083003637210665E15,3.8368675208196675E15,3.9100133948997115E15,3.831066169640987E15,3.856011903553984E15,4.25007924886671E15,3.801111949952849E15,4.3770216256905165E15
Total energy consumption (Joule),3,all,all,all, ,2.7467830526142785E15,2.9482178185966585E15,2.8270175030818085E15,2.8778404580333675E15,2.7963963897329375E15,2.4827276671357545E15,3.1325674942910215E15,2.7509364358862215E15,2.7878049108919245E15,2.9601913972478795E15


Average power consumption (Watt),0,all,all,all, ,3.0802699276931124E9,3.0802723022808857E9,3.080269742788993E9,3.0802721940453E9,3.080272187722515E9,3.0802710962418857E9,3.080269975861235E9,3.080271481162545E9,3.0802727280502214E9,3.0802707364452477E9
Average power consumption (Watt),1,all,all,all, ,3.080418599039551E9,3.0804200605081735E9,3.0804183785533886E9,3.0804172656620665E9,3.080423760237555E9,3.0804227375797787E9,3.0804240683585286E9,3.080420508289874E9,3.0804187781965384E9,3.0804196873605075E9
Average power consumption (Watt),2,all,all,all, ,3.080542714109678E9,3.0805421217145944E9,3.0805376871277447E9,3.0805406776197805E9,3.080540082125883E9,3.080544813874368E9,3.0805428049088693E9,3.0805395359755526E9,3.080542156876074E9,3.080542272471981E9
Average power consumption (Watt),3,all,all,all, ,3.08064751370815E9,3.0806373575769014E9,3.080637483537273E9,3.080640539414558E9,3.080639197976649E9,3.0806401687457285E9,3.08064202016997E9,3.080650837884097E9,3.0806407086930623E9,3.0806442036356034E9


Energy efficiency (bits/Joule),0,all,all,all, ,3059.301917916643,2747.6012532843333,2663.6392200768046,2761.8105188763507,3086.1552154113606,2383.221727250149,3002.446753907938,2874.3884313787617,2895.6473786823394,3082.3457959775533
Energy efficiency (bits/Joule),1,all,all,all, ,6022.847006422027,4422.256625796309,5042.293212569319,5844.984624648793,4700.258388238615,4943.321631212175,5724.953909867112,6044.687160253074,5541.887144523887,5199.71910853249
Energy efficiency (bits/Joule),2,all,all,all, ,7865.705658974553,7804.068143992458,6989.64594869049,7458.67616119473,7318.842241866419,7587.974908681479,7458.119040341923,6724.867706830067,7523.130224864208,6584.25256643751
Energy efficiency (bits/Joule),3,all,all,all, ,9837.236118015982,9028.960181852583,9404.032773295823,9289.730014919909,9575.841025304047,10806.144582079964,8584.089047668262,9978.094366256964,9644.970778601371,9143.577427009728


Total data transmitted (bits),0,all,all,all, ,3.100682004136923E19,3.140810238663816E19,3.0974321684450124E19,3.1180006739283263E19,3.1441648865403286E19,3.1303051806788837E19,3.120826594165732E19,3.1128410981456495E19,3.1351375178773955E19,3.1298664268982125E19
Total data transmitted (bits),1,all,all,all, ,3.049765240411593E19,3.0739136088662135E19,3.043669438928541E19,3.0391482597468615E19,3.0820920038462853E19,3.0929027360206205E19,3.0880313037174227E19,3.0765368187670565E19,3.040026609171519E19,3.055748775002616E19
Total data transmitted (bits),2,all,all,all, ,2.873394461938521E19,2.8860447674597384E19,2.871556499328662E19,2.861795231119998E19,2.861677120085553E19,2.9070033968734274E19,2.875859579768107E19,2.8581220692172325E19,2.8596260198782804E19,2.8819415872305267E19
Total data transmitted (bits),3,all,all,all, ,2.7020753453531374E19,2.661934129153751E19,2.658536524966225E19,2.673436088114343E19,2.677784727181679E19,2.682871412899906E19,2.6890238318825165E19,2.744910335284732E19,2.6888296901994013E19,2.7066739239504097E19


Total energy consumption by transponders (Joule),0,all,all,all, ,1.0108180352616058E12,1.03148827623285E12,1.0078569390734777E12,1.032774939163595E12,1.0315886877489272E12,1.031216350740502E12,1.0167971258773497E12,1.0233472107941692E12,1.0347941410748331E12,1.0254344184880729E12
Total energy consumption by transponders (Joule),1,all,all,all, ,1.345144876702907E12,1.3392531952865251E12,1.3408322976459033E12,1.328840247039503E12,1.375906925552938E12,1.3666257647038467E12,1.3544476863793828E12,1.3607536997093425E12,1.350847627655931E12,1.3500791105026592E12
Total energy consumption by transponders (Joule),2,all,all,all, ,1.4808287108562864E12,1.45501074523954E12,1.4798871310694163E12,1.4502212094070544E12,1.453634564987446E12,1.5017265880105867E12,1.4753333423670798E12,1.4540135916345876E12,1.4728430010055583E12,1.473983822797862E12
Total energy consumption by transponders (Joule),3,all,all,all, ,1.5443233299962126E12,1.5148956609952283E12,1.547051340946834E12,1.5696747123664966E12,1.525721409877261E12,1.526588655745955E12,1.546537037771353E12,1.597105537127158E12,1.54835939126112E12,1.5712765897914006E12


Total energy consumption by OXCs (Joule),0,all,all,all, ,1.0134008232634618E16,1.1429796032535604E16,1.1627288269693948E16,1.1288396960757538E16,1.018669375807162E16,1.3133419335242784E16,1.0393014101536136E16,1.0828296353233098E16,1.0825777336786666E16,1.0152903613409272E16
Total energy consumption by OXCs (Joule),1,all,all,all, ,5.062195033011734E15,6.94950243173691E15,6.034795885898672E15,5.19813060447441E15,6.555750354956974E15,6.255214430834861E15,5.392501960436091E15,5.088172651545959E15,5.484062874618351E15,5.875267688633012E15
Total energy consumption by OXCs (Joule),2,all,all,all, ,3.6514987338527895E15,3.69658574527092E15,4.106722875624245E15,3.8353261486981035E15,3.908466871149652E15,3.829473431237344E15,3.854444964918928E15,4.2485242642371535E15,3.799548806329145E15,4.3754436544453375E15
Total energy consumption by OXCs (Joule),3,all,all,all, ,2.745173487096871E15,2.946632892835078E15,2.825403302800126E15,2.876202427080981E15,2.794804246603889E15,2.4811421113002E15,3.130946546727891E15,2.7492739907085255E15,2.786190334500965E15,2.9585498073384005E15


Total energy consumption by Amplifiers (Joule),0,all,all,all, ,2.4084629530653403E11,2.716421742860424E11,2.763358031621481E11,2.682816636355911E11,2.4209842707182288E11,3.121307304067664E11,2.470018659904709E11,2.5734684650827777E11,2.5728697920158014E11,2.4129536564015848E11
Total energy consumption by Amplifiers (Joule),1,all,all,all, ,1.2030885428864963E11,1.6516287301973538E11,1.434238258628236E11,1.2353951860582776E11,1.558049046044041E11,1.486623246627142E11,1.2815897617112993E11,1.2092624210216118E11,1.3033502600940244E11,1.3963245581196512E11
Total energy consumption by Amplifiers (Joule),2,all,all,all, ,8.678204341031076E10,8.785358779997592E10,9.76009657520827E10,9.115091215650883E10,9.288918507223146E10,9.101181563265163E10,9.160529268904121E10,1.0097103792221971E11,9.030062269870789E10,1.039874223806186E11
Total energy consumption by Amplifiers (Joule),3,all,all,all, ,6.524218741127987E10,7.003010058569897E10,6.714894073550046E10,6.835624001994948E10,6.6421719170689865E10,5.89671798086086E10,7.441052535894331E10,6.533964056911111E10,6.6216999698348755E10,7.031331968753148E10


