Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,1.1039972668103146E16,1.3797936883428782E16,1.0990059805713766E16,1.1951799063627012E16,1.1557671655188728E16,1.2221281183844228E16,1.371671813433061E16,1.0241586372185398E16,1.0421851156235506E16,1.2252764078277128E16
Total consumed energy (Joule),1, ,5.363436615249331E15,5.416717729165402E15,5.637633313819105E15,5.71163643662034E15,5.902298305455037E15,5.659368185531967E15,5.799109134640214E15,5.518136914378786E15,6.431456393395028E15,4.684114839569678E15
Total consumed energy (Joule),2, ,4.197230348601069E15,4.171674722950555E15,3.916848840408099E15,3.9735078581141635E15,3.6723510079073315E15,3.244199483660751E15,3.7163987528782265E15,3.9185126033367495E15,4.3061698169138975E15,3.380871963238351E15
Total consumed energy (Joule),3, ,3.2133985935518485E15,2.6805705008525615E15,3.021225782648287E15,3.5196034769357065E15,2.981536668149262E15,3.140305923460589E15,3.224498472992893E15,2.761855434017547E15,2.339343609842407E15,2.6252113418609955E15


Average power consumption (Watt),0, ,3.0801641843788414E9,3.0801474513479953E9,3.080164014876932E9,3.0801586900175786E9,3.080160395912939E9,3.0801569156969366E9,3.080148911790568E9,3.080171249328117E9,3.080169394593041E9,3.080156914054708E9
Average power consumption (Watt),1, ,3.080247541304955E9,3.0802462253631997E9,3.0802377534465895E9,3.0802346539393744E9,3.0802298204293537E9,3.08023672667776E9,3.080233561864388E9,3.0802409681504307E9,3.080219237795586E9,3.0802703735441356E9
Average power consumption (Watt),2, ,3.0802899589967594E9,3.0802917059183273E9,3.080304552939436E9,3.0802989990908823E9,3.080318174851601E9,3.0803520962273216E9,3.0803156623643336E9,3.0803019795505023E9,3.080284568694863E9,3.080339537605323E9
Average power consumption (Watt),3, ,3.080346248855897E9,3.080396106110038E9,3.080362645796943E9,3.0803231777989097E9,3.0803648502110233E9,3.0803549341040254E9,3.0803443975361648E9,3.0803874453591533E9,3.080440294934592E9,3.0804053195376353E9


Energy efficiency (bits/Joule),0, ,3012.4932146209726,2370.8018133359487,2993.4118956422717,2751.536408328563,2862.481927383855,2693.254190639598,2414.2834592992876,3244.32762853479,3175.852247245815,2691.9520264763164
Energy efficiency (bits/Joule),1, ,6074.9667008962515,6030.362219485541,5750.2601406355625,5679.532653078622,5491.692920269767,5738.799804068721,5569.808977008622,5922.126024771699,5089.808644737689,7047.4061642788565
