Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.009563879497017817,0.010352163507199027,0.010333168711772974,0.01003874938266915,0.00969684306500019,0.010247692132355735,0.009715837860426244,0.010684572427154959,0.010409147893477187,0.010789043801998252
Blocking probability,1,all,all,all, ,0.012811989514872925,0.01296394787828135,0.012726512935455686,0.01240360141321278,0.012821486912585951,0.012185161265813167,0.014559510694069825,0.012745507730881738,0.012555559776621206,0.0126600311514645
Blocking probability,2,all,all,all, ,0.03195874330433461,0.028910078638453063,0.027466474186073016,0.029128518785852677,0.0305626258405197,0.027912851878585266,0.027352505413516696,0.026868138130152337,0.028986057820157278,0.02794134407172435
Blocking probability,3,all,all,all, ,0.05205523686509896,0.05656650077878661,0.05682293051703833,0.054334612316225356,0.052226190023933444,0.05541731565551039,0.0557782167686054,0.05873190745735669,0.052330661398776734,0.058162063594575084


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
