Metrics,LoadPoint,Node, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Tx Utilization,0,all, ,163.42321353949018,163.9095087945903,163.61779622383466,164.29435284731983,163.94606427838772,164.12564107434562,163.13462561258214,163.3130627208145,163.9011320898074,163.03071458420393
Tx Utilization,1,all, ,239.11431067887398,241.06789689625043,243.8207936025529,242.59355886487103,242.3601603160734,242.02240436120502,241.9447441401056,241.05275804429587,241.44537096835467,240.59248565892946
Tx Utilization,2,all, ,323.68624396915243,314.973093872279,319.8850340006838,317.485241043954,322.05852296470766,320.1415302207195,316.28336435816584,316.2252212893667,318.99105345135433,318.80609163089315
Tx Utilization,3,all, ,386.45066101888085,393.3568932112601,392.15007787866125,394.56910306576,384.5620085096684,394.7611119553242,390.7566101888083,393.58065190137904,391.1325266876876,390.9118451544277


Rx Utilization,0,all, ,163.42321353949018,163.9095087945903,163.61779622383466,164.29435284731983,163.94606427838772,164.12564107434562,163.13462561258214,163.3130627208145,163.9011320898074,163.03071458420393
Rx Utilization,1,all, ,239.11431067887398,241.06789689625043,243.8207936025529,242.59355886487103,242.3601603160734,242.02240436120502,241.9447441401056,241.05275804429587,241.44537096835467,240.59248565892946
Rx Utilization,2,all, ,323.68624396915243,314.973093872279,319.8850340006838,317.485241043954,322.05852296470766,320.1415302207195,316.28336435816584,316.2252212893667,318.99105345135433,318.80609163089315
Rx Utilization,3,all, ,386.45066101888085,393.3568932112601,392.15007787866125,394.56910306576,384.5620085096684,394.7611119553242,390.7566101888083,393.58065190137904,391.1325266876876,390.9118451544277


Regenerators Utilization,0,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,1,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,2,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,3,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Tx Utilization Per Node,0,22, ,5.64748508908559,5.868650989628842,5.4784409071914295,5.554809482201876,5.697431903658398,5.803612810090035,5.7989970748015045,5.521464118831441,5.549367473312312,5.523648520305437
Tx Utilization Per Node,0,23, ,5.357368081145766,5.382897086198382,5.911208828780914,5.7055806708961745,5.617606275880409,5.31203700186149,5.475316263343844,5.4011225924096795,5.727947042510352,5.465087566006914
Tx Utilization Per Node,0,24, ,5.300535653231015,4.930222619002393,5.151341032557079,4.917372639896668,5.262289632640656,5.067023135660829,4.969570337727463,5.220292139953653,5.189397105193177,5.130437260190708
Tx Utilization Per Node,0,25, ,5.772698780534133,5.785311324697033,5.813623067279566,5.70904722106143,6.052596588534741,5.915995517228279,6.048598184097557,5.894151502488318,5.832161987615393,5.811457660600995
Tx Utilization Per Node,0,26, ,5.572797553470349,5.638842457166736,5.526174828097101,5.666375413136801,5.631481973939141,5.489096987425445,5.72935265737188,5.575428332636857,5.676623105269156,5.738622117539794
Tx Utilization Per Node,0,27, ,5.718791551114995,5.491566310830832,5.57763172890628,5.336198381643429,5.469940736238271,5.52984082361433,5.719313907989211,5.627626030467652,5.613351441704973,5.591478934771873
Tx Utilization Per Node,0,28, ,5.503267104813281,5.09796565740987,5.47574364624093,5.212181362306728,5.18877977434183,5.250864263191885,5.298949587812939,5.272869733692968,5.248689359115603,5.26587964897618
Tx Utilization Per Node,0,10, ,6.083615089465487,6.411807164836834,6.5585704516962355,6.17949131937849,6.257958819283516,6.42992819967329,6.298531702313566,6.1354423887854725,6.358498271473616,6.188266914865327
Tx Utilization Per Node,0,11, ,7.1449872734870645,6.993408805987159,7.162016107586521,7.090557687193709,7.041826539528169,7.478326938418873,7.068875128214869,7.054553052463625,7.232885689321126,6.993475287771151
Tx Utilization Per Node,0,12, ,5.643125783535312,5.5871481214147325,5.604157960718763,5.655928275652471,5.55582570375717,5.352638377084679,5.414561410173612,5.348241081943548,5.3794305360331265,5.611632412718915
Tx Utilization Per Node,0,13, ,5.857709987463435,5.774560270485887,5.648596284618015,5.887037951601261,6.094850510959997,5.905747825095924,5.650049386468107,6.030201724727425,5.8749097747217265,5.851251757018577
Tx Utilization Per Node,0,14, ,5.749943015613722,6.177620332029024,5.925084526839646,5.974888880446757,6.05974812901265,5.951097899175626,6.008595144930289,6.091269992022186,6.106912206055541,5.964612696121263
Tx Utilization Per Node,0,15, ,6.2917030733579,6.523411085362611,6.7353550127265125,6.592314705770619,6.6954089579455225,6.247093796299814,6.387702769441173,6.808209550583141,6.268947308437488,6.638662006610189
Tx Utilization Per Node,0,16, ,5.4903506439235645,5.631225544200889,5.357292101964062,5.8828401018121035,5.59991262394104,5.414684876343882,5.284902936595373,5.4627322113740835,5.6869372791855035,5.6801466398206895
Tx Utilization Per Node,0,17, ,5.406735554458079,5.808200053185427,5.283497321733845,5.4089389507275,5.264284086160392,5.566633742354595,5.590424723625727,5.234376780762071,5.41596702503514,5.483503020172472
Tx Utilization Per Node,0,18, ,5.791693575960187,5.971621775633476,5.93953006876116,6.239334422368271,6.13201382821107,6.202693461991414,5.722913421722448,6.2533050944041335,6.006705162785397,5.929225392242525
Tx Utilization Per Node,0,19, ,5.347718725069331,5.68714622193519,5.286735934353987,5.6264958401398015,5.59206777343008,5.2658131671921895,5.687060745355772,5.14255593967253,5.440878699236409,5.324393116286138
Tx Utilization Per Node,0,1, ,5.88367587281085,6.248898301865289,5.997986551684838,6.199910724461498,5.707157238916537,5.995175321961782,5.702588990616571,5.748233484025377,6.080262508072788,5.928256657675797
Tx Utilization Per Node,0,2, ,5.650201344831516,5.668103939520571,5.6258405196976025,5.690764730463853,5.483541009763325,5.589674429206397,5.763980169433575,5.986741632792615,5.474955362230749,5.5774227861565935
Tx Utilization Per Node,0,3, ,6.329968088743684,6.204915853056263,6.216008813585078,6.300858564753257,6.366267142802872,6.229096227633629,6.274864187212704,6.34144094518102,6.121642669908445,6.327242335600046
Tx Utilization Per Node,0,4, ,6.044637769251225,5.801884283706264,6.034969418379364,6.17660411047373,6.091507426965012,6.109694943585458,6.1313110207803065,6.083605592067774,6.455305246362497,6.228450404589142
Tx Utilization Per Node,0,5, ,6.035757702389545,6.2762887968696575,5.996011092960529,6.101052311666604,6.115317403031569,5.981147665539642,6.185246742392584,6.007369980625309,5.968734566728716,5.92001291646089
Tx Utilization Per Node,0,6, ,5.9798465220529575,5.687887018956806,5.9593796299813855,5.727985032101205,5.661284807962618,6.140438019982525,5.7562397902974585,5.934164039053299,5.826558522964707,5.540658359609467
Tx Utilization Per Node,0,7, ,5.253628005926376,4.918730767769631,4.975962086388329,5.112990540591878,5.03106598791931,5.177259430915929,5.039908065190138,5.280486646658815,5.0788568932112605,5.092618622497436
Tx Utilization Per Node,0,8, ,5.753722979903507,5.546784181134369,5.831753599513733,5.539490179690764,5.889079892109562,5.622848839417999,5.601783611290506,5.454241537818637,5.886715040079018,5.821686357937925
Tx Utilization Per Node,0,9, ,7.170563765528246,6.85807088857653,7.023762489077993,7.4691334574326635,6.975905102002051,7.320860084336892,6.749202218592106,6.766259544884702,6.843368916916765,6.757958819283516
Tx Utilization Per Node,0,20, ,5.736865098962884,5.956501918474338,5.753741974698933,5.668407856247388,5.8025870911370285,5.748290468411655,6.038027580442959,5.773696007294001,5.818960604794286,5.900058883865821
Tx Utilization Per Node,0,21, ,5.903819853360179,5.979837024655245,5.767380237814839,5.667762033202902,5.608327318314782,6.028026820651141,5.737757854347909,5.862981043194165,5.73616229153212,5.744567488508149
Tx Utilization Per Node,1,22, ,8.170763210880219,8.44913193784903,8.218174220263649,7.845030961516544,8.126780762071192,8.132612164266991,8.244681457280706,8.157010978991757,8.579911104357405,8.164200509060517
Tx Utilization Per Node,1,23, ,8.504473274322836,7.588829160809938,8.090377236637162,8.133808836378833,8.200566044903697,8.021283668274892,7.955751624055009,7.916489381909357,7.840092314705771,8.417106712760704
Tx Utilization Per Node,1,24, ,7.278226266003115,7.41910116628044,7.111508946548645,7.3480701287847126,7.1125536602970785,7.17453367777229,7.3967632868594,7.612572655092505,7.189710519317707,7.420535273335106
Tx Utilization Per Node,1,25, ,8.758699616305133,9.204175056034646,8.839228051513885,8.69756486722638,9.025348554496068,8.934059567678457,9.117254872165027,8.795150628727729,9.219142954830376,9.397684534437564
Tx Utilization Per Node,1,26, ,8.186699844242678,7.796204839873875,8.390684952323063,8.1474186073016,7.976161531740303,8.446102267978574,8.156574098696957,7.756828628955666,8.225449226911826,8.296679709759525
Tx Utilization Per Node,1,27, ,7.756743152376249,8.109267560688371,8.212732211374083,8.026412263039926,8.009421418531323,8.499230710785245,7.950993427800783,8.196244728944269,7.812730311894541,8.067963378034419
Tx Utilization Per Node,1,28, ,7.384340690650761,7.4965429472324585,7.368385062492877,7.305056414542415,7.596816472286593,7.115678304144664,7.0387968696577135,6.784399574516582,6.679823728298446,7.476693386012233
Tx Utilization Per Node,1,10, ,8.841383960794742,8.972001671541998,9.398567792424876,9.01725677164457,9.557934126049462,9.368185617140904,9.34712038901341,9.22021616077195,8.865060973293318,8.935930555027923
Tx Utilization Per Node,1,11, ,10.762213653458952,10.418816244349049,10.842989021008243,10.701971659765224,11.245023363598374,10.83503969912244,10.28780914029556,11.006439235649433,10.765081867568286,10.407780268206512
Tx Utilization Per Node,1,12, ,7.678085704516962,8.238289708619838,7.363133001557573,7.655111499449151,8.063119705200775,7.993684230520837,7.683043346123163,7.706653876837747,7.801039015309805,7.836255366029708
Tx Utilization Per Node,1,13, ,8.6541997492687,8.952645975002849,8.413288758880066,8.576511035976143,8.62551760817536,8.222581012802491,9.073338905139991,8.929814230900734,8.478801808304524,8.448077726702884
Tx Utilization Per Node,1,14, ,8.687469133457432,8.782452607985412,8.609096607529537,9.051485393002318,8.723074877483569,8.854661322797554,8.385974243057403,8.920506781141967,9.461630513239372,8.540344945484938
Tx Utilization Per Node,1,15, ,9.981964441742962,10.22323633324469,10.09655054515063,9.968050754093378,9.816643239752308,10.055493294837214,9.514663982068914,10.39399954412491,9.664570907571326,9.584241917714547
Tx Utilization Per Node,1,16, ,7.742383087034153,7.356342362192759,8.63157694791627,8.166479884511643,8.469418379364054,7.978317441021161,8.166793298636174,8.350273525054135,8.039794096417582,7.926338183337766
Tx Utilization Per Node,1,17, ,7.9377160657979715,7.728061011282908,8.197118489533867,8.496039585153667,8.077574744520001,8.104499867036433,8.604670820195267,8.060526915625118,7.628214869125859,7.7829274778710635
Tx Utilization Per Node,1,18, ,9.024009421418532,9.297354024997151,9.304847471792728,8.976693386012233,9.4533392850359,9.248575390343046,8.675492914941307,8.754976636401626,9.127227139763704,9.258481176157733
Tx Utilization Per Node,1,19, ,7.363427420886677,7.501605060213501,8.184876343881776,7.9071059529688865,7.333833529612886,7.6284997910572505,7.915492155149489,8.188789271739543,7.767636667553091,7.3168901720928465
Tx Utilization Per Node,1,1, ,8.599152832123998,9.180953918626296,9.14459788018083,8.545378566272841,8.905899783459333,8.675416935759602,8.484148843216959,8.609334042472362,8.626609808912358,9.133371956084034
Tx Utilization Per Node,1,2, ,8.894778330737378,8.469769783079435,8.738688599323785,8.390532993959654,8.720700528055312,9.23820423204042,8.46014891919614,8.794039433195305,8.443414504425787,8.281635831782092
Tx Utilization Per Node,1,3, ,9.201648748242981,9.793536071116515,9.798864111233522,9.885252440831213,9.47574364624093,8.32763172890628,10.096503058162064,9.620037609694943,9.680896934240018,9.859144094518102
Tx Utilization Per Node,1,4, ,9.985478478896782,8.797743418303385,9.057649204118071,9.77237586901189,9.53790411427269,9.774370322531626,9.888794970178171,9.352438931732705,8.74338031379402,9.260209702541504
Tx Utilization Per Node,1,5, ,9.45741366865479,9.412927857766972,9.64679177905254,8.884036773923945,9.363883295976903,9.603578619458268,9.322636097709228,9.546309311248718,8.657599817649963,9.068637693272043
Tx Utilization Per Node,1,6, ,8.04085780496144,8.32031873266725,8.772822246704402,8.65287961098659,8.583472628499791,8.45701477795084,9.391159822208715,8.426813053223416,8.931029897808001,8.61042624320936
Tx Utilization Per Node,1,7, ,6.693348022641796,7.046138358089883,7.343587357064164,7.445484937127227,6.9405272955210275,7.271093720320632,6.664637389355317,7.248271473616229,8.031236941078145,7.279897808000608
Tx Utilization Per Node,1,8, ,7.688418873228735,7.827166356418341,7.923517456216996,8.228896782281655,8.314876723777685,8.694307259810811,7.791950005698439,8.109951373323709,8.2531341412453,8.107415568134332
Tx Utilization Per Node,1,9, ,10.680536033126923,11.278074307639706,10.928532082209475,10.900866162671427,10.035273335106181,10.804743000417886,10.551067507502944,10.511472856437337,10.538834859248565,11.08852524408312
Tx Utilization Per Node,1,20, ,8.587309577175853,8.689672529726854,8.848459522090947,9.291684078562474,8.342552140713444,8.320261748280972,8.910202104623334,8.11770124985754,8.913668654788587,8.229495118337576
Tx Utilization Per Node,1,21, ,8.572569615925236,8.717537894616875,8.344147703529233,8.576102647874482,8.726199521331155,8.242743988147248,8.868280591118033,7.965495954108574,9.479647076700983,8.395595106940698
Tx Utilization Per Node,2,22, ,11.00702807430764,10.864415150248831,11.55500892755385,11.13810166014512,11.449616305132393,11.560308475477719,11.711298104319416,11.113085514569008,11.172662690422824,10.88490103711583
Tx Utilization Per Node,2,23, ,10.703662196558144,11.575447327432284,10.594033734756676,9.830309995061354,11.281331915055274,11.23032139193861,10.946349200319112,10.597519279717357,11.566025908900961,10.763153895832541
Tx Utilization Per Node,2,24, ,9.976294495308286,8.399859438513847,9.123532652053337,9.274493788701896,9.62043650039889,9.393144778330738,9.017465714394255,8.696596132659652,9.142688903240511,9.464128328837898
Tx Utilization Per Node,2,25, ,12.658900961136649,13.018140029631882,11.667049728374426,12.157476351479694,13.327650723701705,12.851318238802568,12.020068001367624,11.898035938152946,12.559634160240094,13.346740493104889
Tx Utilization Per Node,2,26, ,11.116666033506819,10.529850321012043,11.889820689131177,10.43083994985374,11.359372032063215,10.344765034380579,10.488223226835848,11.785235345515328,10.623371196292215,11.20719522850739
Tx Utilization Per Node,2,27, ,10.646620825893706,10.668179918702275,11.413573680811458,11.010352163507198,10.661522242905443,10.530049766364016,10.494178095201915,10.674885081487673,10.031094480112449,11.087404551152984
