Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.026575877319040722,0.026781962167500378,0.030820637304321417,0.025830166023455038,0.027200134668206158,0.02622978553389435,0.028944912516608398,0.02642849797228467,0.024886034835853235,0.026792335959638446
Bandwidth blocking probability,1,all,all,all, ,0.043313774809970056,0.045242166047064145,0.04310622540441922,0.04209810713655358,0.04277598061707943,0.04511496732091517,0.04211774422229908,0.040579682643572666,0.04137772766995624,0.0440402742346604
Bandwidth blocking probability,2,all,all,all, ,0.09416839366748002,0.08773688460577633,0.09144046814482618,0.09439920877512109,0.08887333826504398,0.09004487253082664,0.0856327216709719,0.09350143550506897,0.09187369554353128,0.08952137616508209
Bandwidth blocking probability,3,all,all,all, ,0.1511817142277451,0.1606963620669101,0.16057148307953545,0.1483480399350714,0.16647315389464612,0.15339421312792842,0.16022995011775193,0.1494415844115935,0.1516310793626441,0.16050452384199793


General requested bandwidth,0,all,all,all, ,9.252407333852114E15,9.242596523521854E15,9.32824226585116E15,9.223733830830764E15,9.300417092894142E15,9.322583756028844E15,9.271551128009468E15,9.331544367569656E15,9.233268965740648E15,9.32960953309879E15
General requested bandwidth,1,all,all,all, ,9.23054128713065E15,9.349298128597982E15,9.24518696456127E15,9.22121913778113E15,9.33840920661151E15,9.31583842875737E15,9.27240547423121E15,9.276366610318698E15,9.353190008329934E15,9.320003719615224E15
General requested bandwidth,2,all,all,all, ,9.253918007983058E15,9.193895371985856E15,9.226062107121158E15,9.285067501428546E15,9.270021112705876E15,9.286973877699776E15,9.366139822618788E15,9.28626200387951E15,9.339210271069604E15,9.323224909917362E15
General requested bandwidth,3,all,all,all, ,9.233927939729648E15,9.295039730337402E15,9.30535699769096E15,9.270540730206872E15,9.277360813699646E15,9.188065730061338E15,9.379640618779534E15,9.226330937648938E15,9.357313934365762E15,9.274919531181802E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


