Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.1562513426382684E16,1.1222040429141234E16,1.3623774252362264E16,1.15800471351942E16,1.1187926319078298E16,1.5241823638034054E16,1.2548110407429092E16,1.142895079916157E16,9.933864299328492E15,1.1152420347175858E16
Total energy consumption (Joule),1,all,all,all, ,7.37514002292708E15,5.426255230018379E15,6.14716241835217E15,5.793394298052479E15,5.187540543626084E15,5.516906639250258E15,6.445135333974754E15,5.265077848510398E15,4.947001100394272E15,5.376517784480849E15
Total energy consumption (Joule),2,all,all,all, ,4.16292722482288E15,3.7857507020345235E15,3.8846599697113685E15,4.658028200848676E15,3.7243349542508685E15,3.8266467451384495E15,4.07939933519106E15,3.8883935653208935E15,3.526646801672883E15,3.604588429140143E15
Total energy consumption (Joule),3,all,all,all, ,3.9249403544567145E15,2.8443059722338475E15,2.9141047152578E15,2.66252243955551E15,2.702117711045317E15,2.73254286745836E15,2.649355535341405E15,2.706859231155141E15,2.7838413036512995E15,3.7998140484364825E15


Average power consumption (Watt),0,all,all,all, ,3.080262306726341E9,3.0802623440081153E9,3.0802633074187856E9,3.0802629173024635E9,3.0802629709554253E9,3.0802608582414837E9,3.0802625097941685E9,3.080264561076859E9,3.0802606923852835E9,3.0802633067208295E9
Average power consumption (Watt),1,all,all,all, ,3.0804110256018085E9,3.0804120049032326E9,3.0804107300127034E9,3.0804150644490113E9,3.0804086947084374E9,3.0804134169916825E9,3.080409033419763E9,3.0804114465021257E9,3.0804102033972526E9,3.080411713391987E9
Average power consumption (Watt),2,all,all,all, ,3.0805370570446997E9,3.0805365778661733E9,3.080528067400888E9,3.0805345981671977E9,3.0805408798966227E9,3.080531616164439E9,3.080537669830656E9,3.080530302685277E9,3.080537463358202E9,3.080534780991349E9
Average power consumption (Watt),3,all,all,all, ,3.080634616040367E9,3.08063359524929E9,3.0806345209085913E9,3.0806337336021266E9,3.080621920978859E9,3.0806270572782793E9,3.080627926926392E9,3.080632784921643E9,3.0806338003851104E9,3.0806274772277884E9


Energy efficiency (bits/Joule),0,all,all,all, ,2738.0636576246716,2821.943456490024,2338.026204349461,2757.252883631116,2861.9445175172027,2076.0238330779725,2546.8071982725523,2790.7485191464734,3190.114530832738,2866.9988051297096
Energy efficiency (bits/Joule),1,all,all,all, ,4189.887215092618,5696.013200446905,5019.346796406881,5394.025389680535,5925.284688832942,5653.180990786989,4782.345083640535,5879.596266386513,6258.482658232069,5805.7291666959045
Energy efficiency (bits/Joule),2,all,all,all, ,7041.979054947052,7732.110241508896,7373.56750419778,6209.10700408282,7842.72155858367,7503.2101522990115,7217.196809993894,7406.445648978312,8248.695289996087,8011.9929271967485
Energy efficiency (bits/Joule),3,all,all,all, ,6904.931985436083,9585.43255090861,9274.720350096357,10207.764842793225,9839.851971243352,9766.700626757478,10145.357481878758,9935.51103006766,9799.393999880565,7105.426764707958


Total data transmitted (bits),0,all,all,all, ,3.1658897803575747E19,3.1667963557481603E19,3.1852741204164456E19,3.1929118356098454E19,3.2019224391272554E19,3.1642389132129907E19,3.1957617910359142E19,3.1895327518158057E19,3.16901648486084E19,3.1973975809657446E19
Total data transmitted (bits),1,all,all,all, ,3.090100489158005E19,3.0908021419178746E19,3.085473999154874E19,3.1249715936125514E19,3.0737654555847754E19,3.118807174095609E19,3.0822861277832065E19,3.095653206033607E19,3.0960720597072515E19,3.121460611661971E19
Total data transmitted (bits),2,all,all,all, ,2.931524632447158E19,2.9271841775000633E19,2.864380251752168E19,2.892219552710481E19,2.9208922037090013E19,2.8712134707384783E19,2.944182786863213E19,2.87991756033862E19,2.9090234862438875E19,2.8879936999726064E19
Total data transmitted (bits),3,all,all,all, ,2.7101446194417005E19,2.7263903050994086E19,2.702750630491327E19,2.7178402951642788E19,2.6588438285560836E19,2.668792813624724E19,2.6878659002632827E19,2.6894029747982373E19,2.7279957767620235E19,2.6999300440673882E19


