Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,1.402141074437573,1.411338112376882,1.4075266358511165,1.395282966578029,1.4017947778950297,1.4059059915852827,1.3997715646498803,1.3972737689336086,1.3853901321897197,1.4026627959920828
Rate of requests by circuit,1, ,1.9335522964685774,1.9575247301580103,1.9510885273447867,1.9365405631736903,1.961684015692663,1.9539964830574532,1.927484299355947,1.9442096607809203,1.9392591837559137,1.9394016911267997
Rate of requests by circuit,2, ,2.25862424994376,2.241774317727077,2.234831459776586,2.283165583791179,2.251481178790644,2.222759401781693,2.2634918784908935,2.2426723554169974,2.2491073009284936,2.229214338662993
Rate of requests by circuit,3, ,2.546157360064478,2.4713874763652726,2.4779109354950464,2.485953911599019,2.4919846494851314,2.5086584046128557,2.5121608228939225,2.4615789954106653,2.465870877232047,2.5034008816388096


Maximum requests by circuit,0, ,16,16,16,15,14,16,17,15,15,18
Maximum requests by circuit,1, ,21,22,22,22,20,20,22,20,23,26
Maximum requests by circuit,2, ,25,24,25,24,27,24,24,23,23,24
Maximum requests by circuit,3, ,26,28,29,29,25,28,26,26,30,27


Virtual hops,0, ,1.8324930578805365,1.830950485904352,1.8344990874562226,1.834060447298189,1.8345091238718323,1.833162853826937,1.8320171724531795,1.832294957726794,1.8349809585824504,1.8348744005593138
Virtual hops,1, ,1.8455795482750061,1.840450437101793,1.838277578377521,1.8454305869298142,1.8376043055349824,1.839019549469088,1.8452685675734666,1.8399770462932732,1.8423160601265822,1.8403003407560028
Virtual hops,2, ,1.8342808240112476,1.8360185232303698,1.83993685068242,1.8351537505349174,1.8378119588468982,1.8366350289643336,1.8366171288493949,1.835106274788976,1.8385301579507325,1.8352866645549573
Virtual hops,3, ,1.820970816526419,1.8329239889900486,1.8272921782940017,1.826752153792879,1.8256411870881082,1.823798387012197,1.822465296822919,1.8331830190881406,1.8279536892012023,1.8265805689204018


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3


