Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,6.329471552317249E11,6.070209861075164E11,6.081846684388983E11,5.731901540060352E11,5.981627862082351E11,5.819253914558042E11,6.128360984779004E11,5.959086399522019E11,6.022590448895317E11,5.931618957603246E11
Total consumed energy (Joule),1, ,4.7856315274647144E11,4.8443651560055286E11,4.872985757220586E11,4.8499036751971344E11,4.7480835191275287E11,4.9788474271915607E11,4.9269193460647845E11,5.084408746503948E11,4.9171836542591266E11,4.9145537221727014E11
Total consumed energy (Joule),2, ,4.4467146431568207E11,4.2394106964293964E11,4.26098630247524E11,4.1619567592255347E11,4.2569604230069525E11,4.315837216975831E11,4.2534499385707587E11,4.3559553632482465E11,4.245785460785743E11,4.2899758726448663E11
Total consumed energy (Joule),3, ,3.7884426174037823E11,3.7922590533643054E11,3.841161438553926E11,3.901953047105801E11,3.9240286069065546E11,3.7699587234410596E11,3.7840483264515814E11,3.858323363592706E11,3.80689206581634E11,3.8374066246945374E11


Average power consumption (Watt),0, ,302391.9414147159,315365.27927580004,312649.9058770855,331899.8722766874,326718.54026241996,321011.1347574624,308875.39129308984,318763.898400461,317068.63129360945,322428.55678057054
Average power consumption (Watt),1, ,391529.9326106789,385758.5958072892,391286.92446488066,386744.83430315787,397761.0632072303,372760.11539834586,375898.61639482994,366563.39533179475,380169.2697477865,381913.66973221453
Average power consumption (Watt),2, ,420278.70736085245,454476.77574186045,434698.05472219107,444715.93718410307,445597.43437462556,449918.20672703424,437788.7838588357,435201.32468604855,460765.69401245855,440060.53946370905
Average power consumption (Watt),3, ,529276.7778804915,527847.8536750986,500554.52856697334,492858.07843312615,486809.2478248391,535662.241493761,510177.24397417705,531171.5194145833,535711.1346382987,516399.9317375913


Energy efficiency (bits/Joule),0, ,4.765022015746328E7,5.047775078751184E7,5.043529281734182E7,5.291333977255885E7,5.190233639024695E7,5.160283179391384E7,4.891939562251904E7,5.0963871925055794E7,5.079925677693989E7,5.183328845906742E7
Energy efficiency (bits/Joule),1, ,6.343205699444726E7,6.312407095868462E7,6.3381167966895804E7,6.2605656740740806E7,6.4173022472951606E7,6.07315071135389E7,6.1949122281489044E7,5.9762082321020044E7,6.2275378323194936E7,6.1577463964802384E7
Energy efficiency (bits/Joule),2, ,6.774848702596907E7,7.157683171046913E7,6.974967821147639E7,7.058602059839596E7,7.055790878263271E7,7.070101877090786E7,7.043455308439447E7,6.9881334008157E7,7.165450342121206E7,6.956249156979367E7
Energy efficiency (bits/Joule),3, ,7.805369944367425E7,7.822407334649791E7,7.646890121366256E7,7.521655337261067E7,7.526996240870465E7,7.861654192530286E7,7.697740727838199E7,7.80450851711669E7,7.855837163411435E7,7.807969721420893E7


Total data transmitted (bits),0, ,3.0160071294831776E19,3.06410540595249E19,3.0673971839733785E19,3.0329405373206675E19,3.1046046145907188E19,3.002899809190133E19,2.9979571553201447E19,3.0369811605558206E19,3.0594311867577893E19,3.0745531645872185E19
Total data transmitted (bits),1, ,3.0356245180456546E19,3.057960498574723E19,3.088555287786889E19,3.036314047150491E19,3.0469887037642203E19,3.0237290794170913E19,3.0521832904040137E19,3.0385485406228324E19,3.0621947235361726E19,3.0262575473017496E19
Total data transmitted (bits),2, ,3.012581893100966E19,3.034435859698896E19,2.9720242346115654E19,2.937759655363269E19,3.003622252178021E19,3.0513408808959103E19,2.995898454900765E19,3.0439997166377353E19,3.0422964882560442E19,2.9842141047547675E19
Total data transmitted (bits),3, ,2.9570196141844144E19,2.9664595033929015E19,2.9372939459051016E19,2.934914596250543E19,2.9536148573253804E19,2.963811180380653E19,2.9128622918634316E19,3.0112317552949592E19,2.9906324167736136E19,2.9962354734394896E19


Total energy consumption by transponders (Joule),0, ,2.912637984046835E11,2.928135819197826E11,2.906407849777771E11,2.912751291579908E11,2.9929975522687787E11,2.8600574688328906E11,2.889534987773556E11,2.907419417347277E11,2.921912652840311E11,2.9285429016007715E11
Total energy consumption by transponders (Joule),1, ,2.790365200483444E11,2.7943935502882007E11,2.840037183494166E11,2.802821967265131E11,2.799483655146847E11,2.798498670870772E11,2.787325639215736E11,2.8201922580352106E11,2.8058055824497473E11,2.8139435236166296E11
Total energy consumption by transponders (Joule),2, ,2.7195709986283334E11,2.7166895387739026E11,2.660879293805463E11,2.6342448771692493E11,2.697467109435802E11,2.7499586711301904E11,2.6674495804707013E11,2.722076711776771E11,2.7415892334513565E11,2.698613778911264E11
Total energy consumption by transponders (Joule),3, ,2.6200078802110532E11,2.6194810197677045E11,2.588488338133383E11,2.609583411135665E11,2.608198160682379E11,2.6210853955425415E11,2.5732768620128003E11,2.6725807496682343E11,2.646869395681975E11,2.6243579410757025E11


Total energy consumption by OXCs (Joule),0, ,2.4665502798639313E11,2.2682063531905923E11,2.2922917928852908E11,2.035093514340458E11,2.1574381016198697E11,2.1361903281318384E11,2.3380498375835373E11,2.2029431339099982E11,2.2383231529473953E11,2.1678662242056122E11
Total energy consumption by OXCs (Joule),1, ,1.4403466305530124E11,1.479837380652603E11,1.467548762116688E11,1.4777512157725217E11,1.4066589559634357E11,1.5739542847637485E11,1.544533952555029E11,1.634496881898726E11,1.524165596557325E11,1.5163924638437103E11
