Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,2.365495518465543,2.3738967293980187,2.3757241602959707,2.4349813682905497,2.4371262184459135,2.286786058593727,2.3979680323582486,2.347807856748318,2.435542338105783,2.366999749167725
Rate of requests by circuit,1, ,2.727189038972782,2.6377453689063524,2.619557845061221,2.744056014788036,2.801376451566089,2.7694207273152567,2.7318394484717374,2.6772283401359496,2.761731391256486,2.7789462292282736
Rate of requests by circuit,2, ,2.9618038649786653,2.88248179761927,2.64606457668062,2.7784572456873007,2.844975338058563,2.7725882399946613,3.0370884981352457,2.8645106468441632,3.0277946960278457,2.830313232677271
Rate of requests by circuit,3, ,3.026839339909498,2.9525054310150516,3.0321786559277046,3.03689484070395,3.1526842550261,3.0405494761244998,2.998311409513872,2.912102611904013,2.8671119750749114,3.168413265909316


Maximum requests by circuit,0, ,24,24,25,25,26,26,26,22,26,26
Maximum requests by circuit,1, ,33,31,27,28,33,29,27,31,31,30
Maximum requests by circuit,2, ,35,30,29,29,29,31,31,33,31,31
Maximum requests by circuit,3, ,44,37,32,35,36,35,36,29,38,34


Virtual hops,0, ,1.757935954406871,1.7524138824396902,1.7561261368600818,1.7540775048949937,1.7497741105914828,1.7698583558005714,1.7543067352554134,1.7578878307719836,1.7491278116271904,1.7551385076116797
Virtual hops,1, ,1.7344448881789138,1.7332192814732816,1.7542312178949306,1.7284954832520585,1.7244679788190629,1.7378684117080099,1.7313140249112824,1.7418331747542024,1.7385557159209675,1.7383359678686112
Virtual hops,2, ,1.7143303499435576,1.7117754590642074,1.7417222883735157,1.7336765811680175,1.7252898108602805,1.7317451547092826,1.7089653070554174,1.7172532767138948,1.7166843442934618,1.726298596589786
Virtual hops,3, ,1.7135086702155695,1.714645709648486,1.7112888436067244,1.699031542274113,1.6914732001753687,1.7013710105839566,1.7183671297035499,1.7045384737594662,1.7380300508147888,1.699989929506546


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3


