Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.9040623405772168E12,1.9126497664325613E12,1.9031320708874365E12,1.8848598192166875E12,1.8636320770222803E12,1.896406653202377E12,1.8898240916032788E12,1.884051348134524E12,1.8730560135106973E12,1.9050918576809932E12
Total energy consumption (Joule),1,all,all,all, ,1.9527095039911226E12,1.898187554710827E12,1.8232816474009648E12,1.9197486933978198E12,1.6650470327936157E12,1.9194774702556343E12,1.9713008801342104E12,1.9080140406254026E12,1.7464322477657524E12,1.9493167311025293E12
Total energy consumption (Joule),2,all,all,all, ,1.9262741398049565E12,1.8791372006860906E12,1.7671374362777644E12,1.8791500905758198E12,1.4643945005488313E12,2.0182943281064167E12,1.9052108429910308E12,1.7734020890729597E12,1.8974917771155508E12,1.8651350641788496E12
Total energy consumption (Joule),3,all,all,all, ,2.0298248571678198E12,1.8064770913388232E12,1.7883835553613552E12,1.8862088906925151E12,2.0117249342368672E12,1.6482627405156082E12,1.6823406991925635E12,1.715193677025564E12,1.911863977811635E12,1.8248016472443394E12


Average power consumption (Watt),0,all,all,all, ,379558.30740209256,379638.9928132074,378677.72423623316,377174.29976378806,374178.76326639386,374041.6584544807,379758.8960039227,375304.75078214146,374692.41135292355,377178.03487551084
Average power consumption (Watt),1,all,all,all, ,459376.91781873186,456042.5052964791,457387.86977477913,452044.17108981987,430114.02387103974,456217.6632298485,457504.3690082336,460084.3114446086,443105.3933100233,459977.7136173908
Average power consumption (Watt),2,all,all,all, ,531679.3891062083,533530.8533638116,517123.9577498469,529705.1352190493,463881.9630130965,536675.7214519234,531224.5784441722,519527.1405998766,530222.129275897,527817.9605963804
Average power consumption (Watt),3,all,all,all, ,604838.3406939504,573764.2703248316,596496.3891541619,592793.5144811115,609312.5566468663,537963.1181116578,549627.6043410023,578687.4935819301,591862.7457702268,597273.7718746528


Energy efficiency (bits/Joule),0,all,all,all, ,1.6234967388418872E7,1.6244746506810492E7,1.6207604602772623E7,1.6274342783130646E7,1.6284688697262196E7,1.5969495322301198E7,1.6531333293117583E7,1.6125724191157598E7,1.6332285299011925E7,1.6307796287200065E7
Energy efficiency (bits/Joule),1,all,all,all, ,1.5639873324481511E7,1.5857692864916295E7,1.6297718013994886E7,1.5557755508303018E7,1.6189018478352446E7,1.574412233511504E7,1.561526075357138E7,1.5975050992428727E7,1.6380177292737393E7,1.5701816214977413E7
Energy efficiency (bits/Joule),2,all,all,all, ,1.576139614833325E7,1.5873333994398989E7,1.6177222200347144E7,1.5785661538392553E7,1.5992138826890634E7,1.5234153983734133E7,1.577023306786673E7,1.5676227983733177E7,1.5531287299143996E7,1.5782673013152335E7
Energy efficiency (bits/Joule),3,all,all,all, ,1.4654200892167877E7,1.5109230134664806E7,1.6182884698152909E7,1.5130824463666655E7,1.4932750315772168E7,1.4755741777408917E7,1.5558942622574124E7,1.5992758586562892E7,1.4932234761107683E7,1.5850692390947089E7


Total data transmitted (bits),0,all,all,all, ,3.091239000478762E19,3.107051061200725E19,3.084521211179941E19,3.0674854796082033E19,3.034866822054E19,3.0284657177496228E19,3.1241311923656974E19,3.0381692401995977E19,3.0591285193686643E19,3.1067849923465175E19
Total data transmitted (bits),1,all,all,all, ,3.054012928193228E19,3.010087524261079E19,2.9715330149432975E19,2.9866980809267454E19,2.6955477181221757E19,3.0220488111201845E19,3.0782377267040457E19,3.0480621593260786E19,2.86068698481569E19,3.060781305655246E19
Total data transmitted (bits),2,all,all,all, ,3.0360769807755784E19,2.9828172407790277E19,2.8587374965217186E19,2.96636273096696E19,2.3418800150112084E19,3.0747006578870374E19,3.0045619037395403E19,2.7800255455136408E19,2.9470489938144924E19,2.9436816843299676E19
Total data transmitted (bits),3,all,all,all, ,2.97454612328532E19,2.7294478106038174E19,2.8941204872485573E19,2.853989562687585E19,3.0040586146972324E19,2.4321339380372673E19,2.617544241035833E19,2.743067840586897E19,2.8548401747988505E19,2.8924369584963564E19


Total energy consumption by transponders (Joule),0,all,all,all, ,1.5998151598066626E12,1.6190121822351648E12,1.5964360920040383E12,1.5962511947321328E12,1.5301501512272185E12,1.5695706870373496E12,1.5913412079084148E12,1.5730034430595645E12,1.5742165292267065E12,1.597672757126894E12
Total energy consumption by transponders (Joule),1,all,all,all, ,1.7386161671971685E12,1.6871876558071265E12,1.6055915583853394E12,1.7032913793586375E12,1.4664573745834417E12,1.7170727397303774E12,1.7693465490962004E12,1.6957174127881729E12,1.5392787469000742E12,1.7428033336209512E12
Total energy consumption by transponders (Joule),2,all,all,all, ,1.7653998894234802E12,1.7134779442526506E12,1.621594766505876E12,1.7225249587997993E12,1.3040984442772104E12,1.8661633566134358E12,1.749478193948019E12,1.6028154709383594E12,1.7376263166723804E12,1.7068776876526714E12
Total energy consumption by transponders (Joule),3,all,all,all, ,1.8990165123766912E12,1.671306972689462E12,1.6666462587364053E12,1.759846600318422E12,1.8853608360215137E12,1.520456642586065E12,1.5468527737349565E12,1.59541390662067E12,1.7894648090807876E12,1.6943231299899067E12


Total energy consumption by OXCs (Joule),0,all,all,all, ,2.196305303969745E11,2.1197165475264157E11,2.2139827341104904E11,2.083413398018864E11,2.4073456343843463E11,2.3593696552858878E11,2.1546938871969363E11,2.2453985012272247E11,2.1572681222755136E11,2.2192028185061908E11
Total energy consumption by OXCs (Joule),1,all,all,all, ,1.5455010296373163E11,1.523170061676799E11,1.5714653326146353E11,1.5625661532943677E11,1.43358278139469E11,1.4611230975922723E11,1.4578717452535593E11,1.5325309130322937E11,1.4954036107578726E11,1.4907828203399384E11
Total energy consumption by OXCs (Joule),2,all,all,all, ,1.161322081901077E11,1.1958641741066264E11,1.0506461777701137E11,1.1306484641317238E11,1.1571482033231937E11,1.0982059348647934E11,1.1242057928956439E11,1.2314339059655298E11,1.1540398100112236E11,1.1424313434112251E11
Total energy consumption by OXCs (Joule),3,all,all,all, ,9.442817538707799E10,9.757686095099689E10,8.787994997723656E10,9.121864921393735E10,9.121995426180624E10,9.226090774330664E10,9.78062799309262E10,8.646684724646352E10,8.835774346510089E10,9.419007886095528E10


Total energy consumption by Amplifiers (Joule),0,all,all,all, ,8.461665037357979E10,8.166592944475499E10,8.529770547234917E10,8.02672846826684E10,9.274736235662706E10,9.089900063643864E10,8.301349497517049E10,8.650805495223694E10,8.31126720564395E10,8.54988187034802E10
Total energy consumption by Amplifiers (Joule),1,all,all,all, ,5.954323383022247E10,5.86828927360206E10,6.054355575416196E10,6.020069870974567E10,5.5231380070705124E10,5.6292420766029495E10,5.61671565126541E10,5.904353653400045E10,5.7613139789890884E10,5.743511544758418E10
Total energy consumption by Amplifiers (Joule),2,all,all,all, ,4.474204219136871E10,4.607283902277736E10,4.047805199487708E10,4.356028536284815E10,4.458123593930159E10,4.231037800650171E10,4.331206975344724E10,4.74432275380474E10,4.446147944204816E10,4.401424218505569E10
Total energy consumption by Amplifiers (Joule),3,all,all,all, ,3.638016940405075E10,3.759325769836438E10,3.385734664771334E10,3.514364116015576E10,3.514414395354721E10,3.554519018623661E10,3.7681645526680664E10,3.3312923158430447E10,3.404142526574661E10,3.628843839347734E10


