Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.00924947004831436,0.006572768144314081,0.010318091382707546,0.010716415865798414,0.042595153769515844,0.013555517247198291,0.047107546505215266,0.017560873327213494,0.02205444706748179,0.011813727781668878
Bandwidth blocking probability,1,all,all,all, ,0.05032098468517374,0.032498540169701495,0.028056419623954675,0.03683548243283765,0.01928065703166802,0.03884803202111371,0.016496556569274654,0.02340672166924267,0.014067754348920927,0.04123045545722239
Bandwidth blocking probability,2,all,all,all, ,0.043905314499722146,0.12252289383051392,0.20978053147824036,0.12237417738251063,0.08243626564989093,0.09198218600809299,0.07599670351664892,0.14060730457195597,0.09456780821011634,0.0747598067061745
Bandwidth blocking probability,3,all,all,all, ,0.12215135195739889,0.07923039368664014,0.06095592897098229,0.09645343099360246,0.13956424553571042,0.15224211798192658,0.05296221042693936,0.08810171370468554,0.1152026447548931,0.07908258859315716


General requested bandwidth,0,all,all,all, ,8.727846282030932E15,8.76111650904707E15,8.708227810660983E15,8.70005454513249E15,8.698247938246233E15,8.684734534448224E15,8.698779084382788E15,8.72586536230962E15,8.733329802273507E15,8.638509626577115E15
General requested bandwidth,1,all,all,all, ,8.671034669750277E15,8.672225523384992E15,8.728251927921634E15,8.70042422606191E15,8.73296841959583E15,8.637493437973568E15,8.688279951920937E15,8.790655953678315E15,8.640885432258162E15,8.642303358661071E15
General requested bandwidth,2,all,all,all, ,8.717452819743073E15,8.72832847780658E15,8.70583308352508E15,8.691321587972345E15,8.729087545473169E15,8.573867770704566E15,8.733584884198585E15,8.683902817056292E15,8.644155859300959E15,8.721934410828674E15
General requested bandwidth,3,all,all,all, ,8.737589173311612E15,8.677066369817504E15,8.739251695115106E15,8.71094983440976E15,8.678088805623631E15,8.733426393782754E15,8.734502706053307E15,8.671856142549591E15,8.752684353361068E15,8.769605495882068E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,7.51319093493152E-7,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,6.160584436115322E-4,3.7472716854187646E-4,5.107228745109925E-4,4.341081385409248E-4,0.0,6.000982439587342E-5,1.1711947541495266E-4,8.653919138612138E-4,5.368517023428642E-4


Blocking probability by QoTO,0,all,all,all, ,0.00924947004831436,0.006572768144314081,0.010318091382707546,0.010716415865798414,0.042595153769515844,0.013555517247198291,0.047107546505215266,0.017560873327213494,0.02205444706748179,0.011813727781668878
Blocking probability by QoTO,1,all,all,all, ,0.05032098468517374,0.032498540169701495,0.028056419623954675,0.03683548243283765,0.01928065703166802,0.03884803202111371,0.016496556569274654,0.02340672166924267,0.014067754348920927,0.04123045545722239
Blocking probability by QoTO,2,all,all,all, ,0.043905314499722146,0.12252289383051392,0.20978053147824036,0.12237417738251063,0.08243626564989093,0.09198218600809299,0.07586681232859063,0.14060730457195597,0.09456780821011634,0.0747598067061745
Blocking probability by QoTO,3,all,all,all, ,0.12215135195739889,0.07859877097820803,0.060530381231735673,0.09593249185938259,0.13913013739716948,0.15224211798192658,0.05290220060254349,0.08796558829234881,0.1142669456789213,0.07854337826579433


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,1.2913986896478797E-4,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,1.5564264820565503E-5,5.0820570704745016E-5,1.0216259708877884E-5,0.0,0.0,0.0,1.9005936921789956E-5,7.030716211061117E-5,2.358625019923042E-6


Bandwidth blocking probabilities per pair,0,all,2,10, ,0.07645998588417041,5.783363495198465E-4,0.031578943635280216,0.006332618721915351,0.2207825367519681,0.0,0.23584694269803674,0.0,0.04093878807085061,0.036422216743116645
Bandwidth blocking probabilities per pair,0,all,9,7, ,0.005738218739515573,0.012357036784739657,0.0,0.004872569756664035,0.023088975145236716,0.0321445626257557,0.0,0.0,0.0,0.011725388049483077
Bandwidth blocking probabilities per pair,0,all,7,13, ,0.01638957703431006,0.002732030413661209,0.0,0.015704765997954662,0.0036858910242340824,0.007489552561691691,0.005869428230535524,0.0866268252076731,0.06455135599716247,0.016698554743040078
Bandwidth blocking probabilities per pair,0,all,2,11, ,0.0,0.007810490953439716,0.0,0.003906746640225906,0.011884244342656405,0.0,0.22157281844692023,0.01631619147020623,0.1574187712246897,0.0
Bandwidth blocking probabilities per pair,0,all,5,10, ,0.018399775692079543,0.0,0.04239629259306418,0.0,0.16754537285630267,0.003811482921884185,0.008298795141726266,0.001546249289888217,0.0,0.0011106745750423792
Bandwidth blocking probabilities per pair,0,all,4,2, ,0.0,0.0,0.0,0.014045061132697097,0.004330771032715126,0.008185141223522477,0.01466795372090686,0.0,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,8,13, ,0.013128492069989462,0.07420482185445236,0.010580966217503667,0.003491661559339895,0.0,0.08173770709921022,0.01881313074610538,0.07137339760754531,0.08759008780065416,0.0660940839430551
Bandwidth blocking probabilities per pair,0,all,3,7, ,7.821394211882083E-4,0.0,0.00787828315151109,0.0,0.029496174169101837,0.0,0.08135654800472276,0.0,0.07431100098245218,0.02020861354348884
Bandwidth blocking probabilities per pair,0,all,5,4, ,0.0,0.0018189402951175751,0.0,0.010919491059919552,0.113127541051849,0.0,0.0185256674095723,0.4167969484153291,0.035861607889964175,0.0
