Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.005104962774255979,0.003367103106424156,0.005776408555009183,0.0027154057309872227,0.014929794419100658,0.004650749451981752,0.0040582972924936315,0.001974840531627071,0.011434326678120742,0.01701325117996722
Blocking probability,1,all,all,all, ,0.01639117641250469,0.0047889882891956476,0.007494519817524735,0.003604083970219405,0.007178545332464404,0.037640460532811976,0.026117266030768017,0.01583822106364911,0.0030511286213638247,0.013290676777850188
Blocking probability,2,all,all,all, ,0.015620988605170133,0.01981752473487766,0.009538479767758753,0.016509666844402315,0.029513991745166578,0.004433516993502775,0.036475304619152,0.025416197642040405,0.03905247151292533,0.03069889606414282
Blocking probability,3,all,all,all, ,0.033987005549301896,0.021604755416000158,0.04196536129707526,0.03582360724371507,0.027173805715188497,0.05415012737721429,0.031587574303375006,0.013162312143294429,0.04515472875565298,0.03689002113079369


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,9.874202658135355E-6,1.974840531627071E-5,0.0,0.0,9.874202658135355E-6,0.0,0.0,0.0,9.874202658135355E-6,5.9245215948812136E-5
Blocking probability by QoTN,3,all,all,all, ,3.949681063254142E-5,8.88678239232182E-5,3.1597448506033137E-4,1.9748405316270711E-4,1.6786144518830104E-4,7.899362126508284E-5,4.937101329067678E-5,0.0,9.874202658135355E-6,1.777356478464364E-4


Blocking probability by QoTO,0,all,all,all, ,0.005104962774255979,0.003367103106424156,0.005776408555009183,0.0027154057309872227,0.014929794419100658,0.004650749451981752,0.0040582972924936315,0.001974840531627071,0.011434326678120742,0.01701325117996722
Blocking probability by QoTO,1,all,all,all, ,0.01639117641250469,0.0047889882891956476,0.007494519817524735,0.003604083970219405,0.007178545332464404,0.037640460532811976,0.026117266030768017,0.01583822106364911,0.0030511286213638247,0.013290676777850188
Blocking probability by QoTO,2,all,all,all, ,0.015611114402511997,0.019797776329561388,0.009538479767758753,0.016509666844402315,0.02950411754250844,0.004433516993502775,0.036475304619152,0.025416197642040405,0.0390425973102672,0.03063965084819401
Blocking probability by QoTO,3,all,all,all, ,0.03394750873866935,0.02151588759207694,0.04159014159606612,0.035557003771945414,0.027005944270000196,0.054071133755949206,0.03151845488476805,0.013162312143294429,0.04514485455299484,0.036702411280289116


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,5.9245215948812136E-5,6.911941860694749E-5,0.0,0.0,1.974840531627071E-5,0.0,0.0,9.874202658135355E-6


Blocking probability per pair,0,all,2,10, ,0.013059701492537313,0.001834862385321101,0.01651376146788991,0.030245746691871456,0.0017793594306049821,0.011647254575707155,0.013108614232209739,0.0034423407917383822,0.061511423550087874,0.0016666666666666668
Blocking probability per pair,0,all,9,7, ,0.0,0.0,0.0017574692442882249,0.0,0.001890359168241966,0.0,0.0,0.0,0.0051635111876075735,0.0
Blocking probability per pair,0,all,7,13, ,0.004991680532445923,0.0074487895716946,0.0035087719298245615,0.008503401360544218,0.0038535645472061657,0.005555555555555556,0.0035460992907801418,0.0,0.0035650623885918,0.0
Blocking probability per pair,0,all,2,11, ,0.0016501650165016502,0.0,0.0,0.0,0.0016666666666666668,0.0035398230088495575,0.0,0.0,0.005607476635514018,0.0
Blocking probability per pair,0,all,5,10, ,0.009900990099009901,0.0018281535648994515,0.01841620626151013,0.003401360544217687,0.0017825311942959,0.008944543828264758,0.0018050541516245488,0.0,0.08687943262411348,0.0
Blocking probability per pair,0,all,4,2, ,0.0,0.0,0.0,0.0,0.22592592592592592,0.0,0.001763668430335097,0.0019157088122605363,0.008992805755395683,0.15135135135135136
Blocking probability per pair,0,all,8,13, ,0.003527336860670194,0.01011804384485666,0.003629764065335753,0.024955436720142603,0.014059753954305799,0.005067567567567568,0.001692047377326565,0.0018832391713747645,0.012131715771230503,0.003395585738539898
Blocking probability per pair,0,all,3,7, ,0.012259194395796848,0.0,0.005385996409335727,0.005847953216374269,0.0,0.007575757575757576,0.003436426116838488,0.0,0.00539568345323741,0.0017482517482517483
Blocking probability per pair,0,all,5,4, ,0.007155635062611807,0.0019267822736030828,0.0,0.0,0.0018050541516245488,0.0,0.0,0.0,0.0,0.009124087591240875
Blocking probability per pair,0,all,5,14, ,0.0018148820326678765,0.0,0.0,0.0,0.0,0.0,0.001694915254237288,0.0,0.019400352733686066,0.0
Blocking probability per pair,0,all,5,1, ,0.00375234521575985,0.0036231884057971015,0.03125,0.02181818181818182,0.029411764705882353,0.015209125475285171,0.005338078291814947,0.006968641114982578,0.10619469026548672,0.10434782608695652
Blocking probability per pair,0,all,5,9, ,0.005555555555555556,0.0017035775127768314,0.0017667844522968198,0.003703703703703704,0.005226480836236934,0.0018018018018018018,0.0017985611510791368,0.0038022813688212928,0.046822742474916385,0.0
Blocking probability per pair,0,all,11,8, ,0.0018115942028985507,0.007259528130671506,0.0,0.0,0.04690431519699812,0.017013232514177693,0.0034071550255536627,0.0019157088122605363,0.02617801047120419,0.005474452554744526
Blocking probability per pair,0,all,3,10, ,0.047619047619047616,0.0,0.046511627906976744,0.022429906542056073,0.0,0.038181818181818185,0.012612612612612612,0.009157509157509158,0.05813953488372093,0.0037174721189591076
Blocking probability per pair,0,all,7,3, ,0.04222648752399232,0.001763668430335097,0.015202702702702704,0.005235602094240838,0.08921933085501858,0.0,0.005128205128205128,0.0,0.0,0.07095709570957096
Blocking probability per pair,0,all,12,1, ,0.004934210526315789,0.007054673721340388,0.04786324786324787,0.0074211502782931356,0.06296296296296296,0.014814814814814815,0.001838235294117647,0.003656307129798903,0.02564102564102564,0.030141843971631204
Blocking probability per pair,0,all,7,10, ,0.005454545454545455,0.0,0.005226480836236934,0.0,0.0,0.0018181818181818182,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,8,12, ,0.009689922480620155,0.0149812734082397,0.006944444444444444,0.021660649819494584,0.012367491166077738,0.017605633802816902,0.005042016806722689,0.001851851851851852,0.015706806282722512,0.0017761989342806395
Blocking probability per pair,0,all,12,14, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,9,8, ,0.0,0.0,0.008787346221441126,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0137221269296741,0.0019646365422396855
Blocking probability per pair,0,all,3,12, ,0.0017123287671232876,0.0,0.0,0.0,0.0,0.005780346820809248,0.0,0.0017123287671232876,0.0,0.0
Blocking probability per pair,0,all,3,11, ,0.001838235294117647,0.0018552875695732839,0.0,0.0,0.0,0.001869158878504673,0.0,0.007352941176470588,0.0036036036036036037,0.0
Blocking probability per pair,0,all,5,12, ,0.0,0.003418803418803419,0.0,0.0,0.0,0.0018315018315018315,0.0,0.0033444816053511705,0.017452006980802792,0.0
Blocking probability per pair,0,all,11,4, ,0.0,0.0,0.0,0.0,0.0,0.003787878787878788,0.0,0.0,0.0018181818181818182,0.0
Blocking probability per pair,0,all,10,6, ,0.023346303501945526,0.04267161410018553,0.0,0.0,0.0,0.0,0.044326241134751775,0.0,0.003669724770642202,0.0034602076124567475
Blocking probability per pair,0,all,11,7, ,0.0037243947858473,0.010291595197255575,0.0067226890756302525,0.0,0.00718132854578097,0.0035026269702276708,0.0036036036036036037,0.0035778175313059034,0.024574669187145556,0.0017452006980802793
Blocking probability per pair,0,all,13,8, ,0.005208333333333333,0.010309278350515464,0.008865248226950355,0.005385996409335727,0.020905923344947737,0.012433392539964476,0.0055762081784386614,0.013986013986013986,0.023381294964028777,0.0017543859649122807
Blocking probability per pair,0,all,6,2, ,0.0016556291390728477,0.0,0.0,0.0,0.02877697841726619,0.0,0.005145797598627788,0.0,0.006791171477079796,0.06306306306306306
Blocking probability per pair,0,all,6,7, ,0.0038022813688212928,0.0017421602787456446,0.010362694300518135,0.0017421602787456446,0.0,0.0,0.005376344086021506,0.0017667844522968198,0.028680688336520075,0.0
Blocking probability per pair,0,all,2,1, ,0.0,0.0,0.008976660682226212,0.001644736842105263,0.0,0.02972027972027972,0.008635578583765112,0.009633911368015413,0.015202702702702704,0.0035842293906810036
Blocking probability per pair,0,all,4,7, ,0.009900990099009901,0.0017211703958691911,0.005291005291005291,0.0,0.0018214936247723133,0.0018181818181818182,0.0,0.0,0.06998158379373849,0.0
Blocking probability per pair,0,all,13,14, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,0,all,12,3, ,0.022336769759450172,0.0,0.0054446460980036296,0.0,0.03430531732418525,0.0,0.017578125,0.0,0.0,0.03880070546737213
Blocking probability per pair,0,all,2,12, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005825242718446602,0.0
Blocking probability per pair,0,all,4,13, ,0.0,0.0,0.0,0.0,0.0,0.0,0.00186219739292365,0.0019646365422396855,0.005681818181818182,0.0
Blocking probability per pair,0,all,12,10, ,0.0035149384885764497,0.0,0.05385996409335727,0.0019569471624266144,0.0019267822736030828,0.0074211502782931356,0.00186219739292365,0.0035026269702276708,0.0018315018315018315,0.0
Blocking probability per pair,0,all,10,11, ,0.001869158878504673,0.0036968576709796672,0.0016750418760469012,0.0,0.0016611295681063123,0.0,0.0018083182640144665,0.0,0.0,0.0
Blocking probability per pair,0,all,12,2, ,0.0,0.0016611295681063123,0.0,0.0,0.14965986394557823,0.0,0.0017391304347826088,0.0,0.0,0.22521008403361345
Blocking probability per pair,0,all,2,5, ,0.0,0.0,0.0033277870216306157,0.0,0.00322061191626409,0.0017825311942959,0.0,0.0038461538461538464,0.03773584905660377,0.0
Blocking probability per pair,0,all,6,4, ,0.0,0.0,0.0017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0017793594306049821
Blocking probability per pair,0,all,12,9, ,0.0,0.0,0.001893939393939394,0.0,0.0036036036036036037,0.0,0.0,0.0,0.001736111111111111,0.0
Blocking probability per pair,0,all,4,1, ,0.0019230769230769232,0.0035971223021582736,0.02356902356902357,0.009868421052631578,0.14528301886792452,0.012152777777777778,0.005484460694698354,0.022847100175746926,0.03564727954971857,0.11743772241992882
Blocking probability per pair,0,all,2,8, ,0.003527336860670194,0.0017574692442882249,0.0019267822736030828,0.003937007874015748,0.005802707930367505,0.005628517823639775,0.007042253521126761,0.0017985611510791368,0.0313588850174216,0.0
Blocking probability per pair,0,all,5,3, ,0.0053285968028419185,0.0,0.009025270758122744,0.0,0.03273322422258593,0.0,0.003629764065335753,0.0,0.007168458781362007,0.04044117647058824
