Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.5519259335563792E12,1.4884322619929043E12,1.571383199584595E12,1.5780784699851824E12,1.5659345738696519E12,1.5530778106946628E12,1.5796055192614233E12,1.5610469433384956E12,1.6196617926084312E12,1.6072921475022683E12
Total energy consumption (Joule),1,all,all,all, ,1.562551499492926E12,1.5297638817521333E12,1.6409339629434565E12,1.610554774490003E12,1.6036072601143684E12,1.549527021443969E12,1.608595489858643E12,1.607545239721109E12,1.5700666699175764E12,1.5659798958076204E12
Total energy consumption (Joule),2,all,all,all, ,1.5678964620894473E12,1.5228071591212998E12,1.5000726849916304E12,1.491823853800413E12,1.5096877706702957E12,1.4966298263845315E12,1.562405210802304E12,1.454713076561117E12,1.5188352857283542E12,1.4661004677209395E12
Total energy consumption (Joule),3,all,all,all, ,1.50225993189258E12,1.5067016897558394E12,1.49609095237287E12,1.4802603345230923E12,1.3996349988651562E12,1.444653687966447E12,1.4692591571181694E12,1.4364045945424043E12,1.5178882766935627E12,1.3720173409855269E12


Average power consumption (Watt),0,all,all,all, ,363605.37814479694,355157.7950883897,359819.6566921428,359930.9798573299,362024.2269631887,363799.5885014185,359835.89006483497,363823.066728105,364210.84667979256,362375.35696696956
Average power consumption (Watt),1,all,all,all, ,441032.291797882,444929.2377649228,448765.402747847,449002.9624108211,448781.60134040803,444505.1013437655,449495.3563003877,448203.57788089983,445186.46276028536,445562.3763870612
Average power consumption (Watt),2,all,all,all, ,518773.452769326,524205.23756431503,518218.8057980462,512556.7535015099,512810.62615841854,512612.2441600205,527344.1586078184,512656.924210683,514339.18044758524,506509.48756360094
Average power consumption (Watt),3,all,all,all, ,583770.6760660843,577313.6194074166,582606.8221998119,590858.5099098498,559856.9855937643,581710.8878784606,575169.9366743019,576862.2692994807,596708.871025203,563083.1766568896


Energy efficiency (bits/Joule),0,all,all,all, ,1.9657619515978836E7,1.951731317780931E7,1.8999126147397038E7,1.8993737905758202E7,1.924669375430531E7,1.9547221292032916E7,1.9113183051735442E7,1.9524947211390577E7,1.8950161467066422E7,1.8898361349789154E7
Energy efficiency (bits/Joule),1,all,all,all, ,1.9020391355040655E7,1.9517140377985537E7,1.8539399779844377E7,1.871322037343189E7,1.8849103990240786E7,1.9285568202064496E7,1.8965719652413256E7,1.899405430964113E7,1.9111404244294915E7,1.9231967471664466E7
Energy efficiency (bits/Joule),2,all,all,all, ,1.8639412664984696E7,1.8941657940606873E7,1.9228307693880804E7,1.9013280517416123E7,1.8884130602408085E7,1.914002354357461E7,1.902782665584599E7,1.938189254366759E7,1.886148445901847E7,1.9093359194923587E7
Energy efficiency (bits/Joule),3,all,all,all, ,1.8726313058936466E7,1.828489188505066E7,1.8519057932942893E7,1.9064677287212998E7,1.865868836347221E7,1.9186350620116808E7,1.8566032894372266E7,1.9035451615445416E7,1.8995761609265454E7,1.9344275753281016E7


Total data transmitted (bits),0,all,all,all, ,3.050716951883155E19,2.905019860127063E19,2.9854907634808095E19,2.9973608853618463E19,3.0139063182547775E19,3.035835564939458E19,3.0191289439175197E19,3.0479359163186745E19,3.0692852491968016E19,3.0375187798176473E19
Total data transmitted (bits),1,all,all,all, ,2.972034103276106E19,2.9856616425328456E19,3.0421930751333077E19,3.013866641851433E19,3.0226560005400834E19,2.988350905299952E19,3.0508171094795395E19,3.0533801588467814E19,3.0006178819288756E19,3.0116874417452663E19
Total data transmitted (bits),2,all,all,all, ,2.922466917285474E19,2.8844492317582963E19,2.8843859150205E19,2.8364465414880035E19,2.850914103019617E19,2.864553011301591E19,2.9729175517336752E19,2.819509253177565E19,2.8647488137574232E19,2.799278284604137E19
Total data transmitted (bits),3,all,all,all, ,2.8131789780517028E19,2.7549877500208665E19,2.770619501994489E19,2.8220685578744713E19,2.611535326643373E19,2.7717632181969072E19,2.7278313841413603E19,2.734261015961543E19,2.883344385356968E19,2.654068178230742E19


Total energy consumption by transponders (Joule),0,all,all,all, ,1.2590846926565254E12,1.1897265380055396E12,1.248137171993478E12,1.256056429557829E12,1.268605900278607E12,1.261360348889953E12,1.2610664500651284E12,1.2545792884259873E12,1.3033376655840027E12,1.2603964904800981E12
Total energy consumption by transponders (Joule),1,all,all,all, ,1.362253777876061E12,1.3306056201698772E12,1.3815622545343557E12,1.3989366954457625E12,1.3901631581857532E12,1.3518026934308796E12,1.4158726335343613E12,1.399058808959506E12,1.3749524258968706E12,1.3661814755682778E12
Total energy consumption by transponders (Joule),2,all,all,all, ,1.4209834318114297E12,1.3744549916404116E12,1.3441839273820369E12,1.3434871581040125E12,1.3483383437063848E12,1.3382514396035017E12,1.4111095470041775E12,1.2983169149422217E12,1.3697821598647056E12,1.3099259486190579E12
