Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.021259158322965422,0.014682939352647273,0.007948733139798962,0.006092383040069514,0.020123625017279854,0.007484645614866599,0.010713509884076862,0.010604893654837372,0.00988407686079349,0.008718920947133519
Blocking probability,1,all,all,all, ,0.03476706755929459,0.03084700910401485,0.0387068744198906,0.042271461579477455,0.01443608428619389,0.03492505480182475,0.033364930781839365,0.013804135316073227,0.009597724983707565,0.028664810316566938
Blocking probability,2,all,all,all, ,0.05185931236052689,0.04265655548314474,0.0315579516954006,0.053291071745956514,0.050249817327250826,0.029267136678713192,0.02514959417027075,0.04413768588186504,0.10963327211327685,0.03514228726030373
Blocking probability,3,all,all,all, ,0.028408081047455416,0.03269348500108616,0.015206272093528447,0.04274542330706795,0.054179749985188694,0.07091652349072812,0.06821099196239903,0.0542093725931631,0.13416079151608507,0.09210656239508659


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.874202658135355E-6


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,9.874202658135355E-6,4.937101329067678E-5,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,3.949681063254142E-5,5.9245215948812136E-5,8.88678239232182E-5,1.1849043189762427E-4,1.974840531627071E-5,0.0,1.974840531627071E-5,6.911941860694749E-5,0.0,0.0


Blocking probability by QoTO,0,all,all,all, ,0.021259158322965422,0.014682939352647273,0.007948733139798962,0.006092383040069514,0.020123625017279854,0.007484645614866599,0.010713509884076862,0.010604893654837372,0.00988407686079349,0.008718920947133519
Blocking probability by QoTO,1,all,all,all, ,0.03476706755929459,0.03084700910401485,0.0387068744198906,0.042271461579477455,0.01443608428619389,0.03492505480182475,0.033364930781839365,0.013804135316073227,0.009597724983707565,0.028664810316566938
Blocking probability by QoTO,2,all,all,all, ,0.05185931236052689,0.04265655548314474,0.0315579516954006,0.053291071745956514,0.050249817327250826,0.029267136678713192,0.025139719967612616,0.04408831486857436,0.10963327211327685,0.03514228726030373
Blocking probability by QoTO,3,all,all,all, ,0.028368584236822876,0.03263423978513735,0.01511740426960523,0.0426170586725122,0.05416000157987243,0.07091652349072812,0.06819124355708277,0.054140253174556154,0.13416079151608507,0.09209668819242846


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,9.874202658135355E-6,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability per pair,0,all,2,10, ,0.016822429906542057,0.028862478777589132,0.022838499184339316,0.028933092224231464,0.1375,0.018803418803418803,0.06583629893238434,0.023636363636363636,0.048736462093862815,0.038128249566724434
Blocking probability per pair,0,all,9,7, ,0.0,0.0,0.00186219739292365,0.0,0.0018450184501845018,0.0036036036036036037,0.003389830508474576,0.0,0.00390625,0.011428571428571429
Blocking probability per pair,0,all,7,13, ,0.0036231884057971015,0.03220035778175313,0.005681818181818182,0.0035842293906810036,0.011278195488721804,0.005190311418685121,0.003436426116838488,0.011342155009451797,0.0,0.0051635111876075735
