Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,6.337236547474106E11,6.585726132681575E11,6.698501679111075E11,6.499180677267344E11,6.452463714683304E11,6.504221311497937E11,6.151665141071346E11,6.368873343817109E11,6.485838622544318E11,6.515532352081702E11
Total consumed energy (Joule),1, ,5.280662958923829E11,5.100038640198452E11,5.0649771995268774E11,5.324806697471353E11,5.218601463134135E11,5.058812708003423E11,5.1759874002185315E11,4.9746607388891705E11,5.044025899031108E11,4.909560717732794E11
Total consumed energy (Joule),2, ,4.55333825093703E11,4.450565394732878E11,4.422089805512247E11,4.379246227706852E11,4.3568561725716583E11,4.3995937067344446E11,4.287741924619383E11,4.367061187623764E11,4.357264999659521E11,4.5092551661720746E11
Total consumed energy (Joule),3, ,3.807861747821062E11,3.994101843384344E11,4.0559978978164966E11,3.8237575791219324E11,3.857996727513199E11,3.848295073937863E11,3.889741085357639E11,3.64209145091174E11,4.139859441957912E11,3.954728305928208E11


Average power consumption (Watt),0, ,354790.8783869917,341889.2645927975,321609.4406700004,343124.59122802946,340572.34878922603,341820.674536209,345517.46231597866,347828.93781054486,326714.1710174463,339167.3474134929
Average power consumption (Watt),1, ,403783.1329873364,413738.411537033,395616.31100318313,403508.1086032616,421086.6004969966,415834.7935828531,399786.18038347363,383524.93060892296,391870.73972134705,409342.9447160955
Average power consumption (Watt),2, ,460138.1858880774,473251.2696611909,473026.1845982937,499519.9005265336,460975.2700079012,482908.23508874996,464733.32810338755,473541.2869042079,468959.67364744924,453264.30277133774
Average power consumption (Watt),3, ,517810.5669037418,484655.2475763982,520163.8766914273,474410.3522134075,536059.745316838,515493.36208421463,491701.9707208874,478615.1336826999,450109.89720517106,536549.5792363946


Energy efficiency (bits/Joule),0, ,4.7512898302944645E7,4.691700899542077E7,4.29642529828099E7,4.708345447992326E7,4.592214986741467E7,4.704181071655983E7,4.638271355288983E7,4.720615955310819E7,4.4241920489903815E7,4.5855905389655724E7
Energy efficiency (bits/Joule),1, ,5.766117557351465E7,5.769706206728174E7,5.530698651520514E7,5.714957270371983E7,5.7761466763030104E7,5.8396131442566045E7,5.6654206404093824E7,5.411927294028434E7,5.4143128711882435E7,5.615983874073612E7
Energy efficiency (bits/Joule),2, ,6.410600502001439E7,6.461745632990483E7,6.574428993108224E7,6.744476534177898E7,6.418687945294087E7,6.64902496366716E7,6.4769174527302474E7,6.535433267950578E7,6.402340390603587E7,6.4118716944512345E7
Energy efficiency (bits/Joule),3, ,7.001135685928446E7,6.905490311285202E7,7.203495645142452E7,6.650719145626355E7,7.118583644000216E7,6.965870819790512E7,6.786430281327626E7,6.661309718543632E7,6.525887205599297E7,7.251371336554378E7


Total data transmitted (bits),0, ,3.0110047560184123E19,3.0898257220839907E19,2.8779612074710516E19,3.060038775749138E19,2.963110057197419E19,3.0597034779410047E19,2.8533092211160986E19,3.0065005124176814E19,2.86945956648953E19,2.9877563510029955E19
Total data transmitted (bits),1, ,3.0448923401906225E19,2.9425724596906525E19,2.801286256740545E19,3.0431042749039337E19,3.0143407496232264E19,2.9541509183989137E19,2.9324145851696968E19,2.692250223132596E19,2.7309934347730977E19,2.757201381957264E19
Total data transmitted (bits),2, ,2.918963247723928E19,2.875842150375374E19,2.9072715427488023E19,2.953572342015594E19,2.7965300194265838E19,2.9253008386070258E19,2.7771350504370463E19,2.854063696877211E19,2.7896693699883475E19,2.891276556303672E19
Total data transmitted (bits),3, ,2.66593567697519E19,2.7581231581776953E19,2.9217363193628074E19,2.5430737739700118E19,2.7463472403081814E19,2.6806726361487335E19,2.639745668819527E19,2.4261099177783054E19,2.7016255765252583E19,2.8677203481468064E19


Total energy consumption by transponders (Joule),0, ,3.4214612076096967E11,3.4412754428381537E11,3.298528681365437E11,3.4072243416398035E11,3.3597282635244476E11,3.39806312393494E11,3.245306050282053E11,3.3798900487844434E11,3.245243660143389E11,3.3796305346902686E11
