Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.045168219910934664,0.04160205751576743,0.03256242932952899,0.013766503935936397,0.0669481999832685,0.05258055891461394,0.038509165865633285,0.014216547471104797,0.05142232026044393,0.032624088172077646
Bandwidth blocking probability,1,all,all,all, ,0.05719907372143704,0.06166681370614533,0.09689720730777315,0.17139001189194555,0.026838785006558393,0.03736811702597604,0.045252054894619684,0.07086831570304995,0.046272312906539464,0.09196433919049236
Bandwidth blocking probability,2,all,all,all, ,0.09262396547906326,0.1155618279187413,0.09696551207550053,0.05726815088176925,0.08753816551324099,0.13626407369137453,0.08288566590935595,0.11804973064814775,0.07067459832502154,0.1465565206816718
Bandwidth blocking probability,3,all,all,all, ,0.05187247238840413,0.0829684566228032,0.07755076712134977,0.06801652890975932,0.0873859038833641,0.13897143939103243,0.13535583145123628,0.1497887815039427,0.08439926625490426,0.11112318682659258


General requested bandwidth,0,all,all,all, ,8.734495582339105E15,8.713651748604141E15,8.674510373849065E15,8.67510752023799E15,8.70149337656437E15,8.702390865037116E15,8.611141063073898E15,8.724861756397333E15,8.622193879223703E15,8.634115914499653E15
General requested bandwidth,1,all,all,all, ,8.665031423054606E15,8.769042176498116E15,8.738115844682601E15,8.670961564831839E15,8.697996192551097E15,8.742706994526713E15,8.697979669205307E15,8.690198153199365E15,8.67860286348263E15,8.662293388039917E15
General requested bandwidth,2,all,all,all, ,8.750198528046425E15,8.72520764643629E15,8.713708187955887E15,8.679465873649269E15,8.684028732200849E15,8.636830603950596E15,8.737793788423769E15,8.745912311941747E15,8.734745222577384E15,8.744237594467221E15
General requested bandwidth,3,all,all,all, ,8.751913600452484E15,8.629167247450398E15,8.691224908036473E15,8.718974951951311E15,8.760563558349855E15,8.730774515645873E15,8.716089612896147E15,8.691482053480572E15,8.632436305198394E15,8.716380893161118E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,1.2834919047493281E-5,0.0,0.0,0.0,0.0,0.0,1.3154735183500376E-5,0.0,3.3590312092476166E-5,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,1.6994222674719502E-4,6.215149282900431E-4,2.2312247557910368E-4,1.3900707682034448E-4,3.3248579299041453E-4,2.190506166993649E-4,1.463386553679758E-4,3.7164079280397275E-5,0.0


Blocking probability by QoTO,0,all,all,all, ,0.045168219910934664,0.04160205751576743,0.03256242932952899,0.013766503935936397,0.0669481999832685,0.05258055891461394,0.038509165865633285,0.014216547471104797,0.05142232026044393,0.032624088172077646
Blocking probability by QoTO,1,all,all,all, ,0.05719907372143704,0.06166681370614533,0.09689720730777315,0.17139001189194555,0.026838785006558393,0.03736811702597604,0.045252054894619684,0.07086831570304995,0.046272312906539464,0.09196433919049236
Blocking probability by QoTO,2,all,all,all, ,0.09261113056001577,0.1155618279187413,0.09696551207550053,0.05726815088176925,0.08753816551324099,0.13626407369137453,0.08287251117417245,0.11804973064814775,0.07064100801292907,0.1465565206816718
Blocking probability by QoTO,3,all,all,all, ,0.05187247238840413,0.08269864863402097,0.07692925219305971,0.06779340643418022,0.08724689680654377,0.13839122204813342,0.13513678083453687,0.14964244284857478,0.08436210217562386,0.11112318682659258


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,9.986576203505768E-5,0.0,0.0,0.0,2.4773154990853603E-4,0.0,0.0,0.0,0.0


Bandwidth blocking probabilities per pair,0,all,2,10, ,0.13351384642292108,0.07504788922610373,0.19174942463923103,0.052946117237161146,0.030945664538346494,0.14937104693517816,0.023113656413840073,0.010005010613152761,0.12944091455661402,0.04874546427639046
Bandwidth blocking probabilities per pair,0,all,9,7, ,0.002606742180677139,0.0,0.0,0.02315273629514193,0.001020652409962397,0.0027630047047093285,0.005567021646012277,0.005084640393794131,0.0,0.0
Bandwidth blocking probabilities per pair,0,all,7,13, ,0.03917354651867836,0.042512621816707404,0.06174856560379488,0.008658075890231317,0.09795896401764313,0.011950620349324193,0.04479060438419684,0.023261477065739306,0.08477734286900282,0.08335072116186562
Bandwidth blocking probabilities per pair,0,all,2,11, ,0.014077566925176518,0.0,0.005016829542692501,0.0,0.0,0.0,0.026231289505447876,0.019260852288874215,0.3743649315034002,0.0
Bandwidth blocking probabilities per pair,0,all,5,10, ,0.07932347456682139,0.04845577050023082,0.3544306083235959,0.00443207252138085,0.03818579658627063,0.26532968781373256,0.005828941998762767,0.004391698044243468,0.10459821344126352,0.0017523489365675194
