Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,2.3618528705206563,2.447532106804945,2.4302611035883164,2.460021935087337,2.3438782572970682,2.304663887236651,2.372258704446599,2.4439941101662352,2.379804669095581,2.4711669989463214
Rate of requests by circuit,1, ,2.8152517755114044,2.666090212900508,2.7366759637342866,2.6497569455135173,2.9089886313124516,2.820240052670586,2.841173829878201,2.7258295511886836,2.7339456932440664,2.70101578812762
Rate of requests by circuit,2, ,3.0615101538046128,3.1238052307380997,3.108566937003999,3.3001174266576347,2.9786514327849978,3.0846389277767776,3.030192695943115,3.185398776374741,3.1190792221263295,2.9156210767727693
Rate of requests by circuit,3, ,3.372938975522879,3.327108448835852,3.3943451615784563,3.472458069174626,3.2327714075655423,3.1634220145986083,3.317776939651095,3.195945242549945,3.346294490303511,3.2934870936444693


Maximum requests by circuit,0, ,25,24,26,24,24,28,26,25,25,27
Maximum requests by circuit,1, ,31,33,27,30,31,29,31,28,29,29
Maximum requests by circuit,2, ,33,35,30,32,30,33,34,37,31,29
Maximum requests by circuit,3, ,37,33,34,41,36,36,34,41,41,37


Virtual hops,0, ,1.8080029774777946,1.7988502859210276,1.7991439743192297,1.8074168138256712,1.8082179226069246,1.8192559201948637,1.8056994040166274,1.7966369047619049,1.8246745395187618,1.802845223446082
Virtual hops,1, ,1.7912056909094574,1.801318010451095,1.7834937311472718,1.798630814203422,1.7840933994780148,1.7778077645835832,1.7903631859259186,1.7905734756128457,1.7935732311806876,1.78898040620044
Virtual hops,2, ,1.7734157808667212,1.7786356589147287,1.7602438093666526,1.7642409842337354,1.7763170001124549,1.7692732655103403,1.7725247953681336,1.7708303263984824,1.757141990045725,1.7828269456829084
Virtual hops,3, ,1.7514545545897604,1.7643339297332465,1.7431483923318796,1.750083332491591,1.7702841876637878,1.7724514056894969,1.758659252910805,1.7828561172346806,1.7449871046005485,1.7632345224253774


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3


