Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.017023406074405476,0.019071807104170755,0.020050205395935928,0.016712124059013133,0.017964132651114968,0.013970971251552966,0.01480870054867685,0.014910269584292136,0.015227810954928787,0.016788892810071145
Bandwidth blocking probability,1,all,all,all, ,0.010927595865149341,0.014893502250460598,0.013846505000418109,0.015322302004921812,0.017737143586461397,0.014310184048644647,0.013992923663461361,0.018984182619093407,0.015060158617192485,0.015566048407357603
Bandwidth blocking probability,2,all,all,all, ,0.025404229876080923,0.01763231734286771,0.028993818032473695,0.014369246949456682,0.014344160487533765,0.02645247299992804,0.013219877997337436,0.01689793933019721,0.015368624267381621,0.018018441553026537
Bandwidth blocking probability,3,all,all,all, ,0.017513755090073482,0.038706449545531686,0.029549078382809804,0.031111438559091525,0.03909081295396296,0.04281278056777894,0.04175645883124578,0.040838407865411014,0.02738769200159909,0.031006586320434126


General requested bandwidth,0,all,all,all, ,8.658237286131563E15,8.730481938983507E15,8.778125190652289E15,8.743873988702941E15,8.767783903108266E15,8.719592777525311E15,8.71238824088088E15,8.737976354942413E15,8.72354758114111E15,8.656297583895479E15
General requested bandwidth,1,all,all,all, ,8.720512097858839E15,8.704898335764189E15,8.718536749653799E15,8.734272285244529E15,8.648065211807368E15,8.746646319547733E15,8.75182042611545E15,8.571323209247492E15,8.646530214583734E15,8.699084115500808E15
General requested bandwidth,2,all,all,all, ,8.735895038799398E15,8.694776774687433E15,8.709311212233615E15,8.6864115079816E15,8.709672621299431E15,8.645948697036795E15,8.688442673120449E15,8.772909121101738E15,8.65155593156866E15,8.757243367899643E15
General requested bandwidth,3,all,all,all, ,8.705823867411558E15,8.77967767453837E15,8.725328954026552E15,8.770159914147022E15,8.694396545014768E15,8.648605073763287E15,8.775997162636847E15,8.676371398489628E15,8.793472498619122E15,8.66699781236827E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,1.6597077825602056E-5,0.0,0.0,0.0,0.0,9.341197432657118E-6,0.0,2.953409466020985E-4,5.242668987929146E-5
Blocking probability by QoTN,2,all,all,all, ,0.0012663760442282747,0.0011846059428270378,4.239754100866313E-4,0.0013914219146222721,0.0011599265238044706,0.0014909149629396378,0.0010577040309371287,0.0015094190225262056,1.305616350255728E-4,4.73010754346484E-4
Blocking probability by QoTN,3,all,all,all, ,0.005594225188213823,0.009452685029650628,0.006640472485014347,0.009008130470875965,0.0077267230345185334,0.007026016437010756,0.00964697138342569,0.0069314634032750545,0.005830541622483976,0.006392540698083327


Blocking probability by QoTO,0,all,all,all, ,0.017023406074405476,0.019071807104170755,0.020050205395935928,0.016712124059013133,0.017964132651114968,0.013970971251552966,0.01480870054867685,0.014910269584292136,0.015227810954928787,0.016788892810071145
Blocking probability by QoTO,1,all,all,all, ,0.010927595865149341,0.014876905172634996,0.013846505000418109,0.015322302004921812,0.017737143586461397,0.014310184048644647,0.013983582466028705,0.018984182619093407,0.014764817670590385,0.015513621717478313
Blocking probability by QoTO,2,all,all,all, ,0.02413785383185265,0.01644771140004069,0.028569842622387057,0.012931934705093613,0.013184233963729296,0.02490361881297047,0.01216217396640031,0.015388520307671018,0.015238062632356046,0.01753123611595993
Blocking probability by QoTO,3,all,all,all, ,0.011516749129711236,0.028765323584615348,0.022457761216273645,0.021732489971787044,0.031077325089427402,0.035663123930741523,0.031726125993459406,0.033487937197963835,0.02141523829080627,0.024500730397097704


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,4.5890329740800693E-5,0.0,5.7939224017916165E-5,0.0,0.0,0.0,1.4194682720124165E-5
Blocking probability by other,3,all,all,all, ,4.027807721484163E-4,4.884409312656631E-4,4.50844681521788E-4,3.7081811642850114E-4,2.8676483001699785E-4,1.2364020002664892E-4,3.833614543606505E-4,4.19007264172126E-4,1.4191208830882526E-4,1.1331522525307611E-4


Bandwidth blocking probabilities per pair,0,all,2,10, ,0.034384744295695754,0.0011695777322623115,0.05268915009431406,0.018959727558362793,0.002387318570430133,0.02608043672573841,0.015730797598375465,0.021478004850025156,0.0,0.010488621870783605
Bandwidth blocking probabilities per pair,0,all,9,7, ,0.004442434416056093,0.018151054563186095,0.0032645423922612582,0.028152183467716398,0.029485456939630898,0.023180669274709177,0.01539648389857373,0.02740871699982275,0.03479291443220666,0.014275212292306386
