Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.003218990066552126,0.004157039319074985,0.0029622607974406066,0.0034658451330055098,0.00333748049844975,0.004216284535023797,0.0047099946679305645,0.003692951794142623,0.0031794932559195844,0.004927227126409543
Blocking probability,1,all,all,all, ,0.003357228903766021,0.004137290913758714,0.003031380216047554,0.0035349645516124573,0.0038509390366727888,0.0036830775914844876,0.0040286746845192255,0.005233327408811738,0.004236032940340068,0.003554712956928728
Blocking probability,2,all,all,all, ,0.004522384817425993,0.0038509390366727888,0.006102257242727649,0.01067401307344432,0.003307857890475344,0.008738669352449789,0.004818610897170054,0.007139048521831862,0.004275529750972609,0.008077097774354721
Blocking probability,3,all,all,all, ,0.008600430515235895,0.008432569070047594,0.008807788771056738,0.008274581827517427,0.013922625747970851,0.014831052392519304,0.008955901810928767,0.011463949286095149,0.013527657641645437,0.011128226395718546


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,9.874202658135355E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.949681063254142E-5
Blocking probability by QoTN,2,all,all,all, ,2.5672926911151923E-4,2.5672926911151923E-4,2.5672926911151923E-4,4.739617275904971E-4,2.8635187708592533E-4,2.8635187708592533E-4,3.0610028240219604E-4,4.3446491695795566E-4,6.813199834113396E-4,4.245907142998203E-4
Blocking probability by QoTN,3,all,all,all, ,0.0018563500997294468,0.0018464758970713115,0.002132827774157237,0.0017872306811224994,0.001500878804036574,0.001836601694413176,0.001668740249224875,0.0021525761794735075,0.001639117641250469,0.0013428915615064083


Blocking probability by QoTO,0,all,all,all, ,0.003218990066552126,0.004157039319074985,0.0029622607974406066,0.0034658451330055098,0.00333748049844975,0.004216284535023797,0.0047099946679305645,0.003692951794142623,0.0031794932559195844,0.004927227126409543
Blocking probability by QoTO,1,all,all,all, ,0.0033473547011078856,0.004137290913758714,0.003031380216047554,0.0035349645516124573,0.0038509390366727888,0.0036830775914844876,0.0040286746845192255,0.005233327408811738,0.004236032940340068,0.003515216146296187
Blocking probability by QoTO,2,all,all,all, ,0.004265655548314474,0.003574461362244999,0.005835653770957995,0.010190177143195686,0.003001757608073148,0.008452317475363864,0.004502636412109722,0.006694709402215771,0.003554712956928728,0.0076426328573967655
Blocking probability by QoTO,3,all,all,all, ,0.006625589983608823,0.006467602741078658,0.006615715780950688,0.006447854335762387,0.012392124335959872,0.01294507968481545,0.00722791634575508,0.009212631080040288,0.011819420581788021,0.009706341212947054


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,1.974840531627071E-5,9.874202658135355E-6,9.874202658135355E-6,1.974840531627071E-5,0.0,9.874202658135355E-6,9.874202658135355E-6,3.949681063254142E-5,9.874202658135355E-6
Blocking probability by other,3,all,all,all, ,1.1849043189762427E-4,1.1849043189762427E-4,5.9245215948812136E-5,3.949681063254142E-5,2.9622607974406068E-5,4.937101329067678E-5,5.9245215948812136E-5,9.874202658135356E-5,6.911941860694749E-5,7.899362126508284E-5


Blocking probability per pair,0,all,2,10, ,0.0017761989342806395,0.010752688172043012,0.0071301247771836,0.0036496350364963502,0.0035211267605633804,0.005928853754940711,0.009328358208955223,0.003861003861003861,0.0055658627087198514,0.0
Blocking probability per pair,0,all,9,7, ,0.006968641114982578,0.0033222591362126247,0.0,0.005758157389635317,0.0066555740432612314,0.005366726296958855,0.0035460992907801418,0.007079646017699115,0.003424657534246575,0.00684931506849315
Blocking probability per pair,0,all,7,13, ,0.00909090909090909,0.013937282229965157,0.009416195856873822,0.01048951048951049,0.007029876977152899,0.005067567567567568,0.010309278350515464,0.0150093808630394,0.005154639175257732,0.008880994671403197
Blocking probability per pair,0,all,2,11, ,0.0,0.0,0.0,0.001949317738791423,0.001851851851851852,0.0,0.0035398230088495575,0.0,0.0,0.0
Blocking probability per pair,0,all,5,10, ,0.0017889087656529517,0.0051813471502590676,0.00929368029739777,0.0017035775127768314,0.003683241252302026,0.01048951048951049,0.007067137809187279,0.0034782608695652175,0.0,0.011299435028248588
Blocking probability per pair,0,all,4,2, ,0.001763668430335097,0.005366726296958855,0.0018050541516245488,0.0017301038062283738,0.001851851851851852,0.0,0.0018726591760299626,0.0018867924528301887,0.0,0.0
Blocking probability per pair,0,all,8,13, ,0.0017825311942959,0.013201320132013201,0.01090909090909091,0.00686106346483705,0.005357142857142857,0.012110726643598616,0.008960573476702509,0.0018018018018018018,0.0034423407917383822,0.012048192771084338
Blocking probability per pair,0,all,3,7, ,0.0,0.0018484288354898336,0.0,0.0035587188612099642,0.003484320557491289,0.0019267822736030828,0.007207207207207207,0.007889546351084813,0.001841620626151013,0.0017857142857142857
Blocking probability per pair,0,all,5,4, ,0.003669724770642202,0.0035650623885918,0.0057361376673040155,0.003430531732418525,0.005791505791505791,0.0,0.0,0.007029876977152899,0.0034904013961605585,0.0018587360594795538
Blocking probability per pair,0,all,5,14, ,0.005597014925373134,0.0,0.0,0.0017574692442882249,0.0037174721189591076,0.001941747572815534,0.011494252873563218,0.0,0.0,0.0018867924528301887
Blocking probability per pair,0,all,5,1, ,0.011824324324324325,0.01282051282051282,0.0,0.0017921146953405018,0.003527336860670194,0.012345679012345678,0.007434944237918215,0.0,0.0017953321364452424,0.0036231884057971015
Blocking probability per pair,0,all,5,9, ,0.0,0.0034965034965034965,0.0,0.0034482758620689655,0.005,0.0016835016835016834,0.003395585738539898,0.004942339373970346,0.0076481835564053535,0.01217391304347826
Blocking probability per pair,0,all,11,8, ,0.008605851979345954,0.00375234521575985,0.006688963210702341,0.005836575875486381,0.003676470588235294,0.007462686567164179,0.007677543186180422,0.001869158878504673,0.003913894324853229,0.009708737864077669
Blocking probability per pair,0,all,3,10, ,0.0,0.001876172607879925,0.001893939393939394,0.0018450184501845018,0.0018214936247723133,0.008944543828264758,0.005291005291005291,0.009009009009009009,0.0055762081784386614,0.0018867924528301887
Blocking probability per pair,0,all,7,3, ,0.0,0.0,0.0,0.0,0.005,0.005415162454873646,0.0017985611510791368,0.007017543859649123,0.0037593984962406013,0.0017761989342806395
Blocking probability per pair,0,all,12,1, ,0.0017513134851138354,0.0035149384885764497,0.003616636528028933,0.0018552875695732839,0.006,0.010830324909747292,0.0036231884057971015,0.003703703703703704,0.00186219739292365,0.00931098696461825
Blocking probability per pair,0,all,7,10, ,0.005128205128205128,0.0,0.0,0.0,0.0,0.0018148820326678765,0.006745362563237774,0.011049723756906077,0.0018484288354898336,0.0017761989342806395
Blocking probability per pair,0,all,8,12, ,0.007067137809187279,0.007207207207207207,0.005628517823639775,0.001968503937007874,0.0,0.0071174377224199285,0.005244755244755245,0.006956521739130435,0.007079646017699115,0.0017271157167530224
Blocking probability per pair,0,all,12,14, ,0.0,0.0,0.001763668430335097,0.0,0.0017761989342806395,0.003745318352059925,0.0017953321364452424,0.0017301038062283738,0.0,0.0
Blocking probability per pair,0,all,9,8, ,0.014787430683918669,0.0,0.003472222222222222,0.004885993485342019,0.00927643784786642,0.012727272727272728,0.003436426116838488,0.0018181818181818182,0.006611570247933884,0.008561643835616438
Blocking probability per pair,0,all,3,12, ,0.0017391304347826088,0.0017094017094017094,0.0,0.0,0.0,0.0017921146953405018,0.0018867924528301887,0.0,0.0,0.0034782608695652175
Blocking probability per pair,0,all,3,11, ,0.0,0.0038910505836575876,0.001890359168241966,0.0,0.0,0.0,0.0017921146953405018,0.0016611295681063123,0.0,0.0
Blocking probability per pair,0,all,5,12, ,0.003838771593090211,0.006993006993006993,0.0053285968028419185,0.0034482758620689655,0.003861003861003861,0.0037313432835820895,0.0017730496453900709,0.003472222222222222,0.0,0.005681818181818182
Blocking probability per pair,0,all,11,4, ,0.00375234521575985,0.0,0.0018214936247723133,0.0,0.0017857142857142857,0.0017482517482517483,0.0,0.0,0.0017482517482517483,0.001718213058419244
Blocking probability per pair,0,all,10,6, ,0.008802816901408451,0.005385996409335727,0.008849557522123894,0.0,0.0017271157167530224,0.005597014925373134,0.0051635111876075735,0.0088339222614841,0.007233273056057866,0.0
Blocking probability per pair,0,all,11,7, ,0.00749063670411985,0.01054481546572935,0.0,0.008944543828264758,0.007677543186180422,0.012915129151291513,0.009174311926605505,0.0019305019305019305,0.0037735849056603774,0.015901060070671377
Blocking probability per pair,0,all,13,8, ,0.012302284710017574,0.012389380530973451,0.0035971223021582736,0.005504587155963303,0.017761989342806393,0.012915129151291513,0.0,0.0035650623885918,0.0018975332068311196,0.011844331641285956
Blocking probability per pair,0,all,6,2, ,0.0018656716417910447,0.0,0.0038314176245210726,0.0018281535648994515,0.003305785123966942,0.0017793594306049821,0.0,0.005474452554744526,0.0018050541516245488,0.0
Blocking probability per pair,0,all,6,7, ,0.0018281535648994515,0.0035398230088495575,0.0035714285714285713,0.005681818181818182,0.0037174721189591076,0.009041591320072333,0.0054249547920434,0.00825082508250825,0.005454545454545455,0.001890359168241966
