Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,5.714297406628477E11,5.704712486158735E11,6.196903759539698E11,5.728336625003934E11,5.663625919995117E11,5.739152708212101E11,5.816620364564552E11,5.760039246972152E11,5.713790234342942E11,5.637498546565294E11
Total consumed energy (Joule),1, ,4.5876871232599384E11,4.531733555964898E11,4.6694434274232733E11,4.5609307607413354E11,4.7458560345864166E11,4.7098094022615247E11,4.622525332946197E11,4.442068241358304E11,4.653538418185904E11,4.5564738126420734E11
Total consumed energy (Joule),2, ,3.887479828868414E11,3.9238904523152295E11,3.990315994002901E11,3.908314266736982E11,3.8913158972516974E11,3.942768692669372E11,3.9346867096404266E11,4.077425475125676E11,3.873907614666632E11,3.894883504290914E11
Total consumed energy (Joule),3, ,3.50086453657903E11,3.555811889069619E11,3.6379282042450806E11,3.5759697635049475E11,3.583022473731483E11,3.6715962609136365E11,3.5504127201148267E11,3.642187373944372E11,3.6810018731866284E11,3.5936914013305774E11


Average power consumption (Watt),0, ,306125.98555196234,305299.38364009187,284569.06834687816,305470.41879381717,310108.1868799442,304360.8671969574,299919.1415850173,304565.2025853336,301068.68670880276,307658.04705479153
Average power consumption (Watt),1, ,360034.1435155137,370477.5938505445,356427.3483061744,368393.3322453783,350411.3817829681,354296.92612040555,357332.6933616363,374801.57792364236,355637.8454898402,366878.00633384084
Average power consumption (Watt),2, ,430771.3479294072,427202.20930162637,420422.25900882157,433638.776336313,430709.5104992821,432197.2328589971,427217.3008878351,399170.22393230407,430700.42779513093,424724.1585276979
Average power consumption (Watt),3, ,500076.5119281478,492738.13801339886,461734.40381890466,476718.56004282687,469516.7684797706,454949.6751175378,485110.5028632493,459409.80206663423,448415.4880116481,481099.3174318259


Energy efficiency (bits/Joule),0, ,5.413848629688371E7,5.400644332363905E7,4.999798031281509E7,5.407900103010551E7,5.516863664958085E7,5.4032532002578326E7,5.335212318647069E7,5.414967009039839E7,5.403724273027113E7,5.466696458190849E7
Energy efficiency (bits/Joule),1, ,6.777902079671311E7,6.826793819651583E7,6.671592621303549E7,6.822207404037702E7,6.4576241386174954E7,6.583007002793215E7,6.6953027005290605E7,6.887742881623624E7,6.668328289827086E7,6.832994447383434E7
Energy efficiency (bits/Joule),2, ,7.927382854683441E7,7.856783486012332E7,7.6879002152808E7,7.817777627512191E7,7.931885499833165E7,7.759441585897854E7,7.799550876503138E7,7.448676968699929E7,7.947925307235412E7,7.76875414014663E7
Energy efficiency (bits/Joule),3, ,8.617887317487437E7,8.529909195308372E7,8.309551079638873E7,8.528321575677899E7,8.373625298954916E7,8.14204502224496E7,8.520055958708495E7,8.273325373211236E7,8.085149652695282E7,8.372902655264978E7


Total data transmitted (bits),0, ,3.0936341184507388E19,3.0809123156138775E19,3.0983267216987566E19,3.0978272224437887E19,3.1245452049935868E19,3.101009523741544E19,3.10329046219182E19,3.1190422493128884E19,3.0875746980304232E19,3.081849333756455E19
Total data transmitted (bits),1, ,3.109489409362483E19,3.0937210632168858E19,3.115262431599146E19,3.111561560523285E19,3.0646954487348752E19,3.1004708276908945E19,3.094920634493867E19,3.059582390910203E19,3.1031321881786253E19,3.1134360261431312E19
Total data transmitted (bits),2, ,3.081754094329918E19,3.0829157706671755E19,3.067715118933332E19,3.055433183578309E19,3.086547214068102E19,3.059368335747484E19,3.0688789174941237E19,3.037142522815899E19,3.0789528368500896E19,3.0258392349348848E19
Total data transmitted (bits),3, ,3.0170056090025955E19,3.033075252936178E19,3.022955023723342E19,3.0497020088071037E19,3.0002887632761975E19,2.9894302059865084E19,3.0249715051888767E19,3.0133001214843572E19,2.976145101656555E19,3.008962827640371E19


Total energy consumption by transponders (Joule),0, ,2.667179707763059E11,2.65446962245759E11,2.6421162501882614E11,2.667177137424207E11,2.6823105781401074E11,2.661032657113984E11,2.6507500460062308E11,2.6727896245788797E11,2.61576257809491E11,2.6463033818329837E11
Total energy consumption by transponders (Joule),1, ,2.50762316407972E11,2.5349591276194336E11,2.5308871445932635E11,2.5399214964165094E11,2.5349873831631558E11,2.539795410765966E11,2.5108208923271082E11,2.5073826305441983E11,2.5175351187103516E11,2.5291002106963904E11
Total energy consumption by transponders (Joule),2, ,2.4143265880254987E11,2.4245164708860336E11,2.4409708561010178E11,2.437059259764665E11,2.4164972745307565E11,2.4535931208273825E11,2.4312404373408972E11,2.4099691002423923E11,2.4056558131639276E11,2.3979100675914804E11
Total energy consumption by transponders (Joule),3, ,2.358077156408539E11,2.3778013232304224E11,2.3517875243447748E11,2.3514709645864957E11,2.3372893543251013E11,2.354194784636723E11,2.3556965286269067E11,2.348025463928235E11,2.3409795906303033E11,2.3743294876932977E11


Total energy consumption by OXCs (Joule),0, ,2.1996590886688794E11,2.2019150885723233E11,2.5661367318180734E11,2.2097956016686575E11,2.1521575587122903E11,2.2220391253454153E11,2.2853844544163547E11,2.228629597542505E11,2.236410065010181E11,2.15928962394062E11
Total energy consumption by OXCs (Joule),1, ,1.501560505695933E11,1.4414353016186212E11,1.5437850549416678E11,1.4589299908603348E11,1.5959860443746732E11,1.566493805181571E11,1.5244011962910303E11,1.3966145085661966E11,1.5419421024883307E11,1.4635242909414578E11
Total energy consumption by OXCs (Joule),2, ,1.0634426482536682E11,1.0823709260697043E11,1.1184441990342717E11,1.0620723475962764E11,1.0646448572741628E11,1.075008878864654E11,1.0853106391067265E11,1.2037065622166542E11,1.0599043879507475E11,1.0806380162990092E11
