Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.4107142145951387E12,1.4169378387072378E12,1.4335436899216094E12,1.429197506435629E12,1.377679705620111E12,1.4256892712197498E12,1.426377831415641E12,1.4331271710957915E12,1.4635425958821775E12,1.4318297356260012E12
Total energy consumption (Joule),1,all,all,all, ,1.4092871619936462E12,1.3817713547848313E12,1.3922370217381982E12,1.3717327923879302E12,1.4129960751192043E12,1.4453564616213137E12,1.4011204689539404E12,1.3991347223197175E12,1.4070177321727554E12,1.4096693802255588E12
Total energy consumption (Joule),2,all,all,all, ,1.395921064482641E12,1.3682208756670552E12,1.3099912200685447E12,1.3346401871419414E12,1.3717272958148198E12,1.3891630510925342E12,1.3416152735697969E12,1.3371171478722373E12,1.3999796117887808E12,1.369860642711519E12
Total energy consumption (Joule),3,all,all,all, ,1.1485881061581248E12,1.39965674903471E12,1.348850663893564E12,1.256742217820819E12,1.2179214690004744E12,1.3080525676724531E12,1.3361839983023918E12,1.356987052540844E12,1.3391259194220847E12,1.3707069116222314E12


Average power consumption (Watt),0,all,all,all, ,344526.7959091489,344306.90249446884,345465.7379285907,345317.6189745239,344052.2939669669,343448.71629397565,344272.7890537472,345072.8606635542,344882.8357983243,344139.4500026827
Average power consumption (Watt),1,all,all,all, ,420370.55321686104,418927.1800686937,419815.6117889467,419417.79889589595,419377.5750164408,419109.9107766927,417994.50813677657,420346.85035604704,419335.03830133774,417842.27983986324
Average power consumption (Watt),2,all,all,all, ,492310.5176481921,486310.49906184926,476741.30280421063,490507.8830616282,488472.1043753847,488212.2943059322,486707.0795253195,482046.2700990074,488744.7050742392,485828.3163577378
Average power consumption (Watt),3,all,all,all, ,498104.1151578009,560851.8548389103,555832.2775244153,536215.3107977004,534138.833585776,551622.3530134449,558031.6767719385,551766.2626161472,548250.5985521494,554528.6524964706


Energy efficiency (bits/Joule),0,all,all,all, ,2.19111797374352E7,2.1857910050156932E7,2.184776278366414E7,2.1822646739120066E7,2.239087753328421E7,2.1697269671478696E7,2.1809680773355387E7,2.1818405727722727E7,2.1201532911711946E7,2.163347743299007E7
Energy efficiency (bits/Joule),1,all,all,all, ,2.18639529609522E7,2.2253328098491825E7,2.211181641064187E7,2.2467736407814622E7,2.197501380443983E7,2.148264813869443E7,2.1800607995510224E7,2.2236549463237405E7,2.198252443950889E7,2.1957179957693916E7
Energy efficiency (bits/Joule),2,all,all,all, ,2.2200175787179746E7,2.2201068805055853E7,2.1575716162785575E7,2.2714028913378216E7,2.2198052177457698E7,2.1938406565368183E7,2.2452510022573177E7,2.197186750903389E7,2.1676622783496507E7,2.214796381798441E7
Energy efficiency (bits/Joule),3,all,all,all, ,2.1233893194157425E7,2.1631885402457606E7,2.2066922804031245E7,2.167472433246919E7,2.251233166511316E7,2.250160472756615E7,2.245751449495408E7,2.1552657849968366E7,2.1902647997354344E7,2.227986335924078E7


Total data transmitted (bits),0,all,all,all, ,3.0910412714148815E19,3.0971299825126576E19,3.1319722477425906E19,3.1188872303376007E19,3.0847457568630948E19,3.093356458538884E19,3.110884516536606E19,3.1268550078391484E19,3.1029346514288325E19,3.097545627354924E19
Total data transmitted (bits),1,all,all,all, ,3.0812588218302906E19,3.0749011315124404E19,3.0784889424773853E19,3.0819730801327514E19,3.1050608256363815E19,3.1050084299999085E19,3.054527809815031E19,3.111192845859533E19,3.0929801684309967E19,3.0952364262463447E19
Total data transmitted (bits),2,all,all,all, ,3.098969301654171E19,3.037596580119806E19,2.8263998739940094E19,3.031505579969857E19,3.044967408574032E19,3.047602380045535E19,3.012263037626312E19,2.937896081710607E19,3.034682994933128E19,3.0339623950455595E19
