Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,2.877592216898261,2.909730341118714,2.8968382802608907,2.8642774996988307,2.9021323748175525,2.840203628120258,2.8763511484822644,2.791507779207837,2.882637113761629,2.861391460725613
Rate of requests by circuit,1, ,3.2226447495270985,3.239615690355486,3.2955268977748373,3.4165084707947644,3.2685989603006638,3.356082922820776,3.3383835356233065,3.3160652458530566,3.4258743161106797,3.3672192832062167
Rate of requests by circuit,2, ,3.2003881903903717,3.624515349280319,3.588738544481796,3.4559904074712846,3.33210244298918,3.5991987799658114,3.4668871180630547,3.7044629654446877,3.3018702061842173,3.256590781455111
Rate of requests by circuit,3, ,3.2349303858996885,4.012486210803579,3.5489933273579233,3.5029848348159436,3.4859711099583146,3.4941883554811715,3.6109539828326778,3.351468620589557,3.704761824058821,3.7002434021337196


Maximum requests by circuit,0, ,23,24,22,22,25,23,22,25,22,24
Maximum requests by circuit,1, ,26,26,25,27,28,30,28,26,29,28
Maximum requests by circuit,2, ,27,27,31,27,28,28,27,33,31,33
Maximum requests by circuit,3, ,29,29,29,27,31,29,29,30,28,27


Virtual hops,0, ,1.5652320174136738,1.5547153024911031,1.5632721697413323,1.5709332963527944,1.56309056189336,1.5634016328471783,1.5553622099403814,1.5905380112301382,1.558445665493932,1.557349957943694
Virtual hops,1, ,1.535020483020523,1.5392523830912812,1.5139311520582026,1.5142559936595998,1.5498071114566823,1.5195035812781492,1.5106699014705154,1.53418356679908,1.5125046991551414,1.5313188448943138
Virtual hops,2, ,1.6105262014189945,1.4998100797664982,1.4775302152400294,1.5082262676708686,1.536900219209223,1.4861684866462934,1.5204664229828113,1.4695170936356332,1.577833846917461,1.543996155576459
Virtual hops,3, ,1.5724873937246433,1.4354373470727486,1.5146346773942705,1.5311109959044014,1.5581083401296305,1.5146913037701717,1.5284004979475097,1.546400961303289,1.4780153369559696,1.4810115100082646


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3


