Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Percentage of cicuits per modulation,0,BPSK,all, ,0.0,0.0,6.22610731318565E-6,0.0,0.0,0.0,0.0,1.8510177512602345E-5,1.8706624015563912E-5,0.0
Percentage of cicuits per modulation,0,QPSK,all, ,0.44621444091697504,0.4355303360977739,0.41079856052398916,0.472786276072888,0.4224349196028908,0.47353247176504504,0.48753061748657844,0.3750778969970322,0.4299218686670283,0.5199937146448774
Percentage of cicuits per modulation,0,8QAM,all, ,0.2912291247910131,0.2907651056930847,0.3128618924875789,0.27041107756429167,0.2982757758383556,0.29701543051255375,0.2489240811621803,0.3217562456423957,0.31329230347132586,0.2501571338780641
Percentage of cicuits per modulation,0,16QAM,all, ,0.1934639540635821,0.18704246430130322,0.18861992105295927,0.1674188547073999,0.21093300657680863,0.1648094062198378,0.19435448001954508,0.22558970340525566,0.17680877465377157,0.16033312382149592
Percentage of cicuits per modulation,0,32QAM,all, ,0.02733893136462971,0.05084492111991021,0.03933031989739375,0.032778241574761634,0.030439620895746332,0.022826127831329833,0.023923924550995734,0.027499953724556218,0.03195091381858316,0.03956002514142049
Percentage of cicuits per modulation,0,64QAM,all, ,0.041753548863800026,0.03581717278792792,0.04838307993076569,0.05660555008065883,0.037916677086198704,0.04181656367123356,0.04526689678070049,0.05005769005324761,0.04800743276527552,0.029956002514142047
Percentage of cicuits per modulation,1,BPSK,all, ,1.9029254306954557E-5,6.449698799066084E-6,1.2991990437895037E-5,0.0,0.0,2.863232908090224E-4,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation,1,QPSK,all, ,0.4084058559358587,0.3966629258413632,0.4414938190605492,0.5103753561762091,0.3909327576354054,0.42809785893805874,0.4104683549177908,0.4344236960721185,0.4072816245388453,0.3746368565925229
Percentage of cicuits per modulation,1,8QAM,all, ,0.26805876233729986,0.287334081498394,0.2862850052942361,0.2642876151284831,0.3111118166232777,0.24843953806509084,0.3124975934078628,0.24540888602704444,0.3067100794555985,0.3276014417667364
Percentage of cicuits per modulation,1,16QAM,all, ,0.23222033339253545,0.22354011067683138,0.217479423935144,0.14880538986285188,0.20811480093974222,0.22429930327999237,0.17726636803532236,0.23640695428203476,0.20668650401738212,0.19505171416402323
Percentage of cicuits per modulation,1,32QAM,all, ,0.02961586278639028,0.03930446448150871,0.023866286434413183,0.045889126159398184,0.033621182297288714,0.03888270289186524,0.04707935978231572,0.04208628461043142,0.03628068789305672,0.04676206398952367
Percentage of cicuits per modulation,1,64QAM,all, ,0.06168015629360871,0.05315196780310359,0.030862473285219662,0.030642512673057825,0.05621944250428599,0.05999427353418382,0.0526883238567083,0.04167417900837089,0.043041104095117334,0.05594792348719383
Percentage of cicuits per modulation,2,BPSK,all, ,2.3883607220810584E-4,0.0,0.0,0.0,0.0,0.0,4.0485556777619584E-5,0.0,0.0,0.0
Percentage of cicuits per modulation,2,QPSK,all, ,0.4149975784676012,0.34603729680341283,0.33547374710289085,0.41963786560380945,0.359345041034453,0.4465191039078458,0.4866971208021538,0.4472029749324487,0.4740150544522742,0.32768119887475855
Percentage of cicuits per modulation,2,8QAM,all, ,0.3073156815784411,0.3373539909683102,0.28467503135115263,0.28910900205862816,0.3257478752977237,0.30061279844623784,0.28020053845790516,0.26149709730062337,0.2729420243433696,0.36556735244169614
Percentage of cicuits per modulation,2,16QAM,all, ,0.18927758722492388,0.22806002721338847,0.26248301128641494,0.2139000151272995,0.2187597444386208,0.17887017379365772,0.15788692383992012,0.2054897134754809,0.19254484304932734,0.21330325775548037
Percentage of cicuits per modulation,2,32QAM,all, ,0.0452328983420796,0.031499168479797016,0.051054777521716006,0.024045829140440532,0.05393194318204436,0.03970130261527643,0.05837342528053117,0.022579523261724497,0.032698056801195814,0.05401936763504842
Percentage of cicuits per modulation,2,64QAM,all, ,0.04293741831474614,0.057049516535091466,0.06631343273782557,0.05330728806982235,0.042215396047158106,0.03429662123698222,0.016801506062712128,0.06323069102972258,0.027800021353833013,0.0394288232930165
Percentage of cicuits per modulation,3,BPSK,all, ,0.0,0.0,6.786838961885112E-6,1.3698254842333086E-5,1.3656538067599864E-5,6.8853452312098925E-6,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation,3,QPSK,all, ,0.4142271682725419,0.3912400792965539,0.4306995873601911,0.4448645242596093,0.46529190850119495,0.45588559310363824,0.35089897062416225,0.41932651242000507,0.39875632856436766,0.38775551507791944
Percentage of cicuits per modulation,3,8QAM,all, ,0.3054708862658457,0.3015203111077342,0.25499511347594744,0.2758143612503767,0.28488904062820075,0.2749387204274422,0.34446124489108687,0.2990846316573755,0.28030697711697994,0.36534439722053563
Percentage of cicuits per modulation,3,16QAM,all, ,0.20244938594876202,0.21486741312261265,0.22818031273753936,0.19972740472863756,0.16441789006486857,0.1984907323253188,0.20042786115641362,0.19690397945743138,0.23478806823494838,0.17001281791810025
Percentage of cicuits per modulation,3,32QAM,all, ,0.040914019188675,0.05487211013103272,0.05288983602997068,0.03895098764417413,0.060266302492318194,0.04928530116500041,0.03296115575334597,0.048396109684543845,0.03342283492966778,0.02465762666126965
Percentage of cicuits per modulation,3,64QAM,all, ,0.036938540324175415,0.037500086342066544,0.03322836355738951,0.040629023862359934,0.02512120177534995,0.02139276763336914,0.07125076757499126,0.036288766780644216,0.05272579115403626,0.052229643122175


Percentage of cicuits per modulation and bandwidth,0,BPSK,100.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,0,BPSK,200.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,0,BPSK,400.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2340118341734897E-5,6.2355413385213035E-6,0.0
Percentage of cicuits per modulation and bandwidth,0,BPSK,10.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,0,BPSK,40.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,0,BPSK,80.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation and bandwidth,0,BPSK,160.0, ,0.0,0.0,6.22610731318565E-6,0.0,0.0,0.0,0.0,0.0,1.2471082677042607E-5,0.0
Percentage of cicuits per modulation and bandwidth,0,QPSK,100.0, ,0.0028240627680824553,0.0027997755191120533,0.0027021305739225723,0.0030380446040185046,0.002888294280927255,0.0030710605813705706,0.002800207979653075,0.0023446224849296305,0.002830935767688672,0.003318667504714016
Percentage of cicuits per modulation and bandwidth,0,QPSK,200.0, ,0.00684412551111779,0.006335349504271373,0.0060081935572241525,0.0073252025886148655,0.007033184125634549,0.00685034533762864,0.006928478804242284,0.005645604141343716,0.006341545541276166,0.007247014456316782
Percentage of cicuits per modulation and bandwidth,0,QPSK,400.0, ,0.011465319131616353,0.01071272681923053,0.01020458988631128,0.011555868008260469,0.011096801620445622,0.01217142785514622,0.012654183711183918,0.00964997254323669,0.011074321417213836,0.013023255813953489
Percentage of cicuits per modulation and bandwidth,0,QPSK,10.0, ,4.195392582295443E-4,5.175531583213819E-4,5.043146923680376E-4,5.14710036218011E-4,4.3136862637225236E-4,4.0111811675044184E-4,4.510402114877436E-4,5.059448520111307E-4,4.8013668306614036E-4,4.462602137020742E-4
Percentage of cicuits per modulation and bandwidth,0,QPSK,40.0, ,7.952460566440616E-4,8.729812309035355E-4,0.0010086293847360753,9.98035314130046E-4,9.690164795318713E-4,9.526555272822994E-4,0.0010461627127562943,8.206178697253707E-4,9.04153494085589E-4,9.805153991200503E-4
Percentage of cicuits per modulation and bandwidth,0,QPSK,80.0, ,0.0022667643504342546,0.0022448088794662343,0.0022849813839391337,0.002441734196204955,0.0022881292355397733,0.0021434749363851736,0.002136176557185008,0.0019497386979941138,0.0020203153936809025,0.002357008170961659
Percentage of cicuits per modulation and bandwidth,0,QPSK,160.0, ,0.005109612458437435,0.004371141734738417,0.0048501375969716215,0.005216146830453259,0.005070144289679662,0.005007708988806298,0.005049144589710019,0.003813096567596083,0.004751482499953234,0.005279698302954117
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,0.0016468481330503008,0.002045270312402569,0.002029710984098522,0.0018014851267630389,0.001900522643727025,0.0017110194667636035,0.0018981275566775876,0.0026346152659604007,0.001976666604311253,0.0015461973601508486
Percentage of cicuits per modulation and bandwidth,0,8QAM,200.0, ,0.0040075391830881844,0.003847352996196296,0.004607319411757381,0.004236942371306798,0.003663507464552752,0.0035097835215663663,0.003840106245027595,0.004652224614834056,0.003841093464529123,0.003268384663733501
Percentage of cicuits per modulation and bandwidth,0,8QAM,400.0, ,0.006562345412306902,0.0060672195547795725,0.007103988444344827,0.006917200730637173,0.006214208907449548,0.005878887398623664,0.006208067355338249,0.0074904518334330825,0.006884037637727519,0.0058516656191074795
Percentage of cicuits per modulation and bandwidth,0,8QAM,10.0, ,3.882303583616679E-4,7.295628858265262E-4,8.592028092196197E-4,4.5821747126725376E-4,5.501512916051914E-4,4.7006029306692404E-4,4.071890798153241E-4,7.589172780166962E-4,4.988433070817043E-4,3.4569453174104336E-4
Percentage of cicuits per modulation and bandwidth,0,8QAM,40.0, ,6.07392657436803E-4,9.103947122279728E-4,9.837249554833327E-4,5.837565044911589E-4,8.189752181850009E-4,6.580844102936936E-4,8.018492648670997E-4,0.0010921004732435385,8.854468700700252E-4,5.845380263984915E-4
Percentage of cicuits per modulation and bandwidth,0,8QAM,80.0, ,0.0014214240540015904,0.001396769969445657,0.0015378485063568556,0.0014311449787525186,0.0016316987171472155,0.0013475061734585156,0.0014972029242440379,0.00212867041394927,0.001602534123999975,0.001169076052796983
Percentage of cicuits per modulation and bandwidth,0,8QAM,160.0, ,0.0031058428668933433,0.002936958283968323,0.003399454592999365,0.0029941059423901377,0.0027570081772487435,0.0024944532885418104,0.0029192324799067852,0.0038439468634504205,0.003404605570832632,0.0024198617221873036
Percentage of cicuits per modulation and bandwidth,0,16QAM,100.0, ,0.0012210470948471812,0.0013406497474590011,0.0014818135405381848,0.0011800669123047084,0.0013066093175623295,9.714579390049763E-4,0.0012278316868277466,0.0026716356209856053,0.0012471082677042607,8.170961659333752E-4
Percentage of cicuits per modulation and bandwidth,0,16QAM,200.0, ,0.0027677067483202777,0.002207395398141797,0.0026087389642247875,0.002291087356336269,0.0026444772312385905,0.002174812289256302,0.002311581083874686,0.003930327691842565,0.0024505677460388725,0.0019296040226272784
Percentage of cicuits per modulation and bandwidth,0,16QAM,400.0, ,0.0042830575019254975,0.003703934651119287,0.004146587470581643,0.003496262075285758,0.004407462052064317,0.0038670293442972284,0.003909015166227111,0.005269230531920801,0.0036852049310660906,0.0032181018227529857
Percentage of cicuits per modulation and bandwidth,0,16QAM,10.0, ,2.5047119894301153E-4,3.741348132443724E-4,5.354452289339659E-4,3.1384758305976287E-4,2.875790842481682E-4,2.0055905837522092E-4,2.0046231621677493E-4,0.0012648621300278269,3.8660356298832085E-4,1.759899434318039E-4
Percentage of cicuits per modulation and bandwidth,0,16QAM,40.0, ,5.19727737806749E-4,6.173224418532144E-4,8.778811311591767E-4,4.833252779120348E-4,5.939133261646952E-4,4.1992052847311884E-4,4.0092463243354985E-4,0.0017769770412098252,5.050788484202256E-4,3.0798240100565684E-4
Percentage of cicuits per modulation and bandwidth,0,16QAM,80.0, ,9.830994558513203E-4,9.291014528901914E-4,0.0012825781065162439,8.599423775837502E-4,9.62764760309085E-4,8.711784098173659E-4,7.266758962858091E-4,0.0025975949109351957,0.0011598106889649624,5.845380263984915E-4
Percentage of cicuits per modulation and bandwidth,0,16QAM,160.0, ,0.00195367535175549,0.0017272557211448526,0.002191589774241349,0.00170733085184511,0.0017942434169396584,0.0015731351141306392,0.0016224918718795221,0.003572464259932253,0.0017210094094318798,0.0016216216216216215
Percentage of cicuits per modulation and bandwidth,0,32QAM,100.0, ,2.4420941896943624E-4,1.7459624618070712E-4,3.2998368759883947E-4,2.2597025980302925E-4,2.563204881342369E-4,2.0055905837522092E-4,2.4431344788919445E-4,1.7276165678428856E-4,3.990746456653634E-4,1.4456316781898178E-4
Percentage of cicuits per modulation and bandwidth,0,32QAM,200.0, ,4.320628181766949E-4,5.050819978799027E-4,4.98088585054852E-4,5.209869878792064E-4,4.3136862637225236E-4,2.8203617584015444E-4,3.8839573767000146E-4,3.331831952268422E-4,5.923764271595238E-4,4.965430546825895E-4
Percentage of cicuits per modulation and bandwidth,0,32QAM,400.0, ,5.447748577010501E-4,8.293321693583588E-4,9.09011667725105E-4,7.971728609717976E-4,7.877166220710695E-4,5.891422339772115E-4,6.765603172316154E-4,5.861556212324076E-4,8.480336220388973E-4,0.0011816467630421119
Percentage of cicuits per modulation and bandwidth,0,32QAM,10.0, ,1.127120395243552E-4,8.106254286961401E-5,1.4320046820326995E-4,7.532341993434309E-5,8.752406911900773E-5,5.6407235168030886E-5,1.0649560549016169E-4,8.021076922127684E-5,8.106203740077695E-5,2.51414204902577E-5
Percentage of cicuits per modulation and bandwidth,0,32QAM,40.0, ,1.1897381949793048E-4,1.371827648562699E-4,1.4320046820326995E-4,1.1926208156270988E-4,1.1878266523293906E-4,8.774458803915916E-5,1.3781784239903276E-4,1.5425147927168622E-4,1.745951574785965E-4,1.1942174732872407E-4
Percentage of cicuits per modulation and bandwidth,0,32QAM,80.0, ,1.7532983926010808E-4,2.1200972750514435E-4,2.6772261446698296E-4,2.761858730925913E-4,2.0630673435194678E-4,1.1908194091028742E-4,2.255201057438718E-4,1.419113609299513E-4,3.49190314957193E-4,1.8227529855436832E-4
