Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.669424776390526E12,1.644543152179501E12,1.6643833666724346E12,1.7005783032878262E12,1.653415251526957E12,1.6603817659766792E12,1.7931816429768013E12,1.7000576915945986E12,1.6790890015335747E12,1.6495600984696719E12
Total energy consumption (Joule),1,all,all,all, ,1.7433200458573506E12,1.766082393300342E12,1.7827517872686208E12,1.7473490058744658E12,1.7690713118927275E12,1.7391743653710894E12,1.7579172904200415E12,1.757464815171717E12,1.7820873950746782E12,1.7584777902641067E12
Total energy consumption (Joule),2,all,all,all, ,1.9222574676081685E12,1.953576644126337E12,1.9415246567054211E12,1.9624271010159707E12,1.9686883702415825E12,1.9735623272641372E12,1.945346992991475E12,1.8935574243960098E12,1.92927174417105E12,1.9447529241059597E12
Total energy consumption (Joule),3,all,all,all, ,2.1738463350286292E12,2.1435031701877178E12,2.1554931418655303E12,2.2145814620314443E12,2.1386731202016526E12,2.087747050840772E12,2.198630524936685E12,2.193186356734908E12,2.1588597681570042E12,2.095369456838244E12


Average power consumption (Watt),0,all,all,all, ,251709.1115094515,251425.24138160123,252564.2498873799,253350.81277421652,250889.63103137346,251780.04690741005,252164.09371593408,252908.39869042466,252365.0802300516,252175.14323580725
Average power consumption (Watt),1,all,all,all, ,327744.40075621265,331109.09554257826,328884.3005493961,328142.9962295429,331580.9611865108,329581.51283450075,330468.81055179506,328979.7892955023,330149.39144868613,330230.7087201747
Average power consumption (Watt),2,all,all,all, ,409587.2176937003,411117.3278962265,408214.72935753915,410896.3256818004,407421.46989305853,407762.8521224753,409551.8022733908,404901.8044630077,407016.7766822542,411854.7380097175
Average power consumption (Watt),3,all,all,all, ,486111.79324489296,487117.82022292906,493756.30934067734,491283.9250614773,490635.39032540016,491365.2634029648,487179.96665716445,489054.6479275961,486101.28094955266,490856.9797088351


Energy efficiency (bits/Joule),0,all,all,all, ,1.8663732775183823E7,1.9002598864383016E7,1.881673868959155E7,1.8438178820682537E7,1.877184288768884E7,1.875034289280892E7,1.750427823433623E7,1.861322165044194E7,1.8598695059846077E7,1.8869352691202283E7
Energy efficiency (bits/Joule),1,all,all,all, ,1.768898684267437E7,1.7692066295072567E7,1.7404621703690402E7,1.7897232130250216E7,1.7702843990762275E7,1.796534913903207E7,1.7770993292414613E7,1.7727417700461183E7,1.7420039101603214E7,1.7732574024441086E7
Energy efficiency (bits/Joule),2,all,all,all, ,1.6120748650214894E7,1.5912899666420061E7,1.5884996424917934E7,1.5937373934924934E7,1.5835049039509263E7,1.5686852227467097E7,1.587660839308748E7,1.6289411131117618E7,1.60781563126124E7,1.6053716028222498E7
Energy efficiency (bits/Joule),3,all,all,all, ,1.3999560117563512E7,1.4261383635951221E7,1.4266421738926033E7,1.3805746082775738E7,1.4267439784397192E7,1.4601827325626632E7,1.3785785008077547E7,1.382726304954142E7,1.3979250686652547E7,1.4472403573463487E7


Total data transmitted (bits),0,all,all,all, ,3.1157697914823782E19,3.1250593836035047E19,3.1318266889977836E19,3.1355566854593843E19,3.1037651329772564E19,3.113272744503035E19,3.1388350403370107E19,3.1643550632188932E19,3.122886431786438E19,3.1126131283358605E19
Total data transmitted (bits),1,all,all,all, ,3.0837565353741152E19,3.1245646784830075E19,3.1028120448988295E19,3.127271077069726E19,3.1317593442970104E19,3.1244874687546147E19,3.123993637667423E19,3.115531287241284E19,3.1044032104675107E19,3.118233758619386E19
Total data transmitted (bits),2,all,all,all, ,3.098822947630988E19,3.108706912864401E19,3.0841112230655635E19,3.127593452892223E19,3.117427688628703E19,3.095898058948858E19,3.0885512396395946E19,3.0844935386366767E19,3.10191326722885E19,3.1220511188652417E19
Total data transmitted (bits),3,all,all,all, ,3.0432892453578404E19,3.0569321034924683E19,3.0751174217216377E19,3.057394934442838E19,3.0513389960985936E19,3.0484921935963197E19,3.030984772897382E19,3.032576467123896E19,3.017924189639536E19,3.0325032414872048E19


Total energy consumption by transponders (Joule),0,all,all,all, ,1.0579088741725363E12,1.050606506242751E12,1.0663220941550938E12,1.0900368047823658E12,1.0565665618463416E12,1.056968981742981E12,1.0671003723278578E12,1.066473281411595E12,1.0715053844009814E12,1.0545502445864445E12
Total energy consumption by transponders (Joule),1,all,all,all, ,1.454199768440274E12,1.4774062156435037E12,1.4554299174133584E12,1.452718282648763E12,1.4542105769136282E12,1.4346506982570388E12,1.464714813874209E12,1.4514720409128828E12,1.4566849552992476E12,1.4562040882253958E12
