Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Bandwidth blocking probability,0,all,all,all, ,0.0020864153195066593,0.0035477633748811355,0.0032415573556596076,0.003168469494883151,0.0034340166581820885,0.0021237732159241503,0.0032644831615197115,0.0030043199178994818,0.002210380614886617,0.0026445097822502964
Bandwidth blocking probability,1,all,all,all, ,0.007540325119173066,0.006964302060105628,0.009299936745024273,0.007208622338869179,0.0059863149969753065,0.006108285635357336,0.008647572862311565,0.00607020556304496,0.008352379858471736,0.00856893005360354
Bandwidth blocking probability,2,all,all,all, ,0.01732358055903886,0.021453395284846466,0.017746372837435197,0.02058640231267927,0.019030964198836195,0.019954360746391654,0.019444683318255385,0.01650133156512702,0.01643094792645031,0.020134241893866076
Bandwidth blocking probability,3,all,all,all, ,0.041973312064494415,0.04520500781236353,0.03440366445940296,0.04159410282401994,0.05246399326006872,0.042839497219377645,0.04520847873504811,0.036383446183323565,0.04719758000937748,0.053949697970838616


General requested bandwidth,0,all,all,all, ,8.589039265067984E15,8.729958317535091E15,8.694895548167798E15,8.616256054380638E15,8.708894521133606E15,8.648845037276235E15,8.775079824569606E15,8.704074732187724E15,8.679673728866815E15,8.762180122772825E15
General requested bandwidth,1,all,all,all, ,8.727986313944718E15,8.685591157709401E15,8.761536347668703E15,8.722040587869724E15,8.766763967822131E15,8.573940471178212E15,8.815841753801906E15,8.667380217006034E15,8.735551059619098E15,8.715925157779664E15
General requested bandwidth,2,all,all,all, ,8.75708808847336E15,8.693795159353262E15,8.663169085711616E15,8.723357416846996E15,8.732441958225485E15,8.680496511752104E15,8.611176859631852E15,8.702584295942842E15,8.690203297646103E15,8.758577357643442E15
General requested bandwidth,3,all,all,all, ,8.701764875130415E15,8.680893742833583E15,8.711953162820843E15,8.705454492046201E15,8.739309897320673E15,8.694125508648151E15,8.657002532422621E15,8.655128925770189E15,8.731829051967258E15,8.711536664472591E15


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
