Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.0011750301163181074,0.0010466654817623477,0.001056539684420483,0.001441633588087762,0.0012638979402413255,0.0010170428737879416,0.001500878804036574,0.0014218851827714912,0.0012836463455575963,0.0011947785216343781
Blocking probability,1,all,all,all, ,0.0030116318107312836,0.0030116318107312836,0.002893141378833659,0.003278235282500938,0.0034757193356636453,0.003001757608073148,0.0037423228074332997,0.003278235282500938,0.0036534549835100815,0.003248612674526532
Blocking probability,2,all,all,all, ,0.011217094219641763,0.008343701246124375,0.011108477990402274,0.009074392242826392,0.010446906412307206,0.010456780614965341,0.010466654817623476,0.009281750498647235,0.008215336611568615,0.008195588206252345
Blocking probability,3,all,all,all, ,0.027035566877974603,0.02804273554910441,0.02476450026660347,0.030116318107312835,0.025435946047356675,0.02706518948594901,0.03197266820704228,0.02509034895432194,0.028171100183660168,0.031153109386417046


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,3.2584868771846676E-4,3.0610028240219604E-4,2.5672926911151923E-4,3.6534549835100813E-4,4.44339119616091E-4,3.0610028240219604E-4,4.44339119616091E-4,3.1597448506033137E-4,3.8509390366727885E-4,3.2584868771846676E-4
Blocking probability by QoTN,1,all,all,all, ,0.0015897466279597922,0.0015502498173272509,0.0014910046013784388,0.00153050141201098,0.0018760985050457176,0.001412010980113356,0.0016884886545411458,0.0018662243023875823,0.0016588660465667398,0.0017378596678318226
Blocking probability by QoTN,2,all,all,all, ,0.008254833422201157,0.006102257242727649,0.008412820664731323,0.0069119418606947486,0.008175839800936075,0.008491814285996406,0.007958607342457097,0.00706005490056678,0.006023263621462567,0.006003515216146296
Blocking probability by QoTN,3,all,all,all, ,0.02417204810711535,0.025248336196852104,0.02196022671169303,0.026670221379623594,0.023095760017378595,0.024389280565594328,0.02923751407073879,0.022562553073839288,0.025692675316468194,0.027943993522523056


Blocking probability by QoTO,0,all,all,all, ,8.491814285996405E-4,7.405651993601516E-4,7.998104153089638E-4,0.0010762880897367537,8.195588206252345E-4,7.109425913857456E-4,0.001056539684420483,0.0011059106977111598,8.985524418903174E-4,8.689298339159113E-4
Blocking probability by QoTO,1,all,all,all, ,0.0014218851827714912,0.0014613819934040325,0.0014021367774552204,0.001747733870489958,0.0015996208306179277,0.0015897466279597922,0.002053834152892154,0.001412010980113356,0.0019945889369433418,0.0015107530066947093
Blocking probability by QoTO,2,all,all,all, ,0.0029622607974406066,0.0022414440033967256,0.002695657325670952,0.002162450382131643,0.0022710666113711316,0.0019649663289689357,0.0025080474751663804,0.002221695598080455,0.002192072990106049,0.002192072990106049
