Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,8.808203014434995E11,8.742896066959359E11,8.56175205631397E11,8.732357677281077E11,9.026640507713894E11,8.57029918115932E11,9.240301818979895E11,8.619766534600215E11,8.809944479143912E11,8.583334835990729E11
Total consumed energy (Joule),1, ,5.764080419950737E11,5.52916463020711E11,5.423877826437464E11,5.627465355291965E11,5.617210020358706E11,5.467385540195967E11,5.506195616769011E11,5.619346947050925E11,5.722703905714937E11,5.60717947902793E11
Total consumed energy (Joule),2, ,4.5923376892907043E11,4.469820181813306E11,4.6527083400054645E11,4.4708915342821796E11,4.544630801402884E11,4.6990095991678503E11,4.654409517033022E11,4.5338014253538E11,4.581280285784442E11,4.5890185859876434E11
Total consumed energy (Joule),3, ,4.228300811442192E11,4.173548272734565E11,3.982663356843577E11,4.0381801637951544E11,4.051392894510624E11,4.051625066307875E11,4.103563976523155E11,4.068808899083546E11,4.342267041647688E11,4.022217048237035E11


Average power consumption (Watt),0, ,235276.72880733944,238270.1639755037,238523.3368617678,237112.88627293817,233583.64084453095,239030.2065671334,232340.63303043705,237720.57462963273,235036.08796648422,236037.29317834025
Average power consumption (Watt),1, ,296085.9913295032,302325.04592277075,309755.6251006601,302660.73195766855,297182.407786017,306417.83944505657,304781.6216525771,297981.6388565666,293523.6553471042,300328.2286741567
Average power consumption (Watt),2, ,366604.92436609464,376856.07331543387,366980.95726689615,374786.6588462343,372841.0373804085,353851.1055948596,367020.56211056677,366751.489200752,365357.8921997718,370270.0921027415
Average power consumption (Watt),3, ,415280.48678456835,426854.89305368805,441891.3109053868,442715.4434172526,435115.2980608484,445984.4644816151,426222.38487520843,428978.3758219729,399635.1638790376,443423.3742857579


Energy efficiency (bits/Joule),0, ,3.5466822305528075E7,3.56456161687711E7,3.6614330906737655E7,3.585755096658868E7,3.426703839576433E7,3.6594452605111785E7,3.4207320441205174E7,3.6079803209325746E7,3.538510073353875E7,3.6498502701199E7
Energy efficiency (bits/Joule),1, ,5.423378175951255E7,5.639556634997094E7,5.726149690518274E7,5.51521275222066E7,5.5643744302701235E7,5.702986176680116E7,5.6853754947629325E7,5.555299903448099E7,5.394901094147721E7,5.557029858563218E7
