Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,1.8696477909591571,1.8735201681805207,1.8775145305098022,1.8610206103278732,1.8819746837440061,1.8670752946260725,1.8599458184921092,1.8754005202478032,1.8618063778568243,1.8768367835252957
Rate of requests by circuit,1, ,2.5057136910158886,2.512226441053889,2.444734028855935,2.523104101786793,2.4398507411643324,2.4576655856628493,2.4857458858769386,2.4815520212645525,2.5431045827044256,2.4647213320384678
Rate of requests by circuit,2, ,2.6749010276829033,2.6670967236033785,2.6695505029758797,2.623008864885447,2.667783439455094,2.560027966363413,2.5756461437771523,2.624906766037218,2.6105733179173436,2.5935203046666486
Rate of requests by circuit,3, ,2.5280854904450756,2.6749704028399472,2.552466393523365,2.5295784338482674,2.6288924291327365,2.58559809759985,2.606967522030029,2.589401772616903,2.596073867263034,2.551641209696688


Maximum requests by circuit,0, ,21,21,18,20,18,21,21,19,19,20
Maximum requests by circuit,1, ,29,29,28,28,31,27,34,31,30,29
Maximum requests by circuit,2, ,34,34,39,38,36,37,38,41,37,35
Maximum requests by circuit,3, ,47,44,42,48,44,48,41,41,50,41


Virtual hops,0, ,1.7898806871627309,1.7941144446534094,1.7947775973382976,1.7949299400901124,1.7902334699697025,1.7888318039180748,1.7995583808618505,1.783174980205859,1.7938983453643467,1.7907190784395226
Virtual hops,1, ,1.7771561121785617,1.7671367857391684,1.7967024761297903,1.7785550801074734,1.789844162836376,1.7908359984457662,1.7809461313607349,1.7815597326400303,1.7743254943720703,1.7878576621617583
Virtual hops,2, ,1.8127101444885347,1.8176735140391393,1.8219472181151641,1.817369351173946,1.8110820023669119,1.8364983929675855,1.8283435557984655,1.8093203648153198,1.8233613326173082,1.8345193742576669
Virtual hops,3, ,1.877514953779228,1.850124079828165,1.8684388845452176,1.874975228678411,1.8687532712236994,1.869306765774488,1.8580394282795216,1.8709058088212278,1.8715495069608588,1.8779467281879194


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3


