Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability,0,all,all,all, ,0.01845488476805498,0.019827398937535795,0.020449473704998323,0.025988901396212256,0.021851610482453543,0.020804945000691195,0.019718782708296304,0.021673874834607105,0.02293777277484843,0.019402808223235975
Blocking probability,1,all,all,all, ,0.01815865868831092,0.014475581096826432,0.013685644884175603,0.015127278472263365,0.017526709718190255,0.017576080731480932,0.018918972292987342,0.02311550842269487,0.01581847265833284,0.016825641329462647
Blocking probability,2,all,all,all, ,0.019037462724884966,0.017852558405908724,0.018267274917550407,0.016322056993897743,0.023095760017378595,0.01943243083121038,0.018257400714892274,0.017862432608566858,0.017437841894267038,0.021357900349546773
Blocking probability,3,all,all,all, ,0.023658589568892312,0.028003238738471867,0.02334261508383198,0.01943243083121038,0.024813871279894147,0.022809408140292673,0.028329087426190336,0.024221419120406026,0.018701739834508364,0.023352489286490117


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9622607974406068E-5,0.0
Blocking probability by QoTN,3,all,all,all, ,7.899362126508284E-5,1.974840531627071E-5,4.937101329067678E-5,0.0,2.9622607974406068E-5,1.0861622923948891E-4,9.874202658135355E-6,9.874202658135356E-5,1.0861622923948891E-4,1.974840531627071E-5


Blocking probability by QoTO,0,all,all,all, ,0.01845488476805498,0.019827398937535795,0.020449473704998323,0.025988901396212256,0.021851610482453543,0.020804945000691195,0.019718782708296304,0.021673874834607105,0.02293777277484843,0.019402808223235975
Blocking probability by QoTO,1,all,all,all, ,0.01815865868831092,0.014475581096826432,0.013685644884175603,0.015127278472263365,0.017526709718190255,0.017576080731480932,0.018918972292987342,0.02311550842269487,0.01581847265833284,0.016825641329462647
Blocking probability by QoTO,2,all,all,all, ,0.019037462724884966,0.017852558405908724,0.018267274917550407,0.016322056993897743,0.023095760017378595,0.01943243083121038,0.018257400714892274,0.017862432608566858,0.01740821928629263,0.021357900349546773
Blocking probability by QoTO,3,all,all,all, ,0.02357959594762723,0.027983490333155597,0.023293244070541303,0.01943243083121038,0.024784248671919744,0.022700791911053182,0.0283192132235322,0.024122677093824672,0.01858324940261074,0.023332740881173847


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.874202658135355E-6,0.0


Blocking probability per pair,0,all,2,10, ,0.04797047970479705,0.06678383128295255,0.05169340463458111,0.07355516637478109,0.048417132216014895,0.051001821493624776,0.044573643410852716,0.05166051660516605,0.04664179104477612,0.04145936981757877
Blocking probability per pair,0,all,9,7, ,0.0035650623885918,0.0035714285714285713,0.0036036036036036037,0.003552397868561279,0.0071301247771836,0.0038314176245210726,0.0,0.0037593984962406013,0.0051813471502590676,0.003676470588235294
Blocking probability per pair,0,all,7,13, ,0.01916376306620209,0.0053285968028419185,0.008680555555555556,0.011844331641285956,0.003861003861003861,0.01079136690647482,0.014925373134328358,0.009727626459143969,0.009708737864077669,0.016791044776119403
Blocking probability per pair,0,all,2,11, ,0.028119507908611598,0.037037037037037035,0.04431599229287091,0.07027027027027027,0.022968197879858657,0.041379310344827586,0.029668411867364748,0.02434077079107505,0.04355400696864112,0.012367491166077738
Blocking probability per pair,0,all,5,10, ,0.017035775127768313,0.03278688524590164,0.041742286751361164,0.061068702290076333,0.03935599284436494,0.03146853146853147,0.025925925925925925,0.05789473684210526,0.024875621890547265,0.019417475728155338
Blocking probability per pair,0,all,4,2, ,0.05985915492957746,0.045936395759717315,0.03333333333333333,0.06164383561643835,0.07801418439716312,0.06630824372759857,0.03207547169811321,0.0740072202166065,0.056239015817223195,0.06883365200764818
Blocking probability per pair,0,all,8,13, ,0.016363636363636365,0.011385199240986717,0.003683241252302026,0.0070052539404553416,0.00749063670411985,0.0142602495543672,0.012773722627737226,0.012962962962962963,0.01060070671378092,0.007380073800738007
Blocking probability per pair,0,all,3,7, ,0.009208103130755065,0.035398230088495575,0.02707581227436823,0.03302752293577982,0.018050541516245487,0.016822429906542057,0.01559792027729636,0.030254777070063694,0.030534351145038167,0.024029574861367836
Blocking probability per pair,0,all,5,4, ,0.03690685413005272,0.03962264150943396,0.055865921787709494,0.09044368600682594,0.0891089108910891,0.03888888888888889,0.07393715341959335,0.08166969147005444,0.07622504537205081,0.06390328151986183
Blocking probability per pair,0,all,5,14, ,0.011976047904191617,0.007677543186180422,0.01436265709156194,0.009578544061302681,0.012915129151291513,0.0071301247771836,0.017208413001912046,0.015306122448979591,0.014388489208633094,0.011627906976744186
Blocking probability per pair,0,all,5,1, ,0.017825311942959002,0.059130434782608696,0.048859934853420196,0.05660377358490566,0.055350553505535055,0.060550458715596334,0.052100840336134456,0.07636363636363637,0.0535405872193437,0.04088586030664395
Blocking probability per pair,0,all,5,9, ,0.015151515151515152,0.022429906542056073,0.029239766081871343,0.030303030303030304,0.020257826887661142,0.025454545454545455,0.016100178890876567,0.021778584392014518,0.021885521885521887,0.02389705882352941
Blocking probability per pair,0,all,11,8, ,0.003883495145631068,0.011385199240986717,0.00909090909090909,0.008488964346349746,0.011928429423459244,0.0071301247771836,0.008576329331046312,0.005226480836236934,0.01054481546572935,0.0018018018018018018
Blocking probability per pair,0,all,3,10, ,0.03558718861209965,0.04060913705583756,0.05688073394495413,0.03942652329749104,0.042105263157894736,0.026022304832713755,0.043151969981238276,0.035781544256120526,0.03237410071942446,0.038917089678511
Blocking probability per pair,0,all,7,3, ,0.03244274809160305,0.056218057921635436,0.04826254826254826,0.03619047619047619,0.05206463195691203,0.04285714285714286,0.03237410071942446,0.04873949579831933,0.034782608695652174,0.039568345323741004
Blocking probability per pair,0,all,12,1, ,0.01592920353982301,0.012727272727272728,0.01971326164874552,0.016697588126159554,0.01694915254237288,0.018832391713747645,0.01764705882352941,0.007029876977152899,0.017921146953405017,0.017421602787456445
