Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,5.583987438222714E11,5.844415167737689E11,5.728448634643859E11,5.465335828008616E11,5.608494801421787E11,5.655746739383915E11,5.845373119307573E11,5.83635846780795E11,5.516247478678917E11,5.723943070965663E11
Total consumed energy (Joule),1, ,4.594502509865269E11,4.79489482413539E11,4.5538665907263477E11,4.545003089594758E11,4.7479235695946246E11,4.622092578125097E11,4.5878097357679803E11,4.6400579542176184E11,4.6266477934926587E11,4.5520550283959357E11
Total consumed energy (Joule),2, ,3.983694585173832E11,4.0816983349298047E11,4.077136083165715E11,3.997510760823339E11,4.0862535139004333E11,4.010246667982079E11,4.052575429017936E11,4.137317835582679E11,3.993899877978599E11,4.0055920443573737E11
Total consumed energy (Joule),3, ,3.737544956036022E11,3.6300519048324414E11,3.7344904775963995E11,3.8217079018509827E11,3.6657969305537897E11,3.755956337360104E11,3.651276165316524E11,3.643268558024005E11,3.6668225768814795E11,3.710534775302266E11


Average power consumption (Watt),0, ,303083.91286782775,292415.6379215477,298080.2631488986,306126.8733161281,304905.8210226902,298723.282521068,292298.5547685495,292918.9932358431,304473.5832928269,300580.4103648554
Average power consumption (Watt),1, ,367236.9076454856,350731.6072931777,367154.2166462042,375994.1118570229,354019.8917566947,364218.6160910958,362600.93697243556,356233.1936927985,364226.3750990318,368770.0030544067
Average power consumption (Watt),2, ,438807.0017157035,432585.4667099053,420020.7998513638,438420.0843854873,426783.3066958124,444685.782732927,422860.8238136236,420653.0383928086,436883.5239723646,437636.0734383678
Average power consumption (Watt),3, ,499434.01746947435,510285.1486365356,486206.147331444,472454.28008560097,508190.3977306971,484845.2451413906,492516.9353885757,501769.50510825886,496166.40022137004,483655.98121772875


Energy efficiency (bits/Joule),0, ,5.403745261771162E7,5.0907603925385185E7,5.219793232036813E7,5.361034007677411E7,5.3190735628890015E7,5.2607962596115746E7,5.150339242197454E7,5.123535333365252E7,5.3861621529361546E7,5.2179008452105254E7
Energy efficiency (bits/Joule),1, ,6.4852863507300235E7,6.309191555289785E7,6.586831543245543E7,6.690295001485172E7,6.3389246223867886E7,6.493191391741714E7,6.5266353808462396E7,6.346636062263569E7,6.559630734647869E7,6.60295176601365E7
Energy efficiency (bits/Joule),2, ,7.52180729125055E7,7.37939966816121E7,7.285748058792944E7,7.550996957215798E7,7.268948885453148E7,7.418770433655658E7,7.422859586029433E7,7.240500838559149E7,7.440613974519981E7,7.44419901189168E7
Energy efficiency (bits/Joule),3, ,7.944713991391027E7,7.9808604526615E7,7.892069571407801E7,7.775005815293221E7,7.993702210448372E7,7.859318255917844E7,8.02267947512916E7,7.956529813367207E7,8.078318134401897E7,7.919417586994196E7


Total data transmitted (bits),0, ,3.0174445661085676E19,2.975251725347039E19,2.9901317413184537E19,2.9299851237331972E19,2.983199642584303E19,2.975373129186126E19,3.0105654561655935E19,2.990278882799952E19,2.9711403395889873E19,2.986696738792866E19
Total data transmitted (bits),1, ,2.9796664415624065E19,3.02519099329377E19,2.9995552103528346E19,3.0407411452050473E19,3.009672962051394E19,3.0012131740115145E19,2.9942961342054138E19,2.944875914323046E19,3.034910106458519E19,3.0056999788738257E19
Total data transmitted (bits),2, ,2.996458297687586E19,3.0120483338315166E19,2.9704986303359275E19,3.0185191591414444E19,2.9702767925545566E19,2.975109941209157E19,3.0081698371393126E19,2.995625325792211E19,2.9717067244921217E19,2.9818424338646335E19
Total data transmitted (bits),3, ,2.9693725705672344E19,2.8970937688385778E19,2.947285866295073E19,2.9713801161243443E19,2.930328902682269E19,2.9519256210644582E19,2.9293018349513183E19,2.898777490002135E19,2.9621759318455947E19,2.9385274356682326E19


Total energy consumption by transponders (Joule),0, ,2.5764701444461447E11,2.5817909840151828E11,2.5913340023605884E11,2.5509839748054367E11,2.605827655503492E11,2.5651135287907938E11,2.580907071053268E11,2.583830710012906E11,2.5587750152844687E11,2.6153690099672778E11
Total energy consumption by transponders (Joule),1, ,2.5522061771817917E11,2.5632207610744525E11,2.5291773768570935E11,2.571763932521009E11,2.5586368612836276E11,2.5505060113790378E11,2.522415014177079E11,2.5138016876561893E11,2.5530637879290866E11,2.5370390111475815E11
Total energy consumption by transponders (Joule),2, ,2.5017257434253098E11,2.541432913482404E11,2.4925676654790854E11,2.5090897695463675E11,2.523305729524028E11,2.538122549108255E11,2.4881306382552243E11,2.5317766844693533E11,2.501593163929834E11,2.511490243782289E11
Total energy consumption by transponders (Joule),3, ,2.515928451588289E11,2.4687998587398416E11,2.4806638262701938E11,2.5012508244272937E11,2.488276273698169E11,2.491383118060404E11,2.4410958072420474E11,2.458008885291293E11,2.4604286792231445E11,2.4581824417380048E11


Total energy consumption by OXCs (Joule),0, ,2.1710722733314972E11,2.355229317629647E11,2.264626245211157E11,2.1038178288498804E11,2.1675710394206284E11,2.2310721485929373E11,2.356558926282173E11,2.3479408905818195E11,2.1349458165057288E11,2.244023323621989E11
Total energy consumption by OXCs (Joule),1, ,1.474296740035669E11,1.611005094285113E11,1.4615864797987482E11,1.4244456154715067E11,1.580406430454323E11,1.495440829608882E11,1.490971048715193E11,1.534905895929853E11,1.496882744520998E11,1.4546035743233456E11
Total energy consumption by OXCs (Joule),2, ,1.069806470911834E11,1.111889716144053E11,1.1438712468769827E11,1.0744641608189642E11,1.1282637032034555E11,1.062699743739778E11,1.1293443650054309E11,1.1590110833570074E11,1.0772691937239737E11,1.0785650341813956E11
Total energy consumption by OXCs (Joule),3, ,8.818628331543417E10,8.382868237659305E10,9.051147549147899E10,9.532140529503232E10,8.500308392788037E10,9.128725077327408E10,8.736072861767546E10,8.556174946999185E10,8.70873908968694E10,9.040504716197809E10


Total energy consumption by Amplifiers (Joule),0, ,8.364450204450856E10,9.073948660928888E10,8.724883870721732E10,8.105340243532268E10,8.350961064977591E10,8.595610620003175E10,9.079071219722519E10,9.045868672132777E10,8.22526646888633E10,8.64550737376416E10
Total energy consumption by Amplifiers (Joule),1, ,5.679995926478384E10,6.206689687758331E10,5.631027340704411E10,5.4879354160223854E10,6.088802778566505E10,5.761457371371475E10,5.744236728756697E10,5.913503706315099E10,5.76701261042549E10,5.6041244292498405E10
Total energy consumption by Amplifiers (Joule),2, ,4.121623708367045E10,4.283757053033004E10,4.406971708097015E10,4.1395683045808395E10,4.346840811730853E10,4.0942437513396576E10,4.351004257573546E10,4.46530067756338E10,4.150375203247519E10,4.1553676639371925E10
Total energy consumption by Amplifiers (Joule),3, ,3.3975367129333263E10,3.2296522232665848E10,3.487118964114982E10,3.672430244733895E10,3.274898175768659E10,3.517007115670973E10,3.3657307189768917E10,3.2964217803273037E10,3.3551998868957188E10,3.4830186194449005E10


